City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Whitestone Logging Camp-AK,1840023688,Whitestone Logging Camp,Whitestone Logging Camp,AK,Whitestone Logging Camp-AK,Alaska,2105,Hoonah-Angoon,58.0653,-135.42,,,0,polygon,FALSE,America/Juneau,99829 99825
Portage Creek-AK,1840023660,Portage Creek,Portage Creek,AK,Portage Creek-AK,Alaska,2070,Dillingham,58.9049,-157.669,,,0,polygon,FALSE,America/Anchorage,99576
Talkeetna-AK,1840023375,Talkeetna,Talkeetna,AK,Talkeetna-AK,Alaska,2170,Matanuska-Susitna,62.2753,-150.0814,,,195.2,polygon,FALSE,America/Anchorage,99676
King Salmon-AK,1840023272,King Salmon,King Salmon,AK,King Salmon-AK,Alaska,2060,Bristol Bay,58.754,-156.5066,,,0,polygon,FALSE,America/Anchorage,99613
Edna Bay-AK,1840000514,Edna Bay,Edna Bay,AK,Edna Bay-AK,Alaska,2198,Prince of Wales-Hyder,55.9645,-133.6665,43,43,0,polygon,TRUE,America/Sitka,99921
Nuiqsut-AK,1840023483,Nuiqsut,Nuiqsut,AK,Nuiqsut-AK,Alaska,2185,North Slope,70.2171,-150.9957,411,411,16,polygon,TRUE,America/Anchorage,99789
Tee Harbor-AK,1840023591,Tee Harbor,Tee Harbor,AK,Tee Harbor-AK,Alaska,2110,Juneau,58.4103,-134.7558,,,29.4,point,FALSE,America/Juneau,99801
Dot Lake Village-AK,1840023652,Dot Lake Village,Dot Lake Village,AK,Dot Lake Village-AK,Alaska,2240,Southeast Fairbanks,63.6622,-144.016,,,19.3,polygon,FALSE,America/Anchorage,99737
Tolsona-AK,1840023663,Tolsona,Tolsona,AK,Tolsona-AK,Alaska,2261,Valdez-Cordova,62.0844,-146.092,,,0.1,polygon,FALSE,America/Anchorage,99588
Spenard-AK,1840023582,Spenard,Spenard,AK,Spenard-AK,Alaska,2020,Anchorage,61.1886,-149.9064,,,3837.4,point,FALSE,America/Anchorage,99503
Dillingham-AK,1840023279,Dillingham,Dillingham,AK,Dillingham-AK,Alaska,2070,Dillingham,59.0549,-158.5376,2364,2364,27,polygon,TRUE,America/Anchorage,99576
Kodiak-AK,1840023301,Kodiak,Kodiak,AK,Kodiak-AK,Alaska,2150,Kodiak Island,57.7933,-152.4029,9427,6191,687,polygon,TRUE,America/Anchorage,99615 99619
Jonesville-AK,1840023554,Jonesville,Jonesville,AK,Jonesville-AK,Alaska,2170,Matanuska-Susitna,61.7306,-148.9347,,,5.4,point,FALSE,America/Anchorage,99674
Nikolski-AK,1840023259,Nikolski,Nikolski,AK,Nikolski-AK,Alaska,2016,Aleutians West,53.0133,-168.7536,,,0.1,polygon,FALSE,America/Nome,99638
Happy Valley-AK,1840023404,Happy Valley,Happy Valley,AK,Happy Valley-AK,Alaska,2122,Kenai Peninsula,59.9137,-151.6072,,,31,polygon,FALSE,America/Anchorage,99556 99639
Akutan-AK,1840023265,Akutan,Akutan,AK,Akutan-AK,Alaska,2013,Aleutians East,54.1594,-165.7328,1036,1036,6,polygon,TRUE,America/Nome,99553
Nondalton-AK,1840023296,Nondalton,Nondalton,AK,Nondalton-AK,Alaska,2164,Lake and Peninsula,59.9724,-154.8607,158,158,7,polygon,TRUE,America/Anchorage,99640
McCarthy-AK,1840023390,McCarthy,McCarthy,AK,McCarthy-AK,Alaska,2261,Valdez-Cordova,61.454,-142.8648,,,0.1,polygon,FALSE,America/Anchorage,99566
Kasilof-AK,1840023407,Kasilof,Kasilof,AK,Kasilof-AK,Alaska,2122,Kenai Peninsula,60.331,-151.2293,,,32.8,polygon,FALSE,America/Anchorage,99610
Allakaket-AK,1840023443,Allakaket,Allakaket,AK,Allakaket-AK,Alaska,2290,Yukon-Koyukuk,66.5649,-152.6453,106,106,13,polygon,TRUE,America/Anchorage,99720
Aleknagik-AK,1840023277,Aleknagik,Aleknagik,AK,Aleknagik-AK,Alaska,2070,Dillingham,59.2954,-158.6922,222,222,3,polygon,TRUE,America/Anchorage,99555 99576
Sunrise-AK,1840023608,Sunrise,Sunrise,AK,Sunrise-AK,Alaska,2122,Kenai Peninsula,60.8701,-149.4678,,,2.4,polygon,FALSE,America/Anchorage,99605
Chase-AK,1840023369,Chase,Chase,AK,Chase-AK,Alaska,2170,Matanuska-Susitna,62.4624,-149.9371,,,0.1,polygon,FALSE,America/Anchorage,99676
Excursion Inlet-AK,1840023316,Excursion Inlet,Excursion Inlet,AK,Excursion Inlet-AK,Alaska,2100,Haines,58.4344,-135.3727,,,2.7,polygon,FALSE,America/Juneau,99827 99850
Willow-AK,1840023377,Willow,Willow,AK,Willow-AK,Alaska,2170,Matanuska-Susitna,61.8154,-149.7532,,,3.1,polygon,FALSE,America/Anchorage,99688
Denali Park-AK,1840023382,Denali Park,Denali Park,AK,Denali Park-AK,Alaska,2068,Denali,63.5909,-148.7107,,,0,polygon,FALSE,America/Anchorage,99755
Circle-AK,1840023435,Circle,Circle,AK,Circle-AK,Alaska,2290,Yukon-Koyukuk,65.7936,-144.1813,,,8.9,polygon,FALSE,America/Anchorage,99733
Susitna-AK,1840023374,Susitna,Susitna,AK,Susitna-AK,Alaska,2170,Matanuska-Susitna,61.497,-150.6221,,,0,polygon,FALSE,America/Anchorage,99667
Mud Bay-AK,1840023657,Mud Bay,Mud Bay,AK,Mud Bay-AK,Alaska,2100,Haines,59.1517,-135.3584,,,20.6,polygon,FALSE,America/Juneau,99827
Toksook Bay-AK,1840023342,Toksook Bay,Toksook Bay,AK,Toksook Bay-AK,Alaska,2050,Bethel,60.5354,-165.1385,657,657,7,polygon,TRUE,America/Nome,99637
Newhalen-AK,1840023295,Newhalen,Newhalen,AK,Newhalen-AK,Alaska,2164,Lake and Peninsula,59.7277,-154.8945,182,182,11,polygon,TRUE,America/Anchorage,99640 99606
Russian Mission-AK,1840023330,Russian Mission,Russian Mission,AK,Russian Mission-AK,Alaska,2158,Kusilvak,61.7844,-161.359,331,331,22,polygon,TRUE,America/Anchorage,99657
Mendeltna-AK,1840023682,Mendeltna,Mendeltna,AK,Mendeltna-AK,Alaska,2261,Valdez-Cordova,62.1355,-146.5384,,,0.1,polygon,FALSE,America/Anchorage,99588
Butte-AK,1840023368,Butte,Butte,AK,Butte-AK,Alaska,2170,Matanuska-Susitna,61.5539,-149.0035,,,109.1,polygon,FALSE,America/Anchorage,99645
Golovin-AK,1840023508,Golovin,Golovin,AK,Golovin-AK,Alaska,2180,Nome,64.5637,-163.001,160,160,16,polygon,TRUE,America/Nome,99762
King Cove-AK,1840023268,King Cove,King Cove,AK,King Cove-AK,Alaska,2013,Aleutians East,55.0884,-162.2963,989,989,14,polygon,TRUE,America/Nome,99612
McGrath-AK,1840023454,McGrath,McGrath,AK,McGrath-AK,Alaska,2290,Yukon-Koyukuk,62.9422,-155.5671,336,336,2,polygon,TRUE,America/Anchorage,99627
Curry-AK,1840023540,Curry,Curry,AK,Curry-AK,Alaska,2170,Matanuska-Susitna,62.6147,-150.0119,,,1,point,FALSE,America/Anchorage,99676
Nelchina-AK,1840023658,Nelchina,Nelchina,AK,Nelchina-AK,Alaska,2261,Valdez-Cordova,61.9991,-146.81,,,0.1,polygon,FALSE,America/Anchorage,99588
Coldfoot-AK,1840023436,Coldfoot,Coldfoot,AK,Coldfoot-AK,Alaska,2290,Yukon-Koyukuk,67.2475,-150.1079,,,5.6,polygon,FALSE,America/Anchorage,99701
Wrangell-AK,1840000416,Wrangell,Wrangell,AK,Wrangell-AK,Alaska,2275,Wrangell,56.3294,-132.0197,2411,2411,0,polygon,TRUE,America/Sitka,99903 99929
Ivanof Bay-AK,1840023285,Ivanof Bay,Ivanof Bay,AK,Ivanof Bay-AK,Alaska,2164,Lake and Peninsula,55.9183,-159.4933,,,0.6,polygon,FALSE,America/Anchorage,99695
Kipnuk-AK,1840023334,Kipnuk,Kipnuk,AK,Kipnuk-AK,Alaska,2050,Bethel,59.9363,-164.0613,,,740.3,polygon,FALSE,America/Nome,99614
Tuntutuliak-AK,1840023349,Tuntutuliak,Tuntutuliak,AK,Tuntutuliak-AK,Alaska,2050,Bethel,60.3843,-162.6838,,,146.9,polygon,FALSE,America/Nome,99680
Tok-AK,1840023473,Tok,Tok,AK,Tok-AK,Alaska,2240,Southeast Fairbanks,63.3289,-143.0375,,,65.3,polygon,FALSE,America/Anchorage,99780
Lake Louise-AK,1840023655,Lake Louise,Lake Louise,AK,Lake Louise-AK,Alaska,2170,Matanuska-Susitna,62.3121,-146.5629,,,0.1,polygon,FALSE,America/Anchorage,99588
