City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Delta-AL,1840022972,Delta,Delta,AL,Delta-AL,Alabama,1027,Clay,33.447,-85.6746,,,15.5,polygon,FALSE,America/Chicago,36258
Hendrix-AL,1840025220,Hendrix,Hendrix,AL,Hendrix-AL,Alabama,1009,Blount,34.0382,-86.4533,,,39.4,point,FALSE,America/Chicago,35031
Shelby-AL,1840022965,Shelby,Shelby,AL,Shelby-AL,Alabama,1117,Shelby,33.1068,-86.5825,,,188.6,polygon,FALSE,America/Chicago,35051 35143
Natural Bridge-AL,1840016711,Natural Bridge,Natural Bridge,AL,Natural Bridge-AL,Alabama,1133,Winston,34.0904,-87.6014,36,36,32,polygon,TRUE,America/Chicago,35575 35577
Ohatchee-AL,1840016782,Ohatchee,Ohatchee,AL,Ohatchee-AL,Alabama,1015,Calhoun,33.7878,-86.0278,1138,1138,74,polygon,TRUE,America/Chicago,36271
Abernant-AL,1840023696,Abernant,Abernant,AL,Abernant-AL,Alabama,1125,Tuscaloosa,33.2904,-87.1981,,,140.8,point,FALSE,America/Chicago,35444
Suttle-AL,1840027545,Suttle,Suttle,AL,Suttle-AL,Alabama,1105,Perry,32.5362,-87.1797,,,7.2,point,FALSE,America/Chicago,36701
Pinson-AL,1840022941,Pinson,Pinson,AL,Pinson-AL,Alabama,1073,Jefferson,33.7064,-86.6654,7426,7426,253,polygon,TRUE,America/Chicago,35215 35126 35123
Snow Hill-AL,1840027568,Snow Hill,Snow Hill,AL,Snow Hill-AL,Alabama,1131,Wilcox,32.0046,-87.0072,,,8.9,point,FALSE,America/Chicago,36768
Vincent-AL,1840016848,Vincent,Vincent,AL,Vincent-AL,Alabama,1117,Shelby,33.3848,-86.4086,2118,2118,39,polygon,TRUE,America/Chicago,35178
Minor-AL,1840013726,Minor,Minor,AL,Minor-AL,Alabama,1073,Jefferson,33.539,-86.9402,,,498.1,polygon,FALSE,America/Chicago,35224
Hoover-AL,1840014795,Hoover,Hoover,AL,Hoover-AL,Alabama,1073,Jefferson,33.3761,-86.8065,84978,84978,698,polygon,TRUE,America/Chicago,35216 35242 35244 35226
Columbia-AL,1840017129,Columbia,Columbia,AL,Columbia-AL,Alabama,1069,Houston,31.2968,-85.1103,729,729,71,polygon,TRUE,America/New_York,36319
Trussville-AL,1840015672,Trussville,Trussville,AL,Trussville-AL,Alabama,1073,Jefferson,33.6389,-86.5832,21422,21422,248,polygon,TRUE,America/Chicago,35235 35173 35015
Bessemer-AL,1840013732,Bessemer,Bessemer,AL,Bessemer-AL,Alabama,1073,Jefferson,33.3709,-86.9713,26511,26511,252,polygon,TRUE,America/Chicago,35022 35020 35021
Spanish Fort-AL,1840015879,Spanish Fort,Spanish Fort,AL,Spanish Fort-AL,Alabama,1003,Baldwin,30.7257,-87.8602,8327,8327,106,polygon,TRUE,America/Chicago,36507 36527 36578 36577
Silas-AL,1840018123,Silas,Silas,AL,Silas-AL,Alabama,1023,Choctaw,31.7678,-88.3258,426,426,31,polygon,TRUE,America/Chicago,36919
Verbena-AL,1840027549,Verbena,Verbena,AL,Verbena-AL,Alabama,1021,Chilton,32.7499,-86.5114,,,65.1,point,FALSE,America/Chicago,36091
Tennant-AL,1840027593,Tennant,Tennant,AL,Tennant-AL,Alabama,1111,Randolph,33.2682,-85.4569,,,6,point,FALSE,America/Chicago,36274
Hokes Bluff-AL,1840014733,Hokes Bluff,Hokes Bluff,AL,Hokes Bluff-AL,Alabama,1055,Etowah,33.9902,-85.8639,4277,4277,138,polygon,TRUE,America/Chicago,35903 35905
Union-AL,1840016909,Union,Union,AL,Union-AL,Alabama,1063,Greene,32.9938,-87.9071,221,221,103,polygon,TRUE,America/Chicago,35462
Reeltown-AL,1840023018,Reeltown,Reeltown,AL,Reeltown-AL,Alabama,1123,Tallapoosa,32.5788,-85.8189,,,25.8,polygon,FALSE,America/Chicago,36078 36866
Argo-AL,1840015668,Argo,Argo,AL,Argo-AL,Alabama,1073,Jefferson,33.6962,-86.5066,4213,4213,151,polygon,TRUE,America/Chicago,35173 35120
Eoline-AL,1840027610,Eoline,Eoline,AL,Eoline-AL,Alabama,1007,Bibb,32.9951,-87.2322,,,27.7,point,FALSE,America/Chicago,35042
Batesville-AL,1840027572,Batesville,Batesville,AL,Batesville-AL,Alabama,1005,Barbour,32.009,-85.311,,,12.3,point,FALSE,America/Chicago,36053
Waterloo-AL,1840016505,Waterloo,Waterloo,AL,Waterloo-AL,Alabama,1077,Lauderdale,34.9172,-88.0655,198,198,102,polygon,TRUE,America/Chicago,35677
Aliceville-AL,1840013758,Aliceville,Aliceville,AL,Aliceville-AL,Alabama,1107,Pickens,33.1237,-88.1594,2357,2357,199,polygon,TRUE,America/Chicago,35442
Monroeville-AL,1840005191,Monroeville,Monroeville,AL,Monroeville-AL,Alabama,1099,Monroe,31.5164,-87.328,4503,6072,175,polygon,TRUE,America/Chicago,36460 36461
Triana-AL,1840016520,Triana,Triana,AL,Triana-AL,Alabama,1089,Madison,34.5904,-86.7418,529,529,166,polygon,TRUE,America/Chicago,35756
Goshen-AL,1840003403,Goshen,Goshen,AL,Goshen-AL,Alabama,1109,Pike,31.7182,-86.1242,255,255,38,polygon,TRUE,America/Chicago,36035
Smoke Rise-AL,1840013654,Smoke Rise,Smoke Rise,AL,Smoke Rise-AL,Alabama,1009,Blount,33.879,-86.8241,,,53.3,polygon,FALSE,America/Chicago,35180
Hacoda-AL,1840025216,Hacoda,Hacoda,AL,Hacoda-AL,Alabama,1061,Geneva,31.0749,-86.1663,,,17.5,point,FALSE,America/Chicago,36453
Brundidge-AL,1840013848,Brundidge,Brundidge,AL,Brundidge-AL,Alabama,1109,Pike,31.7182,-85.8177,1972,1972,78,polygon,TRUE,America/Chicago,36010
Wren-AL,1840027624,Wren,Wren,AL,Wren-AL,Alabama,1079,Lawrence,34.4343,-87.2936,,,47.4,point,FALSE,America/Chicago,35650
Magnolia Springs-AL,1840017124,Magnolia Springs,Magnolia Springs,AL,Magnolia Springs-AL,Alabama,1003,Baldwin,30.4002,-87.7749,802,802,344,polygon,TRUE,America/Chicago,36535 36555
Center Point-AL,1840014789,Center Point,Center Point,AL,Center Point-AL,Alabama,1073,Jefferson,33.6447,-86.6851,16496,16496,1026,polygon,TRUE,America/Chicago,35215
Snowdoun-AL,1840027495,Snowdoun,Snowdoun,AL,Snowdoun-AL,Alabama,1101,Montgomery,32.2415,-86.2964,,,17.2,point,FALSE,America/Chicago,36105
Guin-AL,1840013640,Guin,Guin,AL,Guin-AL,Alabama,1093,Marion,33.983,-87.9017,2305,2305,59,polygon,TRUE,America/Chicago,35563
Lakeview-AL,1840016551,Lakeview,Lakeview,AL,Lakeview-AL,Alabama,1049,DeKalb,34.3917,-85.9757,143,143,87,polygon,TRUE,America/Chicago,35971
Libertyville-AL,1840017094,Libertyville,Libertyville,AL,Libertyville-AL,Alabama,1039,Covington,31.2428,-86.46,114,114,84,polygon,TRUE,America/Chicago,36420
Cottondale-AL,1840023723,Cottondale,Cottondale,AL,Cottondale-AL,Alabama,1125,Tuscaloosa,33.1921,-87.4544,,,628.7,polygon,FALSE,America/Chicago,35404 35453
Pittsview-AL,1840027538,Pittsview,Pittsview,AL,Pittsview-AL,Alabama,1113,Russell,32.1882,-85.1633,,,37.8,point,FALSE,America/Chicago,36871
