City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Violet Hill-AR,1840001739,Violet Hill,Violet Hill,AR,Violet Hill-AR,Arkansas,5065,Izard,36.1537,-91.8415,,,13.6,point,FALSE,America/Chicago,72584
Black Oak-AR,1840015369,Black Oak,Black Oak,AR,Black Oak-AR,Arkansas,5031,Craighead,35.8367,-90.3675,268,268,231,polygon,TRUE,America/Chicago,72414
Van-AR,1840027693,Van,Van,AR,Van-AR,Arkansas,5001,Arkansas,34.3268,-91.2343,,,1.2,point,FALSE,America/Chicago,72042
Perla-AR,1840016655,Perla,Perla,AR,Perla-AR,Arkansas,5059,Hot Spring,34.3649,-92.7762,237,237,98,polygon,TRUE,America/Chicago,72104
Brickeys-AR,1840027709,Brickeys,Brickeys,AR,Brickeys-AR,Arkansas,5077,Lee,34.8607,-90.5923,,,8.5,point,FALSE,America/Chicago,72320
Arkansas City-AR,1840013682,Arkansas City,Arkansas City,AR,Arkansas City-AR,Arkansas,5041,Desha,33.609,-91.205,323,323,259,polygon,TRUE,America/Chicago,71630
Datto-AR,1840016087,Datto,Datto,AR,Datto-AR,Arkansas,5021,Clay,36.3932,-90.7282,93,93,53,polygon,TRUE,America/Chicago,72424 72422
Springdale-AR,1840015336,Springdale,Springdale,AR,Springdale-AR,Arkansas,5143,Washington,36.1897,-94.1574,78557,78557,652,polygon,TRUE,America/Chicago,72764 72762 72765 72766
Stamps-AR,1840015724,Stamps,Stamps,AR,Stamps-AR,Arkansas,5073,Lafayette,33.3564,-93.4956,1519,1519,192,polygon,TRUE,America/Chicago,71860
Red Star-AR,1840027844,Red Star,Red Star,AR,Red Star-AR,Arkansas,5087,Madison,35.8667,-93.5307,,,2.7,point,FALSE,America/Chicago,72752
Evansville-AR,1840001740,Evansville,Evansville,AR,Evansville-AR,Arkansas,5143,Washington,35.7954,-94.4969,,,67.9,point,FALSE,America/Chicago,72729
Boles-AR,1840003891,Boles,Boles,AR,Boles-AR,Arkansas,5127,Scott,34.7795,-94.0491,,,20.2,point,FALSE,America/Chicago,72926
Wabash-AR,1840027792,Wabash,Wabash,AR,Wabash-AR,Arkansas,5107,Phillips,34.3887,-90.8287,,,13.6,point,FALSE,America/Chicago,72389
Powhatan-AR,1840017731,Powhatan,Powhatan,AR,Powhatan-AR,Arkansas,5075,Lawrence,36.0847,-91.1206,69,69,107,polygon,TRUE,America/Chicago,72458
Prairie Grove-AR,1840014481,Prairie Grove,Prairie Grove,AR,Prairie Grove-AR,Arkansas,5143,Washington,35.9858,-94.3048,3921,5347,222,polygon,TRUE,America/Chicago,72753 72730
Harriet-AR,1840001749,Harriet,Harriet,AR,Harriet-AR,Arkansas,5129,Searcy,35.9934,-92.5204,,,7.2,point,FALSE,America/Chicago,72639
Jacksonport-AR,1840016255,Jacksonport,Jacksonport,AR,Jacksonport-AR,Arkansas,5067,Jackson,35.6418,-91.308,201,201,224,polygon,TRUE,America/Chicago,72112 72075
Ouachita-AR,1840001811,Ouachita,Ouachita,AR,Ouachita-AR,Arkansas,5039,Dallas,33.8523,-92.8293,,,47.3,point,FALSE,America/Chicago,71763
Marmaduke-AR,1840015322,Marmaduke,Marmaduke,AR,Marmaduke-AR,Arkansas,5055,Greene,36.1894,-90.3857,1221,1221,361,polygon,TRUE,America/Chicago,72443
Turrell-AR,1840015447,Turrell,Turrell,AR,Turrell-AR,Arkansas,5035,Crittenden,35.3762,-90.2709,575,575,41,polygon,TRUE,America/Chicago,72384
Lake City-AR,1840014508,Lake City,Lake City,AR,Lake City-AR,Arkansas,5031,Craighead,35.8203,-90.4546,2405,2405,307,polygon,TRUE,America/Chicago,72437
Snowball-AR,1840001751,Snowball,Snowball,AR,Snowball-AR,Arkansas,5129,Searcy,35.9065,-92.8218,,,12.6,point,FALSE,America/Chicago,72650
