City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Picture Rocks-AZ,1840019482,Picture Rocks,Picture Rocks,AZ,Picture Rocks-AZ,Arizona,4019,Pima,32.3273,-111.2557,,,11.7,polygon,FALSE,America/Phoenix,85653 85743
Continental-AZ,1840027943,Continental,Continental,AZ,Continental-AZ,Arizona,4019,Pima,31.8523,-110.9748,,,243.6,point,FALSE,America/Phoenix,85614
Scottsdale-AZ,1840021940,Scottsdale,Scottsdale,AZ,Scottsdale-AZ,Arizona,4013,Maricopa,33.6872,-111.865,246645,246645,517,polygon,TRUE,America/Phoenix,85259 85258 85251 85250 85257 85255 85254 85266 85262 85260 85252 85261 85267 85271
Flagstaff-AZ,1840020335,Flagstaff,Flagstaff,AZ,Flagstaff-AZ,Arizona,4005,Coconino,35.1867,-111.6175,78065,71459,428,polygon,TRUE,America/Phoenix,86001 86011 86004 86005
Nogales-AZ,1840020823,Nogales,Nogales,AZ,Nogales-AZ,Arizona,4023,Santa Cruz,31.3624,-110.9336,30771,20008,371,polygon,TRUE,America/Phoenix,85621 85662
Laveen-AZ,1840027862,Laveen,Laveen,AZ,Laveen-AZ,Arizona,4013,Maricopa,33.3628,-112.1693,,,952.7,point,FALSE,America/Phoenix,85339
Valle-AZ,1840022592,Valle,Valle,AZ,Valle-AZ,Arizona,4005,Coconino,35.6245,-112.135,,,39.4,polygon,FALSE,America/Phoenix,86046
Ak-Chin Village-AZ,1840018029,Ak-Chin Village,Ak-Chin Village,AZ,Ak-Chin Village-AZ,Arizona,4021,Pinal,33.0197,-112.0808,,,112.5,polygon,FALSE,America/Phoenix,85139
Hotevilla-Bacavi-AZ,1840027979,Hotevilla-Bacavi,Hotevilla-Bacavi,AZ,Hotevilla-Bacavi-AZ,Arizona,4017,Navajo,35.9225,-110.6569,,,425.4,polygon,FALSE,America/Phoenix,86030
Parker-AZ,1840022875,Parker,Parker,AZ,Parker-AZ,Arizona,4012,La Paz,34.0286,-114.2224,4679,3026,53,polygon,TRUE,America/Phoenix,85344 85346
Tuba City-AZ,1840018972,Tuba City,Tuba City,AZ,Tuba City-AZ,Arizona,4005,Coconino,36.125,-111.2467,,,747.9,polygon,FALSE,America/Denver,86045
Cortaro-AZ,1840027890,Cortaro,Cortaro,AZ,Cortaro-AZ,Arizona,4019,Pima,32.3562,-111.0884,,,11,point,FALSE,America/Phoenix,85743
Tolleson-AZ,1840021943,Tolleson,Tolleson,AZ,Tolleson-AZ,Arizona,4013,Maricopa,33.4484,-112.2561,7178,7178,480,polygon,TRUE,America/Phoenix,85353
Chandler Heights-AZ,1840001816,Chandler Heights,Chandler Heights,AZ,Chandler Heights-AZ,Arizona,4013,Maricopa,33.212,-111.6862,,,425,point,FALSE,America/Phoenix,85142
Rillito-AZ,1840023075,Rillito,Rillito,AZ,Rillito-AZ,Arizona,4019,Pima,32.4157,-111.1549,,,134.5,polygon,FALSE,America/Phoenix,85654 85653
Hereford-AZ,1840001837,Hereford,Hereford,AZ,Hereford-AZ,Arizona,4003,Cochise,31.4384,-110.0979,,,5.2,point,FALSE,America/Phoenix,85603
Wittmann-AZ,1840022928,Wittmann,Wittmann,AZ,Wittmann-AZ,Arizona,4013,Maricopa,33.775,-112.5251,,,453.1,polygon,FALSE,America/Phoenix,85361
Kinter-AZ,1840027903,Kinter,Kinter,AZ,Kinter-AZ,Arizona,4027,Yuma,32.7573,-114.398,,,1.7,point,FALSE,America/Phoenix,85365
Gila Bend-AZ,1840021946,Gila Bend,Gila Bend,AZ,Gila Bend-AZ,Arizona,4013,Maricopa,32.9662,-112.7155,2071,2071,12,polygon,TRUE,America/Phoenix,85337
Oro Valley-AZ,1840023058,Oro Valley,Oro Valley,AZ,Oro Valley-AZ,Arizona,4019,Pima,32.4226,-110.9767,43781,43781,476,polygon,TRUE,America/Phoenix,85755 85704 85737
Saint Johns-AZ,1840021622,Saint Johns,Saint Johns,AZ,Saint Johns-AZ,Arizona,4001,Apache,34.5018,-109.3784,2614,3568,53,polygon,TRUE,America/Phoenix,85936
Blackwater-AZ,1840018031,Blackwater,Blackwater,AZ,Blackwater-AZ,Arizona,4021,Pinal,33.0394,-111.5798,,,154.1,polygon,FALSE,America/Phoenix,85128
Cactus Forest-AZ,1840022982,Cactus Forest,Cactus Forest,AZ,Cactus Forest-AZ,Arizona,4021,Pinal,32.9578,-111.317,,,75.5,polygon,FALSE,America/Phoenix,85132
