City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
La Quinta-CA,1840020559,La Quinta,La Quinta,CA,La Quinta-CA,California,6065,Riverside,33.6537,-116.2785,40956,40956,450,polygon,TRUE,America/Los_Angeles,92253 92202 92247 92248
Saint Helena-CA,1840021486,Saint Helena,Saint Helena,CA,Saint Helena-CA,California,6055,Napa,38.5044,-122.4681,7119,6154,476,polygon,TRUE,America/Los_Angeles,94574
Burney-CA,1840017491,Burney,Burney,CA,Burney-CA,California,6089,Shasta,40.8849,-121.6699,,,891.1,polygon,FALSE,America/Los_Angeles,96013
Kensington-CA,1840017613,Kensington,Kensington,CA,Kensington-CA,California,6013,Contra Costa,37.9084,-122.2805,,,1849.8,polygon,FALSE,America/Los_Angeles,94708 94707
Upper Lake-CA,1840018805,Upper Lake,Upper Lake,CA,Upper Lake-CA,California,6033,Lake,39.1653,-122.9052,,,413.6,polygon,FALSE,America/Los_Angeles,95485
Pleasant Hill-CA,1840020283,Pleasant Hill,Pleasant Hill,CA,Pleasant Hill-CA,California,6013,Contra Costa,37.954,-122.0759,34853,34853,1901,polygon,TRUE,America/Los_Angeles,94523
Leggett-CA,1840026597,Leggett,Leggett,CA,Leggett-CA,California,6045,Mendocino,39.8635,-123.7253,,,49.8,polygon,FALSE,America/Los_Angeles,95585
Pomona-CA,1840020507,Pomona,Pomona,CA,Pomona-CA,California,6037,Los Angeles,34.0585,-117.7625,152494,152494,2565,polygon,TRUE,America/Los_Angeles,91766 91767 91768 91769
Fieldbrook-CA,1840025519,Fieldbrook,Fieldbrook,CA,Fieldbrook-CA,California,6023,Humboldt,40.9722,-124.025,,,353.7,polygon,FALSE,America/Los_Angeles,95519
Oakdale-CA,1840020289,Oakdale,Oakdale,CA,Oakdale-CA,California,6099,Stanislaus,37.762,-120.8463,22564,22564,1441,polygon,TRUE,America/Los_Angeles,95361
Thermalito-CA,1840018780,Thermalito,Thermalito,CA,Thermalito-CA,California,6007,Butte,39.4909,-121.6149,,,991.2,polygon,FALSE,America/Los_Angeles,95965
Knights Landing-CA,1840024601,Knights Landing,Knights Landing,CA,Knights Landing-CA,California,6113,Yolo,38.7979,-121.7176,,,1199,polygon,FALSE,America/Los_Angeles,95645
Big Oak Flat-CA,1840028144,Big Oak Flat,Big Oak Flat,CA,Big Oak Flat-CA,California,6109,Tuolumne,37.8235,-120.2582,,,68.4,point,FALSE,America/Los_Angeles,95305
Guerneville-CA,1840017578,Guerneville,Guerneville,CA,Guerneville-CA,California,6097,Sonoma,38.5137,-122.9894,,,672.1,polygon,FALSE,America/Los_Angeles,95446 95471
Upland-CA,1840021730,Upland,Upland,CA,Upland-CA,California,6071,San Bernardino,34.1178,-117.6603,76684,76684,1895,polygon,TRUE,America/Los_Angeles,91784 91786 91785
Riverbank-CA,1840020286,Riverbank,Riverbank,CA,Riverbank-CA,California,6099,Stanislaus,37.7269,-120.9406,24389,24389,2301,polygon,TRUE,America/Los_Angeles,95367
Waterloo-CA,1840026771,Waterloo,Waterloo,CA,Waterloo-CA,California,6077,San Joaquin,38.0365,-121.1846,,,77.1,polygon,FALSE,America/Los_Angeles,95215
Montrose-CA,1840028256,Montrose,Montrose,CA,Montrose-CA,California,6037,Los Angeles,34.2064,-118.2242,,,1713.6,point,FALSE,America/Los_Angeles,91020
Industry-CA,1840019236,Industry,Industry,CA,Industry-CA,California,6037,Los Angeles,34.0175,-117.9268,205,205,6,polygon,TRUE,America/Los_Angeles,91748 91746 91789 91745 91744 91714 91715
Jacumba Hot Springs-CA,1840025044,Jacumba Hot Springs,Jacumba Hot Springs,CA,Jacumba Hot Springs-CA,California,6073,San Diego,32.6277,-116.1827,,,631.9,polygon,FALSE,America/Tijuana,91934
Amador City-CA,1840018850,Amador City,Amador City,CA,Amador City-CA,California,6005,Amador,38.4189,-120.8236,191,191,235,polygon,TRUE,America/Los_Angeles,95601 95685
Brea-CA,1840019323,Brea,Brea,CA,Brea-CA,California,6059,Orange,33.9255,-117.8654,42471,42471,1344,polygon,TRUE,America/Los_Angeles,92821 92823 92822
Bella Vista-CA,1840022392,Bella Vista,Bella Vista,CA,Bella Vista-CA,California,6089,Shasta,40.6502,-122.245,,,79,polygon,FALSE,America/Los_Angeles,96008 96003
San Jacinto-CA,1840021936,San Jacinto,San Jacinto,CA,San Jacinto-CA,California,6065,Riverside,33.797,-116.9915,47413,47413,711,polygon,TRUE,America/Los_Angeles,92583 92582 92581
Redding-CA,1840020141,Redding,Redding,CA,Redding-CA,California,6089,Shasta,40.5698,-122.365,120288,91808,594,polygon,TRUE,America/Los_Angeles,96002 96003 96001
Exeter-CA,1840020365,Exeter,Exeter,CA,Exeter-CA,California,6107,Tulare,36.294,-119.1459,10506,10506,1646,polygon,TRUE,America/Los_Angeles,93221
Goshen-CA,1840017693,Goshen,Goshen,CA,Goshen-CA,California,6107,Tulare,36.3518,-119.421,,,698.8,polygon,FALSE,America/Los_Angeles,93291 93227
Templeton-CA,1840019127,Templeton,Templeton,CA,Templeton-CA,California,6079,San Luis Obispo,35.556,-120.7182,,,259.5,polygon,FALSE,America/Los_Angeles,93446 93465
East Nicolaus-CA,1840024522,East Nicolaus,East Nicolaus,CA,East Nicolaus-CA,California,6101,Sutter,38.91,-121.5443,,,59.9,polygon,FALSE,America/Los_Angeles,95659
Hercules-CA,1840020276,Hercules,Hercules,CA,Hercules-CA,California,6013,Contra Costa,38.0064,-122.2564,25360,25360,1526,polygon,TRUE,America/Los_Angeles,94547 94553
Johnsville-CA,1840017522,Johnsville,Johnsville,CA,Johnsville-CA,California,6063,Plumas,39.7663,-120.713,,,9.1,polygon,FALSE,America/Los_Angeles,96103
Biola-CA,1840017629,Biola,Biola,CA,Biola-CA,California,6019,Fresno,36.7999,-120.0212,,,516.7,polygon,FALSE,America/Los_Angeles,93606 93630
Moorpark-CA,1840020472,Moorpark,Moorpark,CA,Moorpark-CA,California,6111,Ventura,34.2855,-118.877,36481,36481,1119,polygon,TRUE,America/Los_Angeles,93021 93020
Windsor-CA,1840022484,Windsor,Windsor,CA,Windsor-CA,California,6097,Sonoma,38.5417,-122.8086,27555,27555,1463,polygon,TRUE,America/Los_Angeles,95492
El Monte-CA,1840020480,El Monte,El Monte,CA,El Monte-CA,California,6037,Los Angeles,34.0739,-118.0291,115807,115807,4675,polygon,TRUE,America/Los_Angeles,91732 91731 91733 91734 91735
Calistoga-CA,1840018835,Calistoga,Calistoga,CA,Calistoga-CA,California,6055,Napa,38.5817,-122.5825,5311,5311,789,polygon,TRUE,America/Los_Angeles,94515
Bucks Lake-CA,1840028336,Bucks Lake,Bucks Lake,CA,Bucks Lake-CA,California,6063,Plumas,39.8798,-121.1941,,,0,polygon,FALSE,America/Los_Angeles,95956
Wilseyville-CA,1840028204,Wilseyville,Wilseyville,CA,Wilseyville-CA,California,6009,Calaveras,38.3791,-120.5146,,,126,point,FALSE,America/Los_Angeles,95257
Igo-CA,1840027339,Igo,Igo,CA,Igo-CA,California,6089,Shasta,40.5054,-122.5417,,,12.3,point,FALSE,America/Los_Angeles,96047
Hat Creek-CA,1840028323,Hat Creek,Hat Creek,CA,Hat Creek-CA,California,6089,Shasta,40.8101,-121.4809,,,8.9,polygon,FALSE,America/Los_Angeles,96040
Mesa Verde-CA,1840028260,Mesa Verde,Mesa Verde,CA,Mesa Verde-CA,California,6065,Riverside,33.5958,-114.7319,,,802.9,polygon,FALSE,America/Los_Angeles,92225
Sebastopol-CA,1840021489,Sebastopol,Sebastopol,CA,Sebastopol-CA,California,6097,Sonoma,38.4001,-122.8277,7678,7678,1593,polygon,TRUE,America/Los_Angeles,95472 95473
Avery-CA,1840017591,Avery,Avery,CA,Avery-CA,California,6009,Calaveras,38.1939,-120.379,,,259.9,polygon,FALSE,America/Los_Angeles,95233 95224
McKittrick-CA,1840017815,McKittrick,McKittrick,CA,McKittrick-CA,California,6029,Kern,35.2981,-119.6249,,,116.6,polygon,FALSE,America/Los_Angeles,93251
Clearlake-CA,1840028139,Clearlake,Clearlake,CA,Clearlake-CA,California,6033,Lake,38.959,-122.6331,15737,15053,573,polygon,TRUE,America/Los_Angeles,95422 95424
Sawyers Bar-CA,1840027266,Sawyers Bar,Sawyers Bar,CA,Sawyers Bar-CA,California,6093,Siskiyou,41.2974,-123.1303,,,15.6,point,FALSE,America/Los_Angeles,96027
Irwin-CA,1840028157,Irwin,Irwin,CA,Irwin-CA,California,6047,Merced,37.3969,-120.8499,,,653.1,point,FALSE,America/Los_Angeles,95324
Burbank-CA,1840019233,Burbank,Burbank,CA,Burbank-CA,California,6037,Los Angeles,34.188,-118.3234,104447,104447,2325,polygon,TRUE,America/Los_Angeles,91506 91504 91505 91502 91501 91503 91507 91508 91510 91521 91522 91523 91526
Discovery Bay-CA,1840018897,Discovery Bay,Discovery Bay,CA,Discovery Bay-CA,California,6013,Contra Costa,37.9064,-121.5985,,,1078.6,polygon,FALSE,America/Los_Angeles,94505
North San Juan-CA,1840026654,North San Juan,North San Juan,CA,North San Juan-CA,California,6057,Nevada,39.3719,-121.106,,,97.6,polygon,FALSE,America/Los_Angeles,95960
Rancho Santa Margarita-CA,1840020584,Rancho Santa Margarita,Rancho Santa Margarita,CA,Rancho Santa Margarita-CA,California,6059,Orange,33.6318,-117.5989,48969,48969,1466,polygon,TRUE,America/Los_Angeles,92679 92688
Komandorski Village-CA,1840028110,Komandorski Village,Komandorski Village,CA,Komandorski Village-CA,California,6001,Alameda,37.716,-121.9088,,,2340.4,point,FALSE,America/Los_Angeles,94568
Casa Conejo-CA,1840017912,Casa Conejo,Casa Conejo,CA,Casa Conejo-CA,California,6111,Ventura,34.1848,-118.9445,,,2425.5,polygon,FALSE,America/Los_Angeles,91320
South Whittier-CA,1840019209,South Whittier,South Whittier,CA,South Whittier-CA,California,6037,Los Angeles,33.9336,-118.0311,,,4985.6,polygon,FALSE,America/Los_Angeles,90604 90605
Manhattan Beach-CA,1840020496,Manhattan Beach,Manhattan Beach,CA,Manhattan Beach-CA,California,6037,Los Angeles,33.8895,-118.3972,35741,35741,3504,polygon,TRUE,America/Los_Angeles,90266 90267
Green Valley-CA,1840025002,Green Valley,Green Valley,CA,Green Valley-CA,California,6037,Los Angeles,34.6172,-118.4059,,,409.1,polygon,FALSE,America/Los_Angeles,91390
Orleans-CA,1840009405,Orleans,Orleans,CA,Orleans-CA,California,6023,Humboldt,41.3015,-123.5412,,,67.4,point,FALSE,America/Los_Angeles,95556
Quincy-CA,1840018768,Quincy,Quincy,CA,Quincy-CA,California,6063,Plumas,39.931,-120.9548,,,750.1,polygon,FALSE,America/Los_Angeles,95971
Ignacio-CA,1840028055,Ignacio,Ignacio,CA,Ignacio-CA,California,6041,Marin,38.0702,-122.5386,,,581.3,point,FALSE,America/Los_Angeles,94949
Rolling Hills-CA,1840020493,Rolling Hills,Rolling Hills,CA,Rolling Hills-CA,California,6037,Los Angeles,33.76,-118.3471,1887,1887,243,polygon,TRUE,America/Los_Angeles,90274
Leona Valley-CA,1840025004,Leona Valley,Leona Valley,CA,Leona Valley-CA,California,6037,Los Angeles,34.6147,-118.299,,,81.7,polygon,FALSE,America/Los_Angeles,93551
Valley Ford-CA,1840024622,Valley Ford,Valley Ford,CA,Valley Ford-CA,California,6097,Sonoma,38.3246,-122.9148,,,16.1,polygon,FALSE,America/Los_Angeles,94952 94922
Kelso-CA,1840028033,Kelso,Kelso,CA,Kelso-CA,California,6071,San Bernardino,35.0125,-115.6536,,,1.9,point,FALSE,America/Los_Angeles,92332
Pope Valley-CA,1840028005,Pope Valley,Pope Valley,CA,Pope Valley-CA,California,6055,Napa,38.6152,-122.4278,,,7.2,point,FALSE,America/Los_Angeles,94574
Montgomery Creek-CA,1840018730,Montgomery Creek,Montgomery Creek,CA,Montgomery Creek-CA,California,6089,Shasta,40.8415,-121.9215,,,25.2,polygon,FALSE,America/Los_Angeles,96065 96084
Orangevale-CA,1840018842,Orangevale,Orangevale,CA,Orangevale-CA,California,6067,Sacramento,38.688,-121.2208,,,1597.2,polygon,FALSE,America/Los_Angeles,95662
Ahwahnee-CA,1840025722,Ahwahnee,Ahwahnee,CA,Ahwahnee-CA,California,6039,Madera,37.3653,-119.7194,,,62.2,polygon,FALSE,America/Los_Angeles,93601 93644
Hacienda Heights-CA,1840017921,Hacienda Heights,Hacienda Heights,CA,Hacienda Heights-CA,California,6037,Los Angeles,33.997,-117.9728,,,3309.4,polygon,FALSE,America/Los_Angeles,91745 91716
Vernon-CA,1840021874,Vernon,Vernon,CA,Vernon-CA,California,6037,Los Angeles,34.0019,-118.2106,113,113,8,polygon,TRUE,America/Los_Angeles,90058
Corning-CA,1840018762,Corning,Corning,CA,Corning-CA,California,6103,Tehama,39.9282,-122.182,8409,7535,819,polygon,TRUE,America/Los_Angeles,96021
Maywood-CA,1840020497,Maywood,Maywood,CA,Maywood-CA,California,6037,Los Angeles,33.9885,-118.1877,27633,27633,9053,polygon,TRUE,America/Los_Angeles,90270
La Habra Heights-CA,1840020511,La Habra Heights,La Habra Heights,CA,La Habra Heights-CA,California,6037,Los Angeles,33.9603,-117.9509,5411,5411,339,polygon,TRUE,America/Los_Angeles,90631
Thousand Palms-CA,1840019291,Thousand Palms,Thousand Palms,CA,Thousand Palms-CA,California,6065,Riverside,33.815,-116.3545,,,2376,polygon,FALSE,America/Los_Angeles,92276
Angwin-CA,1840017570,Angwin,Angwin,CA,Angwin-CA,California,6055,Napa,38.5776,-122.4512,,,753.5,polygon,FALSE,America/Los_Angeles,94508
Centerville-CA,1840022563,Centerville,Centerville,CA,Centerville-CA,California,6019,Fresno,36.7361,-119.4961,,,36,polygon,FALSE,America/Los_Angeles,93657
East Palo Alto-CA,1840020301,East Palo Alto,East Palo Alto,CA,East Palo Alto-CA,California,6081,San Mateo,37.4671,-122.1347,29684,29684,4573,polygon,TRUE,America/Los_Angeles,94303
Mount Hermon-CA,1840024796,Mount Hermon,Mount Hermon,CA,Mount Hermon-CA,California,6087,Santa Cruz,37.0511,-122.0532,,,415.6,polygon,FALSE,America/Los_Angeles,95018 95066 95041
Forestville-CA,1840017575,Forestville,Forestville,CA,Forestville-CA,California,6097,Sonoma,38.4825,-122.8899,,,453.7,polygon,FALSE,America/Los_Angeles,95436
South San Gabriel-CA,1840019207,South San Gabriel,South San Gabriel,CA,South San Gabriel-CA,California,6037,Los Angeles,34.0489,-118.0962,,,4536.9,polygon,FALSE,America/Los_Angeles,91770
Valley Acres-CA,1840019143,Valley Acres,Valley Acres,CA,Valley Acres-CA,California,6029,Kern,35.2087,-119.4106,,,332.1,polygon,FALSE,America/Los_Angeles,93268
Westhaven-CA,1840027331,Westhaven,Westhaven,CA,Westhaven-CA,California,6023,Humboldt,41.036,-124.1112,,,299.6,point,FALSE,America/Los_Angeles,95570
Del Mar-CA,1840019355,Del Mar,Del Mar,CA,Del Mar-CA,California,6073,San Diego,32.9633,-117.2627,4365,4365,987,polygon,TRUE,America/Los_Angeles,92014
Lakewood-CA,1840020515,Lakewood,Lakewood,CA,Lakewood-CA,California,6037,Los Angeles,33.8471,-118.1222,81138,81138,3326,polygon,TRUE,America/Los_Angeles,90715 90712 90713 90711 90714
Interlaken-CA,1840017653,Interlaken,Interlaken,CA,Interlaken-CA,California,6087,Santa Cruz,36.9505,-121.7363,,,173.3,polygon,FALSE,America/Los_Angeles,95076
