City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Aspen Park-CO,1840017538,Aspen Park,Aspen Park,CO,Aspen Park-CO,Colorado,8059,Jefferson,39.5423,-105.2968,,,109.7,polygon,FALSE,America/Denver,80433
Milner-CO,1840027362,Milner,Milner,CO,Milner-CO,Colorado,8107,Routt,40.4847,-107.0195,,,199,point,FALSE,America/Denver,80487
Alamosa-CO,1840018921,Alamosa,Alamosa,CO,Alamosa-CO,Colorado,8003,Alamosa,37.4755,-105.877,11015,9918,514,polygon,TRUE,America/Denver,81101 81102
Platner-CO,1840027394,Platner,Platner,CO,Platner-CO,Colorado,8121,Washington,40.1553,-103.0674,,,9.7,point,FALSE,America/Denver,80743
Red Cliff-CO,1840021425,Red Cliff,Red Cliff,CO,Red Cliff-CO,Colorado,8037,Eagle,39.5091,-106.3703,273,273,448,polygon,TRUE,America/Denver,81649
New Raymer-CO,1840028517,New Raymer,New Raymer,CO,New Raymer-CO,Colorado,8123,Weld,40.6067,-103.8438,,,45.6,point,TRUE,America/Denver,80742
Bailey-CO,1840027471,Bailey,Bailey,CO,Bailey-CO,Colorado,8093,Park,39.4055,-105.4733,,,59.3,point,FALSE,America/Denver,80421
Sherrelwood-CO,1840028581,Sherrelwood,Sherrelwood,CO,Sherrelwood-CO,Colorado,8001,Adams,39.839,-105.0014,,,3045.9,polygon,FALSE,America/Denver,80221
Nederland-CO,1840022424,Nederland,Nederland,CO,Nederland-CO,Colorado,8013,Boulder,39.9633,-105.5071,1534,1534,400,polygon,TRUE,America/Denver,80466
Redvale-CO,1840026737,Redvale,Redvale,CO,Redvale-CO,Colorado,8085,Montrose,38.1761,-108.4126,,,21.9,polygon,FALSE,America/Denver,81431
Lake City-CO,1840021528,Lake City,Lake City,CO,Lake City-CO,Colorado,8053,Hinsdale,38.0303,-107.3103,374,374,173,polygon,TRUE,America/Denver,81235
Platteville-CO,1840021360,Platteville,Platteville,CO,Platteville-CO,Colorado,8123,Weld,40.224,-104.834,2722,2722,365,polygon,TRUE,America/Denver,80651
Arboles-CO,1840017646,Arboles,Arboles,CO,Arboles-CO,Colorado,8007,Archuleta,37.0201,-107.4221,,,82.5,polygon,FALSE,America/Denver,81137 81147 81121
Rifle-CO,1840020185,Rifle,Rifle,CO,Rifle-CO,Colorado,8045,Garfield,39.5361,-107.7719,11042,9665,537,polygon,TRUE,America/Denver,81650
Dailey-CO,1840027378,Dailey,Dailey,CO,Dailey-CO,Colorado,8075,Logan,40.6567,-102.7238,,,36.3,point,FALSE,America/Denver,80731
Raymer-CO,1840021361,Raymer,Raymer,CO,Raymer-CO,Colorado,8123,Weld,40.6078,-103.8443,105,105,56,polygon,TRUE,America/Denver,80742
Poncha Springs-CO,1840021474,Poncha Springs,Poncha Springs,CO,Poncha Springs-CO,Colorado,8015,Chaffee,38.5131,-106.0962,771,771,109,polygon,TRUE,America/Denver,81201 81242
Black Hawk-CO,1840018787,Black Hawk,Black Hawk,CO,Black Hawk-CO,Colorado,8047,Gilpin,39.8011,-105.4891,127,127,25,polygon,TRUE,America/Denver,80422
