City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Bantam-CT,1840004768,Bantam,Bantam,CT,Bantam-CT,Connecticut,9005,Litchfield,41.7247,-73.2422,732,732,279,polygon,TRUE,America/New_York,6750
South Windham-CT,1840003281,South Windham,South Windham,CT,South Windham-CT,Connecticut,9015,Windham,41.6849,-72.1845,,,247.4,polygon,FALSE,America/New_York,06226 06266
South Woodstock-CT,1840003282,South Woodstock,South Woodstock,CT,South Woodstock-CT,Connecticut,9015,Windham,41.9275,-71.9627,,,190.9,polygon,FALSE,America/New_York,06281 06267
Torrington-CT,1840004770,Torrington,Torrington,CT,Torrington-CT,Connecticut,9005,Litchfield,41.8349,-73.1282,40710,34646,336,polygon,TRUE,America/New_York,6790
Kensington-CT,1840000505,Kensington,Kensington,CT,Kensington-CT,Connecticut,9003,Hartford,41.6298,-72.7714,,,1329.5,polygon,FALSE,America/New_York,6037
New London-CT,1840004827,New London,New London,CT,New London-CT,Connecticut,9011,New London,41.3502,-72.1023,26984,26984,1853,polygon,TRUE,America/New_York,6320
Thompsonville-CT,1840003267,Thompsonville,Thompsonville,CT,Thompsonville-CT,Connecticut,9003,Hartford,41.9916,-72.5965,,,2761.9,polygon,FALSE,America/New_York,6082
Greens Farms-CT,1840027295,Greens Farms,Greens Farms,CT,Greens Farms-CT,Connecticut,9001,Fairfield,41.124,-73.3193,,,131.9,point,FALSE,America/New_York,6880
Milford-CT,1840028594,Milford,Milford,CT,Milford-CT,Connecticut,9009,New Haven,41.2223,-73.0565,,,1188.9,point,TRUE,America/New_York,6460
Coventry Lake-CT,1840028597,Coventry Lake,Coventry Lake,CT,Coventry Lake-CT,Connecticut,9013,Tolland,41.7736,-72.3287,,,656,polygon,FALSE,America/New_York,6238
Waterbury-CT,1840004851,Waterbury,Waterbury,CT,Waterbury-CT,Connecticut,9009,New Haven,41.5583,-73.0361,190855,108272,1465,polygon,TRUE,America/New_York,06708 06702 06704 06705 06706 06710 06701 06703 06720 06721 06722 06723 06724 06725 06726 06749
Newtown-CT,1840004838,Newtown,Newtown,CT,Newtown-CT,Connecticut,9001,Fairfield,41.4119,-73.312,1953,1953,327,polygon,TRUE,America/New_York,6470
Noank-CT,1840003351,Noank,Noank,CT,Noank-CT,Connecticut,9011,New London,41.334,-71.9978,,,824.6,polygon,FALSE,America/New_York,06355 06340
