City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Highland Acres-DE,1840028616,Highland Acres,Highland Acres,DE,Highland Acres-DE,Delaware,10001,Kent,39.1164,-75.5217,,,1021.7,polygon,FALSE,America/New_York,19901
Wyoming-DE,1840005822,Wyoming,Wyoming,DE,Wyoming-DE,Delaware,10001,Kent,39.1143,-75.5632,1486,1486,541,polygon,TRUE,America/New_York,19934
Newark-DE,1840005578,Newark,Newark,DE,Newark-DE,Delaware,10003,New Castle,39.6777,-75.7573,33398,33398,1403,polygon,TRUE,America/New_York,19713 19711 19717 19716 19712 19714 19715 19718 19725 19726
Talleyville-DE,1840027453,Talleyville,Talleyville,DE,Talleyville-DE,Delaware,10003,New Castle,39.809,-75.5488,,,509.1,point,FALSE,America/New_York,19810
Rising Sun-DE,1840027482,Rising Sun,Rising Sun,DE,Rising Sun-DE,Delaware,10001,Kent,39.1004,-75.5155,,,374.5,point,FALSE,America/New_York,19934
Fenwick Island-DE,1840006063,Fenwick Island,Fenwick Island,DE,Fenwick Island-DE,Delaware,10005,Sussex,38.4604,-75.0542,426,426,499,polygon,TRUE,America/New_York,19944
Roseville Park-DE,1840027451,Roseville Park,Roseville Park,DE,Roseville Park-DE,Delaware,10003,New Castle,39.6996,-75.713,,,2808,point,FALSE,America/New_York,19711
Blades-DE,1840006074,Blades,Blades,DE,Blades-DE,Delaware,10005,Sussex,38.6353,-75.6026,1380,1380,959,polygon,TRUE,America/New_York,19973
Milford-DE,1840006069,Milford,Milford,DE,Milford-DE,Delaware,10005,Sussex,38.9095,-75.4232,20683,10979,442,polygon,TRUE,America/New_York,19963
Stanton-DE,1840027452,Stanton,Stanton,DE,Stanton-DE,Delaware,10003,New Castle,39.7157,-75.6408,,,456.7,point,FALSE,America/New_York,19804
Holly Oak-DE,1840027445,Holly Oak,Holly Oak,DE,Holly Oak-DE,Delaware,10003,New Castle,39.7884,-75.4788,,,2227.8,point,FALSE,America/New_York,19809
Christiana-DE,1840027441,Christiana,Christiana,DE,Christiana-DE,Delaware,10003,New Castle,39.6651,-75.6599,,,813.5,point,FALSE,America/New_York,19702
Bridgeville-DE,1840006075,Bridgeville,Bridgeville,DE,Bridgeville-DE,Delaware,10005,Sussex,38.7248,-75.6027,3758,2302,191,polygon,TRUE,America/New_York,19933
Greenwood-DE,1840006066,Greenwood,Greenwood,DE,Greenwood-DE,Delaware,10005,Sussex,38.8069,-75.5907,1085,1085,579,polygon,TRUE,America/New_York,19950
Saint Georges-DE,1840028612,Saint Georges,Saint Georges,DE,Saint Georges-DE,Delaware,10003,New Castle,39.5576,-75.6533,,,329.7,polygon,FALSE,America/New_York,19733 19720 19701 19709
Edgemoor-DE,1840028608,Edgemoor,Edgemoor,DE,Edgemoor-DE,Delaware,10003,New Castle,39.7549,-75.5063,,,520.9,polygon,FALSE,America/New_York,19809 19802
Bethany Beach-DE,1840006072,Bethany Beach,Bethany Beach,DE,Bethany Beach-DE,Delaware,10005,Sussex,38.5391,-75.066,1194,1194,400,polygon,TRUE,America/New_York,19930
Ogletown-DE,1840028611,Ogletown,Ogletown,DE,Ogletown-DE,Delaware,10003,New Castle,39.6782,-75.6974,,,1411.6,point,FALSE,America/New_York,19713
Middletown-DE,1840005581,Middletown,Middletown,DE,Middletown-DE,Delaware,10003,New Castle,39.4451,-75.7165,32540,20876,684,polygon,TRUE,America/New_York,19709
Cheswold-DE,1840005814,Cheswold,Cheswold,DE,Cheswold-DE,Delaware,10001,Kent,39.2224,-75.5911,1425,1425,427,polygon,TRUE,America/New_York,19936 19904
Newport-DE,1840005582,Newport,Newport,DE,Newport-DE,Delaware,10003,New Castle,39.7136,-75.6052,1050,1050,924,polygon,TRUE,America/New_York,19804
Harrington-DE,1840005811,Harrington,Harrington,DE,Harrington-DE,Delaware,10001,Kent,38.9243,-75.5705,4594,3679,517,polygon,TRUE,America/New_York,19952
Dewey Beach-DE,1840006061,Dewey Beach,Dewey Beach,DE,Dewey Beach-DE,Delaware,10005,Sussex,38.6958,-75.0749,379,379,442,polygon,TRUE,America/New_York,19971
Brookside-DE,1840005569,Brookside,Brookside,DE,Brookside-DE,Delaware,10003,New Castle,39.6666,-75.7153,,,2217.7,polygon,FALSE,America/New_York,19713
Marshallton-DE,1840027446,Marshallton,Marshallton,DE,Marshallton-DE,Delaware,10003,New Castle,39.7257,-75.6541,,,1598,point,FALSE,America/New_York,19808
Camden-DE,1840005813,Camden,Camden,DE,Camden-DE,Delaware,10001,Kent,39.099,-75.557,3489,3489,364,polygon,TRUE,America/New_York,19934 19904
Claymont-DE,1840005570,Claymont,Claymont,DE,Claymont-DE,Delaware,10003,New Castle,39.8032,-75.4606,,,1512.8,polygon,FALSE,America/New_York,19703
Milton-DE,1840006081,Milton,Milton,DE,Milton-DE,Delaware,10005,Sussex,38.775,-75.3104,2856,2879,616,polygon,TRUE,America/New_York,19968
Dagsboro-DE,1840006076,Dagsboro,Dagsboro,DE,Dagsboro-DE,Delaware,10005,Sussex,38.5466,-75.2466,878,878,248,polygon,TRUE,America/New_York,19939
Westover Hills-DE,1840027454,Westover Hills,Westover Hills,DE,Westover Hills-DE,Delaware,10003,New Castle,39.7634,-75.5908,,,618.1,point,FALSE,America/New_York,19807
Slaughter Beach-DE,1840006084,Slaughter Beach,Slaughter Beach,DE,Slaughter Beach-DE,Delaware,10005,Sussex,38.9143,-75.3085,233,233,66,polygon,TRUE,America/New_York,19963
