City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Lake Panasoffkee-FL,1840014066,Lake Panasoffkee,Lake Panasoffkee,FL,Lake Panasoffkee-FL,Florida,12119,Sumter,28.7877,-82.1318,,,20.8,polygon,FALSE,America/New_York,33538
Alachua-FL,1840014020,Alachua,Alachua,FL,Alachua-FL,Florida,12001,Alachua,29.7779,-82.4827,4493,9893,108,polygon,TRUE,America/New_York,32615 32616
Holt-FL,1840028697,Holt,Holt,FL,Holt-FL,Florida,12091,Okaloosa,30.7157,-86.7458,,,99.5,point,FALSE,America/Chicago,32564
Pretty Bayou-FL,1840029069,Pretty Bayou,Pretty Bayou,FL,Pretty Bayou-FL,Florida,12005,Bay,30.1975,-85.6973,,,739.7,polygon,FALSE,America/Chicago,32405
Bushnell-FL,1840014067,Bushnell,Bushnell,FL,Bushnell-FL,Florida,12119,Sumter,28.6852,-82.1166,4439,3067,106,polygon,TRUE,America/New_York,33513 33538 33585
Apalachicola-FL,1840014015,Apalachicola,Apalachicola,FL,Apalachicola-FL,Florida,12037,Franklin,29.7282,-84.994,3850,2328,468,polygon,TRUE,America/New_York,32320 32329
Campville-FL,1840028865,Campville,Campville,FL,Campville-FL,Florida,12001,Alachua,29.6664,-82.1184,,,12.4,point,FALSE,America/New_York,32640
Tequesta-FL,1840018310,Tequesta,Tequesta,FL,Tequesta-FL,Florida,12099,Palm Beach,26.9619,-80.1012,5990,5990,1260,polygon,TRUE,America/New_York,33469
Dundee-FL,1840017241,Dundee,Dundee,FL,Dundee-FL,Florida,12105,Polk,28.0123,-81.6004,4209,4209,159,polygon,TRUE,America/New_York,33898 33877 33838 33844
West Hollywood-FL,1840028808,West Hollywood,West Hollywood,FL,West Hollywood-FL,Florida,12011,Broward,26.0206,-80.1839,,,1984.3,point,FALSE,America/New_York,33021
Luraville-FL,1840028838,Luraville,Luraville,FL,Luraville-FL,Florida,12121,Suwannee,30.1224,-83.1693,,,35.8,point,FALSE,America/New_York,32060
Sumatra-FL,1840026013,Sumatra,Sumatra,FL,Sumatra-FL,Florida,12077,Liberty,30.023,-84.9825,,,138.7,polygon,FALSE,America/New_York,32321 32335
Bonifay-FL,1840013924,Bonifay,Bonifay,FL,Bonifay-FL,Florida,12059,Holmes,30.7827,-85.6846,4164,2750,260,polygon,TRUE,America/Chicago,32425
Indian Pass-FL,1840028887,Indian Pass,Indian Pass,FL,Indian Pass-FL,Florida,12045,Gulf,29.6905,-85.2644,,,19.9,point,FALSE,America/New_York,32456
Jupiter Island-FL,1840017251,Jupiter Island,Jupiter Island,FL,Jupiter Island-FL,Florida,12085,Martin,27.0449,-80.11,901,901,129,polygon,TRUE,America/New_York,33455
The Villages-FL,1840014065,The Villages,The Villages,FL,The Villages-FL,Florida,12119,Sumter,28.9029,-81.9887,,,1179.6,polygon,FALSE,America/New_York,34785 32162 32159 32163
Taylor Creek-FL,1840029086,Taylor Creek,Taylor Creek,FL,Taylor Creek-FL,Florida,12093,Okeechobee,27.2172,-80.7927,,,932.3,polygon,FALSE,America/New_York,34974
Columbia-FL,1840028654,Columbia,Columbia,FL,Columbia-FL,Florida,12023,Columbia,30.0738,-82.6957,,,95.1,point,FALSE,America/New_York,32024
