City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Pine Mountain Valley-GA,1840029432,Pine Mountain Valley,Pine Mountain Valley,GA,Pine Mountain Valley-GA,Georgia,13145,Harris,32.7987,-84.8233,,,67,point,FALSE,America/New_York,31823
Blackwells-GA,1840029220,Blackwells,Blackwells,GA,Blackwells-GA,Georgia,13067,Cobb,33.9948,-84.518,,,507,point,FALSE,America/New_York,30066
Godwinsville-GA,1840029196,Godwinsville,Godwinsville,GA,Godwinsville-GA,Georgia,13091,Dodge,32.1357,-83.1271,,,20.8,point,FALSE,America/New_York,31023
Madras-GA,1840029151,Madras,Madras,GA,Madras-GA,Georgia,13077,Coweta,33.4401,-84.7422,,,106.5,point,FALSE,America/New_York,30265
Milner-GA,1840014855,Milner,Milner,GA,Milner-GA,Georgia,13171,Lamar,33.1178,-84.1926,615,615,117,polygon,TRUE,America/New_York,30257
Eatonton-GA,1840013764,Eatonton,Eatonton,GA,Eatonton-GA,Georgia,13237,Putnam,33.3258,-83.3886,3934,6555,123,polygon,TRUE,America/New_York,31024 31026
Bushnell-GA,1840029191,Bushnell,Bushnell,GA,Bushnell-GA,Georgia,13069,Coffee,31.5602,-82.9599,,,49.5,point,FALSE,America/New_York,31533
Richland-GA,1840014916,Richland,Richland,GA,Richland-GA,Georgia,13259,Stewart,32.0885,-84.6625,1411,1411,170,polygon,TRUE,America/New_York,31825
Edison-GA,1840013867,Edison,Edison,GA,Edison-GA,Georgia,13037,Calhoun,31.5608,-84.7374,1451,1451,239,polygon,TRUE,America/New_York,39846
Faceville-GA,1840029137,Faceville,Faceville,GA,Faceville-GA,Georgia,13087,Decatur,30.7532,-84.6399,,,33.2,point,FALSE,America/New_York,39819
Lookout Mountain-GA,1840015530,Lookout Mountain,Lookout Mountain,GA,Lookout Mountain-GA,Georgia,13295,Walker,34.9664,-85.3622,1577,1577,228,polygon,TRUE,America/New_York,30750
Plainville-GA,1840014675,Plainville,Plainville,GA,Plainville-GA,Georgia,13129,Gordon,34.4053,-85.0312,323,323,172,polygon,TRUE,America/New_York,30733
Blakely-GA,1840013872,Blakely,Blakely,GA,Blakely-GA,Georgia,13099,Early,31.3827,-84.9228,3477,4702,103,polygon,TRUE,America/New_York,39823
Cadley-GA,1840029227,Cadley,Cadley,GA,Cadley-GA,Georgia,13301,Warren,33.5337,-82.6596,,,1.4,point,FALSE,America/New_York,30821
Fort Valley-GA,1840013819,Fort Valley,Fort Valley,GA,Fort Valley-GA,Georgia,13225,Peach,32.5522,-83.8816,9339,8643,445,polygon,TRUE,America/New_York,31030
Sumner-GA,1840017062,Sumner,Sumner,GA,Sumner-GA,Georgia,13321,Worth,31.5104,-83.7368,402,402,87,polygon,TRUE,America/New_York,31781 31789
Appling-GA,1840029376,Appling,Appling,GA,Appling-GA,Georgia,13073,Columbia,33.5588,-82.3183,,,32.4,polygon,FALSE,America/New_York,30802
Eulonia-GA,1840029193,Eulonia,Eulonia,GA,Eulonia-GA,Georgia,13191,McIntosh,31.5333,-81.427,,,28.9,point,FALSE,America/New_York,31331
Rayle-GA,1840017993,Rayle,Rayle,GA,Rayle-GA,Georgia,13317,Wilkes,33.7902,-82.9031,189,189,71,polygon,TRUE,America/New_York,30660
