City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Waipio Acres-HI,1840029562,Waipiʻo Acres,Waipio Acres,HI,Waipio Acres-HI,Hawaii,15003,Honolulu,21.4689,-158.0173,,,3923.8,polygon,FALSE,Pacific/Honolulu,96789
Ewa Gentry-HI,1840029577,ʻEwa Gentry,Ewa Gentry,HI,Ewa Gentry-HI,Hawaii,15003,Honolulu,21.3343,-158.0259,,,6189.2,polygon,FALSE,Pacific/Honolulu,96706
Ulupalakua-HI,1840029549,ʻUlupalakua,Ulupalakua,HI,Ulupalakua-HI,Hawaii,15009,Maui,20.6487,-156.3982,,,9.3,point,FALSE,Pacific/Honolulu,96790
Niulii-HI,1840029532,Niuliʻi,Niulii,HI,Niulii-HI,Hawaii,15001,Hawaii,20.2223,-155.7442,,,107.8,point,FALSE,Pacific/Honolulu,96755
Haliimaile-HI,1840029475,Hāliʻimaile,Haliimaile,HI,Haliimaile-HI,Hawaii,15009,Maui,20.8671,-156.3381,,,1066,polygon,FALSE,Pacific/Honolulu,96768
Puuwai-HI,1840029547,Puʻuwai,Puuwai,HI,Puuwai-HI,Hawaii,15007,Kauai,21.901,-160.2017,,,1,point,FALSE,Pacific/Honolulu,96769
Laie-HI,1840029514,Lāʻie,Laie,HI,Laie-HI,Hawaii,15003,Honolulu,21.6443,-157.928,,,2911.8,polygon,FALSE,Pacific/Honolulu,96762
Lahaina-HI,1840023234,Lahaina,Lahaina,HI,Lahaina-HI,Hawaii,15009,Maui,20.8847,-156.6618,,,1421.7,polygon,FALSE,Pacific/Honolulu,96761 96767
Hilo-HI,1840023193,Hilo,Hilo,HI,Hilo-HI,Hawaii,15001,Hawaii,19.6886,-155.0864,,,1690.4,polygon,FALSE,Pacific/Honolulu,96720 96721
Waikapu-HI,1840029556,Waikapū,Waikapu,HI,Waikapu-HI,Hawaii,15009,Maui,20.8392,-156.5221,,,1360.2,polygon,FALSE,Pacific/Honolulu,96793
Hanapepe-HI,1840029478,Hanapēpē,Hanapepe,HI,Hanapepe-HI,Hawaii,15007,Kauai,21.914,-159.5874,,,255.9,polygon,FALSE,Pacific/Honolulu,96716
Lihue-HI,1840029519,Līhuʻe,Lihue,HI,Lihue-HI,Hawaii,15007,Kauai,21.9728,-159.3541,,,1959.8,polygon,FALSE,Pacific/Honolulu,96766
Kaunakakai-HI,1840023226,Kaunakakai,Kaunakakai,HI,Kaunakakai-HI,Hawaii,15009,Maui,21.0905,-156.9981,,,194.8,polygon,FALSE,Pacific/Honolulu,96748
Waimea-HI,1840023225,Waimea,Waimea,HI,Waimea-HI,Hawaii,15007,Kauai,21.9651,-159.6679,,,927.8,polygon,FALSE,Pacific/Honolulu,96796
Hawaiian Paradise Park-HI,1840029582,Hawaiian Paradise Park,Hawaiian Paradise Park,HI,Hawaiian Paradise Park-HI,Hawaii,15001,Hawaii,19.5828,-154.9693,,,246.4,polygon,FALSE,Pacific/Honolulu,96749
Kamalo-HI,1840029497,Kamalō,Kamalo,HI,Kamalo-HI,Hawaii,15009,Maui,21.0502,-156.8746,,,39,point,FALSE,Pacific/Honolulu,96748
Wailua Homesteads-HI,1840029591,Wailua Homesteads,Wailua Homesteads,HI,Wailua Homesteads-HI,Hawaii,15007,Kauai,22.065,-159.3771,,,686.6,polygon,FALSE,Pacific/Honolulu,96746
Launiupoko-HI,1840029516,Launiupoko,Launiupoko,HI,Launiupoko-HI,Hawaii,15009,Maui,20.8541,-156.6424,,,190.2,polygon,FALSE,Pacific/Honolulu,96761
Kapalua-HI,1840029583,Kapalua,Kapalua,HI,Kapalua-HI,Hawaii,15009,Maui,20.9959,-156.6417,,,56.9,polygon,FALSE,Pacific/Honolulu,96761
Waiakoa-HI,1840029551,Waiakoa,Waiakoa,HI,Waiakoa-HI,Hawaii,15009,Maui,20.76,-156.3277,,,258.9,point,FALSE,Pacific/Honolulu,96790
Hauula-HI,1840029479,Hauʻula,Hauula,HI,Hauula-HI,Hawaii,15003,Honolulu,21.6111,-157.9118,,,753.2,polygon,FALSE,Pacific/Honolulu,96717
