City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Packwood-IA,1840009334,Packwood,Packwood,IA,Packwood-IA,Iowa,19101,Jefferson,41.1327,-92.0825,222,222,112,polygon,TRUE,America/Chicago,52580
Windsor Heights-IA,1840010186,Windsor Heights,Windsor Heights,IA,Windsor Heights-IA,Iowa,19153,Polk,41.6042,-93.7129,4983,4983,1358,polygon,TRUE,America/Chicago,50324
Ireton-IA,1840007984,Ireton,Ireton,IA,Ireton-IA,Iowa,19167,Sioux,42.9749,-96.3218,601,601,230,polygon,TRUE,America/Chicago,51027
Castalia-IA,1840006863,Castalia,Castalia,IA,Castalia-IA,Iowa,19191,Winneshiek,43.1128,-91.677,166,166,110,polygon,TRUE,America/Chicago,52133
West Branch-IA,1840010174,West Branch,West Branch,IA,West Branch-IA,Iowa,19031,Cedar,41.6627,-91.3406,2359,2359,285,polygon,TRUE,America/Chicago,52358
University Park-IA,1840010262,University Park,University Park,IA,University Park-IA,Iowa,19123,Mahaska,41.2857,-92.6149,474,474,236,polygon,TRUE,America/Chicago,52595 52577
Le Mars-IA,1840008022,Le Mars,Le Mars,IA,Le Mars-IA,Iowa,19149,Plymouth,42.7809,-96.1743,9339,9935,426,polygon,TRUE,America/Chicago,51031
Arbor Hill-IA,1840029688,Arbor Hill,Arbor Hill,IA,Arbor Hill-IA,Iowa,19001,Adair,41.3667,-94.3183,,,3,point,FALSE,America/Chicago,50250
Dundee-IA,1840008049,Dundee,Dundee,IA,Dundee-IA,Iowa,19055,Delaware,42.5799,-91.5461,170,170,181,polygon,TRUE,America/Chicago,52038
Wayland-IA,1840010313,Wayland,Wayland,IA,Wayland-IA,Iowa,19087,Henry,41.1485,-91.6591,952,952,364,polygon,TRUE,America/Chicago,52654
Oakland Acres-IA,1840008172,Oakland Acres,Oakland Acres,IA,Oakland Acres-IA,Iowa,19099,Jasper,41.7204,-92.8211,155,155,211,polygon,TRUE,America/Chicago,50112
Pleasant Hill-IA,1840009219,Pleasant Hill,Pleasant Hill,IA,Pleasant Hill-IA,Iowa,19153,Polk,41.5857,-93.4998,9750,9750,413,polygon,TRUE,America/Chicago,50327
Bayard-IA,1840007074,Bayard,Bayard,IA,Bayard-IA,Iowa,19077,Guthrie,41.852,-94.5578,457,457,385,polygon,TRUE,America/Chicago,50029
Littleport-IA,1840029650,Littleport,Littleport,IA,Littleport-IA,Iowa,19043,Clayton,42.7547,-91.3693,,,12.8,point,FALSE,America/Chicago,52043
Farley-IA,1840008046,Farley,Farley,IA,Farley-IA,Iowa,19061,Dubuque,42.4438,-91.0091,1688,1688,404,polygon,TRUE,America/Chicago,52046
