City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Porthill-ID,1840027044,Porthill,Porthill,ID,Porthill-ID,Idaho,16021,Boundary,48.9983,-116.498,,,15.2,point,FALSE,America/Los_Angeles,83805
Nampa-ID,1840020041,Nampa,Nampa,ID,Nampa-ID,Idaho,16027,Canyon,43.5833,-116.5641,169761,91382,1136,polygon,TRUE,America/Boise,83651 83687 83686
Clover-ID,1840027172,Clover,Clover,ID,Clover-ID,Idaho,16083,Twin Falls,42.5141,-114.6875,,,26.4,point,FALSE,America/Boise,83316
Saint Maries-ID,1840021126,Saint Maries,Saint Maries,ID,Saint Maries-ID,Idaho,16009,Benewah,47.3146,-116.5714,2636,2428,850,polygon,TRUE,America/Los_Angeles,83861
Kellogg-ID,1840018392,Kellogg,Kellogg,ID,Kellogg-ID,Idaho,16079,Shoshone,47.5374,-116.143,3033,2081,203,polygon,TRUE,America/Los_Angeles,83837
Berenice-ID,1840027116,Berenice,Berenice,ID,Berenice-ID,Idaho,16023,Butte,43.8277,-112.9742,,,3.9,point,FALSE,America/Boise,83244
Atlanta-ID,1840027118,Atlanta,Atlanta,ID,Atlanta-ID,Idaho,16039,Elmore,43.8016,-115.1267,,,26.1,point,FALSE,America/Boise,83601
Nordman-ID,1840027053,Nordman,Nordman,ID,Nordman-ID,Idaho,16017,Bonner,48.6338,-116.9458,,,2.2,point,FALSE,America/Los_Angeles,83848
Pocatello-ID,1840013376,Pocatello,Pocatello,ID,Pocatello-ID,Idaho,16005,Bannock,42.8716,-112.466,70445,54746,650,polygon,TRUE,America/Boise,83204 83201 83209 83205 83206
Lemhi-ID,1840027087,Lemhi,Lemhi,ID,Lemhi-ID,Idaho,16059,Lemhi,44.8516,-113.6198,,,4.4,point,FALSE,America/Boise,83465
Chilly-ID,1840027100,Chilly,Chilly,ID,Chilly-ID,Idaho,16037,Custer,44.0777,-113.8789,,,2.2,point,FALSE,America/Boise,83251
Post Falls-ID,1840019811,Post Falls,Post Falls,ID,Post Falls-ID,Idaho,16055,Kootenai,47.7202,-116.9396,31865,31865,857,polygon,TRUE,America/Los_Angeles,83854 83877
Parker-ID,1840019996,Parker,Parker,ID,Parker-ID,Idaho,16043,Fremont,43.9582,-111.7584,302,302,330,polygon,TRUE,America/Boise,83445 83438
Sugar City-ID,1840021277,Sugar City,Sugar City,ID,Sugar City-ID,Idaho,16065,Madison,43.8757,-111.7518,1361,1361,307,polygon,TRUE,America/Boise,83440 83448
Murtaugh-ID,1840020083,Murtaugh,Murtaugh,ID,Murtaugh-ID,Idaho,16083,Twin Falls,42.492,-114.1615,141,141,470,polygon,TRUE,America/Boise,83344
Challis-ID,1840018599,Challis,Challis,ID,Challis-ID,Idaho,16037,Custer,44.5053,-114.2278,1041,1041,218,polygon,TRUE,America/Boise,83226
Lakeview-ID,1840027051,Lakeview,Lakeview,ID,Lakeview-ID,Idaho,16017,Bonner,47.9702,-116.4466,,,12.2,point,FALSE,America/Los_Angeles,83803
Notus-ID,1840020042,Notus,Notus,ID,Notus-ID,Idaho,16027,Canyon,43.7267,-116.8002,619,619,634,polygon,TRUE,America/Boise,83656 83607
Winchester-ID,1840021179,Winchester,Winchester,ID,Winchester-ID,Idaho,16061,Lewis,46.2408,-116.624,347,347,749,polygon,TRUE,America/Los_Angeles,83555
Malad City-ID,1840020093,Malad City,Malad City,ID,Malad City-ID,Idaho,16071,Oneida,42.1903,-112.2499,2072,2072,482,polygon,TRUE,America/Boise,83252
