City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Olmsted-IL,1840013026,Olmsted,Olmsted,IL,Olmsted-IL,Illinois,17153,Pulaski,37.1827,-89.0849,306,306,35,polygon,TRUE,America/Chicago,62970
McClure-IL,1840013019,McClure,McClure,IL,McClure-IL,Illinois,17003,Alexander,37.3146,-89.4335,329,329,83,polygon,TRUE,America/Chicago,62957
Pleasant Hill-IL,1840012540,Pleasant Hill,Pleasant Hill,IL,Pleasant Hill-IL,Illinois,17149,Pike,39.4434,-90.8729,940,940,462,polygon,TRUE,America/Chicago,62366
Burgess-IL,1840027336,Burgess,Burgess,IL,Burgess-IL,Illinois,17131,Mercer,41.1273,-90.6415,,,43.7,point,FALSE,America/Chicago,61231
Toledo-IL,1840012692,Toledo,Toledo,IL,Toledo-IL,Illinois,17035,Cumberland,39.2724,-88.2413,1216,1216,514,polygon,TRUE,America/Chicago,62468
Lodge-IL,1840029783,Lodge,Lodge,IL,Lodge-IL,Illinois,17147,Piatt,40.1061,-88.5601,,,45.3,point,FALSE,America/Chicago,61856
Pomona-IL,1840029807,Pomona,Pomona,IL,Pomona-IL,Illinois,17077,Jackson,37.6281,-89.3368,,,26.7,point,FALSE,America/Chicago,62975
Liverpool-IL,1840012010,Liverpool,Liverpool,IL,Liverpool-IL,Illinois,17057,Fulton,40.39,-90.0027,123,123,564,polygon,TRUE,America/Chicago,61543
Oakdale-IL,1840012905,Oakdale,Oakdale,IL,Oakdale-IL,Illinois,17189,Washington,38.2648,-89.5037,211,211,49,polygon,TRUE,America/Chicago,62268
Casey-IL,1840007370,Casey,Casey,IL,Casey-IL,Illinois,17023,Clark,39.3027,-87.9896,2760,2698,488,polygon,TRUE,America/Chicago,62420
Leaf River-IL,1840011232,Leaf River,Leaf River,IL,Leaf River-IL,Illinois,17141,Ogle,42.1236,-89.404,413,413,191,polygon,TRUE,America/Chicago,61047
Beecher City-IL,1840012737,Beecher City,Beecher City,IL,Beecher City-IL,Illinois,17049,Effingham,39.1866,-88.7875,455,455,194,polygon,TRUE,America/Chicago,62414
East Alton-IL,1840012794,East Alton,East Alton,IL,East Alton-IL,Illinois,17119,Madison,38.8837,-90.1077,6141,6141,444,polygon,TRUE,America/Chicago,62024 62018 62002
Homer Glen-IL,1840011483,Homer Glen,Homer Glen,IL,Homer Glen-IL,Illinois,17197,Will,41.6043,-87.9495,24481,24481,425,polygon,TRUE,America/Chicago,60491
Beecher-IL,1840011481,Beecher,Beecher,IL,Beecher-IL,Illinois,17197,Will,41.3504,-87.6171,4231,4447,588,polygon,TRUE,America/Chicago,60401
Waterloo-IL,1840010803,Waterloo,Waterloo,IL,Waterloo-IL,Illinois,17133,Monroe,38.3403,-90.1538,10090,10309,489,polygon,TRUE,America/Chicago,62298
Montrose-IL,1840012740,Montrose,Montrose,IL,Montrose-IL,Illinois,17049,Effingham,39.1659,-88.3776,199,199,111,polygon,TRUE,America/Chicago,62445
Industry-IL,1840012111,Industry,Industry,IL,Industry-IL,Illinois,17109,McDonough,40.3269,-90.6082,456,456,383,polygon,TRUE,America/Chicago,61440
Henry-IL,1840007162,Henry,Henry,IL,Henry-IL,Illinois,17123,Marshall,41.1173,-89.3568,2314,2314,511,polygon,TRUE,America/Chicago,61537
Exeter-IL,1840012565,Exeter,Exeter,IL,Exeter-IL,Illinois,17171,Scott,39.7191,-90.4961,62,62,34,polygon,TRUE,America/Chicago,62621
Okawville-IL,1840012906,Okawville,Okawville,IL,Okawville-IL,Illinois,17189,Washington,38.4346,-89.5481,1389,1389,261,polygon,TRUE,America/Chicago,62271
Paw Paw-IL,1840011432,Paw Paw,Paw Paw,IL,Paw Paw-IL,Illinois,17103,Lee,41.6877,-88.981,813,813,535,polygon,TRUE,America/Chicago,61353
Taylor Springs-IL,1840012645,Taylor Springs,Taylor Springs,IL,Taylor Springs-IL,Illinois,17135,Montgomery,39.131,-89.495,666,666,256,polygon,TRUE,America/Chicago,62089 62049
Chicago Ridge-IL,1840010146,Chicago Ridge,Chicago Ridge,IL,Chicago Ridge-IL,Illinois,17031,Cook,41.7034,-87.7795,14236,14236,2423,polygon,TRUE,America/Chicago,60415
Libertyville-IL,1840011161,Libertyville,Libertyville,IL,Libertyville-IL,Illinois,17097,Lake,42.287,-87.9671,20405,20405,894,polygon,TRUE,America/Chicago,60048
Windsor-IL,1840010613,Windsor,Windsor,IL,Windsor-IL,Illinois,17173,Shelby,39.4389,-88.5953,1153,1153,706,polygon,TRUE,America/Chicago,61957
Elburn-IL,1840011347,Elburn,Elburn,IL,Elburn-IL,Illinois,17089,Kane,41.8838,-88.4615,5757,5757,711,polygon,TRUE,America/Chicago,60119
Coalton-IL,1840012638,Coalton,Coalton,IL,Coalton-IL,Illinois,17135,Montgomery,39.2848,-89.303,292,292,211,polygon,TRUE,America/Chicago,62075
Keyesport-IL,1840012778,Keyesport,Keyesport,IL,Keyesport-IL,Illinois,17027,Clinton,38.7447,-89.274,399,399,232,polygon,TRUE,America/Chicago,62253
Willow Springs-IL,1840011315,Willow Springs,Willow Springs,IL,Willow Springs-IL,Illinois,17031,Cook,41.7351,-87.8836,5648,5648,532,polygon,TRUE,America/Chicago,60480
New Lenox-IL,1840011493,New Lenox,New Lenox,IL,New Lenox-IL,Illinois,17197,Will,41.5089,-87.9697,26217,26217,633,polygon,TRUE,America/Chicago,60451
Sherman-IL,1840012455,Sherman,Sherman,IL,Sherman-IL,Illinois,17167,Sangamon,39.8877,-89.6065,4685,4685,566,polygon,TRUE,America/Chicago,62684 62707
Gilson-IL,1840025535,Gilson,Gilson,IL,Gilson-IL,Illinois,17095,Knox,40.8632,-90.1997,,,253.2,polygon,FALSE,America/Chicago,61436
Hamilton-IL,1840007220,Hamilton,Hamilton,IL,Hamilton-IL,Illinois,17067,Hancock,40.3899,-91.3623,2843,2843,308,polygon,TRUE,America/Chicago,62379 62341
Broadlands-IL,1840010452,Broadlands,Broadlands,IL,Broadlands-IL,Illinois,17019,Champaign,39.9087,-87.9969,352,352,408,polygon,TRUE,America/Chicago,61816
Irwin-IL,1840011695,Irwin,Irwin,IL,Irwin-IL,Illinois,17091,Kankakee,41.0533,-87.9842,72,72,713,polygon,TRUE,America/Chicago,60901
Burbank-IL,1840007022,Burbank,Burbank,IL,Burbank-IL,Illinois,17031,Cook,41.7444,-87.7686,28886,28886,2674,polygon,TRUE,America/Chicago,60459
Algonquin-IL,1840010110,Algonquin,Algonquin,IL,Algonquin-IL,Illinois,17111,McHenry,42.1629,-88.3158,30947,30947,975,polygon,TRUE,America/Chicago,60102
South Jacksonville-IL,1840012516,South Jacksonville,South Jacksonville,IL,South Jacksonville-IL,Illinois,17137,Morgan,39.7024,-90.2293,3230,3230,538,polygon,TRUE,America/Chicago,62650
Ohio-IL,1840011579,Ohio,Ohio,IL,Ohio-IL,Illinois,17011,Bureau,41.556,-89.4605,491,491,236,polygon,TRUE,America/Chicago,61349
Hanover Park-IL,1840011251,Hanover Park,Hanover Park,IL,Hanover Park-IL,Illinois,17043,DuPage,41.9819,-88.1447,38044,38044,2320,polygon,TRUE,America/Chicago,60133
Lockport-IL,1840009256,Lockport,Lockport,IL,Lockport-IL,Illinois,17197,Will,41.5897,-88.029,25231,25231,855,polygon,TRUE,America/Chicago,60441
Green Valley-IL,1840011985,Green Valley,Green Valley,IL,Green Valley-IL,Illinois,17179,Tazewell,40.4074,-89.6438,679,679,863,polygon,TRUE,America/Chicago,61534
Russellville-IL,1840012832,Russellville,Russellville,IL,Russellville-IL,Illinois,17101,Lawrence,38.8197,-87.5301,89,89,73,polygon,TRUE,America/Chicago,62439
Quincy-IL,1840009466,Quincy,Quincy,IL,Quincy-IL,Illinois,17001,Adams,39.9335,-91.3796,45113,40531,985,polygon,TRUE,America/Chicago,62301 62305 62306
Harvey-IL,1840007029,Harvey,Harvey,IL,Harvey-IL,Illinois,17031,Cook,41.6076,-87.6521,24947,24947,1552,polygon,TRUE,America/Chicago,60426
Oquawka-IL,1840011796,Oquawka,Oquawka,IL,Oquawka-IL,Illinois,17071,Henderson,40.9378,-90.9499,1288,1288,338,polygon,TRUE,America/Chicago,61469
Browns-IL,1840010788,Browns,Browns,IL,Browns-IL,Illinois,17047,Edwards,38.3775,-87.9831,131,131,173,polygon,TRUE,America/Chicago,62818
Harvel-IL,1840012636,Harvel,Harvel,IL,Harvel-IL,Illinois,17135,Montgomery,39.3577,-89.5323,213,213,113,polygon,TRUE,America/Chicago,62538
South Holland-IL,1840011324,South Holland,South Holland,IL,South Holland-IL,Illinois,17031,Cook,41.5977,-87.6022,21817,21817,1163,polygon,TRUE,America/Chicago,60473
Seymour-IL,1840025552,Seymour,Seymour,IL,Seymour-IL,Illinois,17019,Champaign,40.1067,-88.4272,,,410.6,polygon,FALSE,America/Chicago,61875
Downs-IL,1840011978,Downs,Downs,IL,Downs-IL,Illinois,17113,McLean,40.3992,-88.8909,2594,978,144,polygon,TRUE,America/Chicago,61705 61736
Vernon-IL,1840012849,Vernon,Vernon,IL,Vernon-IL,Illinois,17121,Marion,38.8014,-89.0896,126,126,53,polygon,TRUE,America/Chicago,62892
Maywood-IL,1840011294,Maywood,Maywood,IL,Maywood-IL,Illinois,17031,Cook,41.8798,-87.8442,23756,23756,3376,polygon,TRUE,America/Chicago,60153
LaPlace-IL,1840025558,LaPlace,LaPlace,IL,LaPlace-IL,Illinois,17147,Piatt,39.7978,-88.7156,,,105.1,polygon,FALSE,America/Chicago,61936 61929
Lake Catherine-IL,1840029895,Lake Catherine,Lake Catherine,IL,Lake Catherine-IL,Illinois,17097,Lake,42.487,-88.1272,,,393.5,polygon,FALSE,America/Chicago,60002
Brighton-IL,1840010648,Brighton,Brighton,IL,Brighton-IL,Illinois,17117,Macoupin,39.0405,-90.1405,2185,2185,450,polygon,TRUE,America/Chicago,62012
Grayville-IL,1840008669,Grayville,Grayville,IL,Grayville-IL,Illinois,17047,Edwards,38.2554,-87.997,1623,1623,294,polygon,TRUE,America/Chicago,62844
Mokena-IL,1840011491,Mokena,Mokena,IL,Mokena-IL,Illinois,17197,Will,41.5324,-87.8779,20097,20097,878,polygon,TRUE,America/Chicago,60448
Long Grove-IL,1840011164,Long Grove,Long Grove,IL,Long Grove-IL,Illinois,17097,Lake,42.197,-88.0059,8147,8147,252,polygon,TRUE,America/Chicago,60047
Orion-IL,1840011587,Orion,Orion,IL,Orion-IL,Illinois,17073,Henry,41.3514,-90.3766,1814,1814,764,polygon,TRUE,America/Chicago,61273
Toulon-IL,1840010303,Toulon,Toulon,IL,Toulon-IL,Illinois,17175,Stark,41.0935,-89.8634,1245,1245,472,polygon,TRUE,America/Chicago,61483
Chauncey-IL,1840029720,Chauncey,Chauncey,IL,Chauncey-IL,Illinois,17101,Lawrence,38.8353,-87.8709,,,7.6,point,FALSE,America/Chicago,62466
