City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Burney-IN,1840029920,Burney,Burney,IN,Burney-IN,Indiana,18031,Decatur,39.3173,-85.6403,,,142.7,point,FALSE,America/Indiana/Indianapolis,47240
Delphi-IN,1840013728,Delphi,Delphi,IN,Delphi-IN,Indiana,18015,Carroll,40.5831,-86.6672,2990,2877,407,polygon,TRUE,America/Indiana/Indianapolis,46923
Kouts-IN,1840009269,Kouts,Kouts,IN,Kouts-IN,Indiana,18127,Porter,41.3172,-87.0264,1962,1962,677,polygon,TRUE,America/Chicago,46347
Bengal-IN,1840029913,Bengal,Bengal,IN,Bengal-IN,Indiana,18145,Shelby,39.4734,-85.9228,,,10.6,point,FALSE,America/Indiana/Indianapolis,46131
Plainville-IN,1840010733,Plainville,Plainville,IN,Plainville-IN,Indiana,18027,Daviess,38.8048,-87.1517,494,494,543,polygon,TRUE,America/Indiana/Vincennes,47568
Brownsburg-IN,1840009536,Brownsburg,Brownsburg,IN,Brownsburg-IN,Indiana,18063,Hendricks,39.833,-86.3828,25408,25408,631,polygon,TRUE,America/Indiana/Indianapolis,46234 46112
Bippus-IN,1840029914,Bippus,Bippus,IN,Bippus-IN,Indiana,18069,Huntington,40.9442,-85.6239,,,146.4,point,FALSE,America/Indiana/Indianapolis,46750
Wabash-IN,1840010335,Wabash,Wabash,IN,Wabash-IN,Indiana,18169,Wabash,40.8046,-85.831,10015,10253,424,polygon,TRUE,America/Indiana/Indianapolis,46992
Otterbein-IN,1840009404,Otterbein,Otterbein,IN,Otterbein-IN,Indiana,18007,Benton,40.4886,-87.0936,1256,1256,794,polygon,TRUE,America/Indiana/Indianapolis,47970
Highwoods-IN,1840029950,Highwoods,Highwoods,IN,Highwoods-IN,Indiana,18097,Marion,39.8442,-86.1833,,,398.3,point,FALSE,America/Indiana/Indianapolis,46228
Crocker-IN,1840029932,Crocker,Crocker,IN,Crocker-IN,Indiana,18127,Porter,41.5881,-87.1223,,,433.5,point,FALSE,America/Chicago,46304
Edwardsport-IN,1840010729,Edwardsport,Edwardsport,IN,Edwardsport-IN,Indiana,18083,Knox,38.8127,-87.2511,298,298,413,polygon,TRUE,America/Indiana/Vincennes,47528
DeMotte-IN,1840030064,DeMotte,DeMotte,IN,DeMotte-IN,Indiana,18073,Jasper,41.1987,-87.1974,4915,4030,431,polygon,TRUE,America/Chicago,46310
Etna Green-IN,1840010276,Etna Green,Etna Green,IN,Etna Green-IN,Indiana,18085,Kosciusko,41.2755,-86.0461,586,586,451,polygon,TRUE,America/Indiana/Indianapolis,46524
Liverpool-IN,1840029975,Liverpool,Liverpool,IN,Liverpool-IN,Indiana,18089,Lake,41.5525,-87.2948,,,836.6,point,FALSE,America/Chicago,46405
State Line-IN,1840030059,State Line,State Line,IN,State Line-IN,Indiana,18171,Warren,40.1973,-87.527,,,203.8,point,TRUE,America/Indiana/Indianapolis,47982
Monroe City-IN,1840009732,Monroe City,Monroe City,IN,Monroe City-IN,Indiana,18083,Knox,38.6145,-87.3532,533,533,764,polygon,TRUE,America/Indiana/Vincennes,47557
