City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Natrona-KS,1840030338,Natrona,Natrona,KS,Natrona-KS,Kansas,20151,Pratt,37.712,-98.6648,,,4.5,point,FALSE,America/Chicago,67583
Corbin-KS,1840030106,Corbin,Corbin,KS,Corbin-KS,Kansas,20191,Sumner,37.1264,-97.5439,,,1.8,point,FALSE,America/Chicago,67022
Harper-KS,1840001710,Harper,Harper,KS,Harper-KS,Kansas,20077,Harper,37.2851,-98.0277,1376,1376,325,polygon,TRUE,America/Chicago,67058
Park City-KS,1840009870,Park City,Park City,KS,Park City-KS,Kansas,20173,Sedgwick,37.8103,-97.3255,7632,7632,297,polygon,TRUE,America/Chicago,67219 67147
Arkansas City-KS,1840001700,Arkansas City,Arkansas City,KS,Arkansas City-KS,Kansas,20035,Cowley,37.0726,-97.0386,12656,12063,501,polygon,TRUE,America/Chicago,67005
Greenwich Heights-KS,1840030183,Greenwich Heights,Greenwich Heights,KS,Greenwich Heights-KS,Kansas,20173,Sedgwick,37.6533,-97.2053,,,492.3,point,FALSE,America/Chicago,67207
Dundee-KS,1840030226,Dundee,Dundee,KS,Dundee-KS,Kansas,20009,Barton,38.3086,-98.8906,,,16.4,point,FALSE,America/Chicago,67530
Ottawa-KS,1840003840,Ottawa,Ottawa,KS,Ottawa-KS,Kansas,20059,Franklin,38.5998,-95.2643,12161,12356,489,polygon,TRUE,America/Chicago,66067
Plainville-KS,1840009576,Plainville,Plainville,KS,Plainville-KS,Kansas,20163,Rooks,39.2315,-99.3011,1858,1858,576,polygon,TRUE,America/Chicago,67663 67669
Wayne-KS,1840030165,Wayne,Wayne,KS,Wayne-KS,Kansas,20157,Republic,39.7147,-97.542,,,9.6,point,FALSE,America/Chicago,66930
Republic-KS,1840009502,Republic,Republic,KS,Republic-KS,Kansas,20157,Republic,39.924,-97.8247,109,109,161,polygon,TRUE,America/Chicago,66964
Delavan-KS,1840030248,Delavan,Delavan,KS,Delavan-KS,Kansas,20127,Morris,38.6561,-96.8133,,,21.2,point,FALSE,America/Chicago,67449
Pomona-KS,1840009637,Pomona,Pomona,KS,Pomona-KS,Kansas,20059,Franklin,38.6104,-95.453,799,799,410,polygon,TRUE,America/Chicago,66076
Arlington-KS,1840007539,Arlington,Arlington,KS,Arlington-KS,Kansas,20155,Reno,37.8961,-98.177,450,450,162,polygon,TRUE,America/Chicago,67514
Lake City-KS,1840030111,Lake City,Lake City,KS,Lake City-KS,Kansas,20007,Barber,37.3534,-98.8209,,,25.4,point,FALSE,America/Chicago,67071
Jennings-KS,1840008419,Jennings,Jennings,KS,Jennings-KS,Kansas,20039,Decatur,39.6806,-100.2933,93,93,133,polygon,TRUE,America/Chicago,67643
Weir-KS,1840001718,Weir,Weir,KS,Weir-KS,Kansas,20021,Cherokee,37.3082,-94.7746,636,636,261,polygon,TRUE,America/Chicago,66781
Quinter-KS,1840009702,Quinter,Quinter,KS,Quinter-KS,Kansas,20063,Gove,39.0667,-100.2348,954,954,372,polygon,TRUE,America/Chicago,67752
Brazilton-KS,1840030212,Brazilton,Brazilton,KS,Brazilton-KS,Kansas,20037,Crawford,37.5598,-94.9575,,,23.7,point,FALSE,America/Chicago,66743
Brewster-KS,1840005754,Brewster,Brewster,KS,Brewster-KS,Kansas,20193,Thomas,39.3631,-101.3771,300,300,448,polygon,TRUE,America/Chicago,67732
Willowbrook-KS,1840010832,Willowbrook,Willowbrook,KS,Willowbrook-KS,Kansas,20155,Reno,38.1011,-97.992,85,85,107,polygon,TRUE,America/Chicago,67502
El Dorado-KS,1840001676,El Dorado,El Dorado,KS,El Dorado-KS,Kansas,20015,Butler,37.8208,-96.8612,14860,13141,565,polygon,TRUE,America/Chicago,67042
Atlanta-KS,1840007606,Atlanta,Atlanta,KS,Atlanta-KS,Kansas,20035,Cowley,37.4357,-96.767,192,192,154,polygon,TRUE,America/Chicago,67008
Easton-KS,1840008507,Easton,Easton,KS,Easton-KS,Kansas,20103,Leavenworth,39.3449,-95.1166,257,257,720,polygon,TRUE,America/Chicago,66020
Burdick-KS,1840030250,Burdick,Burdick,KS,Burdick-KS,Kansas,20127,Morris,38.5636,-96.8456,,,58.7,point,FALSE,America/Chicago,66838
Bellefont-KS,1840030173,Bellefont,Bellefont,KS,Bellefont-KS,Kansas,20057,Ford,37.8725,-99.6579,,,20.7,point,FALSE,America/Chicago,67876
Kechi-KS,1840008707,Kechi,Kechi,KS,Kechi-KS,Kansas,20173,Sedgwick,37.8232,-97.2891,1995,1995,128,polygon,TRUE,America/Chicago,67067 67147
Aliceville-KS,1840030265,Aliceville,Aliceville,KS,Aliceville-KS,Kansas,20031,Coffey,38.1545,-95.5519,,,28.5,point,FALSE,America/Chicago,66093
Montrose-KS,1840030143,Montrose,Montrose,KS,Montrose-KS,Kansas,20089,Jewell,39.7845,-98.0878,,,10.6,point,FALSE,America/Chicago,66956
Centralia-KS,1840007297,Centralia,Centralia,KS,Centralia-KS,Kansas,20131,Nemaha,39.7244,-96.1304,511,511,419,polygon,TRUE,America/Chicago,66415
Kensington-KS,1840008411,Kensington,Kensington,KS,Kensington-KS,Kansas,20183,Smith,39.7668,-99.0332,443,443,474,polygon,TRUE,America/Chicago,66951
Industry-KS,1840030233,Industry,Industry,KS,Industry-KS,Kansas,20027,Clay,39.1333,-97.1714,,,2.7,point,FALSE,America/Chicago,67410
Silverdale-KS,1840030087,Silverdale,Silverdale,KS,Silverdale-KS,Kansas,20035,Cowley,37.042,-96.9034,,,72.8,point,FALSE,America/Chicago,67005
Savonburg-KS,1840009862,Savonburg,Savonburg,KS,Savonburg-KS,Kansas,20001,Allen,37.7489,-95.1431,103,103,201,polygon,TRUE,America/Chicago,66772
Canton-KS,1840007487,Canton,Canton,KS,Canton-KS,Kansas,20113,McPherson,38.3859,-97.4301,720,720,553,polygon,TRUE,America/Chicago,67428
Bison-KS,1840007484,Bison,Bison,KS,Bison-KS,Kansas,20165,Rush,38.5198,-99.1977,237,237,355,polygon,TRUE,America/Chicago,67520
Fowler-KS,1840008750,Fowler,Fowler,KS,Fowler-KS,Kansas,20119,Meade,37.3828,-100.1956,544,544,450,polygon,TRUE,America/Chicago,67844
Varner-KS,1840030340,Varner,Varner,KS,Varner-KS,Kansas,20095,Kingman,37.7189,-98.0364,,,5.7,point,FALSE,America/Chicago,67068
Galesburg-KS,1840008723,Galesburg,Galesburg,KS,Galesburg-KS,Kansas,20133,Neosho,37.4724,-95.3564,120,120,268,polygon,TRUE,America/Chicago,66740
Ash Grove-KS,1840030151,Ash Grove,Ash Grove,KS,Ash Grove-KS,Kansas,20105,Lincoln,39.1614,-98.362,,,1.1,point,FALSE,America/Chicago,67481
