City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Haldeman-KY,1840030752,Haldeman,Haldeman,KY,Haldeman-KY,Kentucky,21205,Rowan,38.2529,-83.3185,,,65.1,point,FALSE,America/New_York,40351
Glenview Manor-KY,1840030456,Glenview Manor,Glenview Manor,KY,Glenview Manor-KY,Kentucky,21111,Jefferson,38.2907,-85.6333,194,194,873,polygon,TRUE,America/New_York,40222
Avawam-KY,1840030732,Avawam,Avawam,KY,Avawam-KY,Kentucky,21193,Perry,37.2245,-83.2752,,,71.5,point,FALSE,America/New_York,41701
Cloverport-KY,1840014327,Cloverport,Cloverport,KY,Cloverport-KY,Kentucky,21027,Breckinridge,37.8312,-86.6304,1155,1155,304,polygon,TRUE,America/Chicago,40111
Lynn Grove-KY,1840030505,Lynn Grove,Lynn Grove,KY,Lynn Grove-KY,Kentucky,21035,Calloway,36.5892,-88.4381,,,37.9,point,FALSE,America/Chicago,42071
Dundee-KY,1840030434,Dundee,Dundee,KY,Dundee-KY,Kentucky,21183,Ohio,37.5589,-86.7728,,,46.5,point,FALSE,America/Chicago,42347
Wayland-KY,1840015232,Wayland,Wayland,KY,Wayland-KY,Kentucky,21071,Floyd,37.451,-82.7994,401,401,59,polygon,TRUE,America/New_York,41666
Salt Lick-KY,1840015207,Salt Lick,Salt Lick,KY,Salt Lick-KY,Kentucky,21011,Bath,38.1193,-83.6156,324,324,160,polygon,TRUE,America/New_York,40371
Crestwood-KY,1840014284,Crestwood,Crestwood,KY,Crestwood-KY,Kentucky,21185,Oldham,38.3355,-85.4839,4910,4910,471,polygon,TRUE,America/New_York,40014
Pride-KY,1840030561,Pride,Pride,KY,Pride-KY,Kentucky,21225,Union,37.5584,-87.8909,,,14.2,point,FALSE,America/Chicago,42404
Newtown-KY,1840030541,Newtown,Newtown,KY,Newtown-KY,Kentucky,21209,Scott,38.2204,-84.4699,,,114.9,point,FALSE,America/New_York,40324
Corbin-KY,1840014405,Corbin,Corbin,KY,Corbin-KY,Kentucky,21235,Whitley,36.9321,-84.1004,7398,7398,362,polygon,TRUE,America/New_York,40701 40702
Dawson Springs-KY,1840014367,Dawson Springs,Dawson Springs,KY,Dawson Springs-KY,Kentucky,21107,Hopkins,37.1737,-87.6885,2719,2719,284,polygon,TRUE,America/Chicago,42408
Lakeside Park-KY,1840014269,Lakeside Park,Lakeside Park,KY,Lakeside Park-KY,Kentucky,21117,Kenton,39.0338,-84.5675,2770,2770,1369,polygon,TRUE,America/New_York,41017
Science Hill-KY,1840015256,Science Hill,Science Hill,KY,Science Hill-KY,Kentucky,21199,Pulaski,37.1745,-84.6329,697,697,358,polygon,TRUE,America/New_York,42553
White Tower-KY,1840030789,White Tower,White Tower,KY,White Tower-KY,Kentucky,21117,Kenton,38.9251,-84.5133,,,321.3,point,FALSE,America/New_York,41051
Falmouth-KY,1840013173,Falmouth,Falmouth,KY,Falmouth-KY,Kentucky,21191,Pendleton,38.6708,-84.3311,2139,2139,609,polygon,TRUE,America/New_York,41040
Allen City-KY,1840030361,Allen City,Allen City,KY,Allen City-KY,Kentucky,21071,Floyd,37.6119,-82.7291,182,182,393,polygon,TRUE,America/New_York,41601
Weir-KY,1840030609,Weir,Weir,KY,Weir-KY,Kentucky,21177,Muhlenberg,37.1231,-87.2125,,,13.2,point,FALSE,America/Chicago,42345
Tompkinsville-KY,1840015272,Tompkinsville,Tompkinsville,KY,Tompkinsville-KY,Kentucky,21171,Monroe,36.7012,-85.6927,2273,2273,267,polygon,TRUE,America/Chicago,42167
Union-KY,1840015166,Union,Union,KY,Union-KY,Kentucky,21015,Boone,38.9472,-84.6731,5807,5807,672,polygon,TRUE,America/New_York,41091
Kingsley-KY,1840014312,Kingsley,Kingsley,KY,Kingsley-KY,Kentucky,21111,Jefferson,38.2219,-85.6726,398,398,2126,polygon,TRUE,America/New_York,40205
Argo-KY,1840030367,Argo,Argo,KY,Argo-KY,Kentucky,21195,Pike,37.4807,-82.0632,,,15.7,point,FALSE,America/New_York,41568
Muldraugh-KY,1840014317,Muldraugh,Muldraugh,KY,Muldraugh-KY,Kentucky,21163,Meade,37.9366,-85.9915,987,987,729,polygon,TRUE,America/New_York,40155
Jeffersontown-KY,1840014311,Jeffersontown,Jeffersontown,KY,Jeffersontown-KY,Kentucky,21111,Jefferson,38.2054,-85.5702,27352,27352,1059,polygon,TRUE,America/New_York,40299 40220 40223
Talbert-KY,1840030776,Talbert,Talbert,KY,Talbert-KY,Kentucky,21025,Breathitt,37.4215,-83.4585,,,30.8,point,FALSE,America/New_York,41339
Taylor Mill-KY,1840015175,Taylor Mill,Taylor Mill,KY,Taylor Mill-KY,Kentucky,21117,Kenton,39.0092,-84.4987,6756,6756,427,polygon,TRUE,America/New_York,41015
Cumberland City-KY,1840030424,Cumberland City,Cumberland City,KY,Cumberland City-KY,Kentucky,21053,Clinton,36.8051,-85.0683,,,29,point,FALSE,America/Chicago,42602
Moon-KY,1840030694,Moon,Moon,KY,Moon-KY,Kentucky,21175,Morgan,37.9734,-83.0488,,,11.9,point,FALSE,America/New_York,41472
Leatherwood-KY,1840030762,Leatherwood,Leatherwood,KY,Leatherwood-KY,Kentucky,21193,Perry,37.0329,-83.1724,,,6.5,point,FALSE,America/New_York,41763
Radcliff-KY,1840014329,Radcliff,Radcliff,KY,Radcliff-KY,Kentucky,21093,Hardin,37.8193,-85.9358,22490,22490,669,polygon,TRUE,America/New_York,40160 42701 40159
South Wallins-KY,1840013278,South Wallins,South Wallins,KY,South Wallins-KY,Kentucky,21095,Harlan,36.8155,-83.4045,,,202.1,polygon,FALSE,America/New_York,40873
Meadow Vale-KY,1840030803,Meadow Vale,Meadow Vale,KY,Meadow Vale-KY,Kentucky,21111,Jefferson,38.2831,-85.5727,760,760,1512,polygon,TRUE,America/New_York,40242 40241
Wallins Creek-KY,1840015266,Wallins Creek,Wallins Creek,KY,Wallins Creek-KY,Kentucky,21095,Harlan,36.8274,-83.4148,146,146,179,polygon,TRUE,America/New_York,40873
Cawood-KY,1840026895,Cawood,Cawood,KY,Cawood-KY,Kentucky,21095,Harlan,36.7878,-83.2284,,,285.3,polygon,FALSE,America/New_York,40815
Lynnville-KY,1840030506,Lynnville,Lynnville,KY,Lynnville-KY,Kentucky,21083,Graves,36.5603,-88.5692,,,13.5,point,FALSE,America/Chicago,42079
