City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Castor-LA,1840018097,Castor,Castor,LA,Castor-LA,Louisiana,22013,Bienville,32.2549,-93.166,249,249,80,polygon,TRUE,America/Chicago,71016
Holly Beach-LA,1840030933,Holly Beach,Holly Beach,LA,Holly Beach-LA,Louisiana,22023,Cameron,29.7708,-93.4593,,,14.6,point,FALSE,America/Chicago,70631
Colfax-LA,1840017069,Colfax,Colfax,LA,Colfax-LA,Louisiana,22043,Grant,31.5208,-92.7001,1518,1518,393,polygon,TRUE,America/Chicago,71417
Beekman-LA,1840030994,Beekman,Beekman,LA,Beekman-LA,Louisiana,22067,Morehouse,32.9237,-91.8843,,,34.3,point,FALSE,America/Chicago,71220
Rodessa-LA,1840018059,Rodessa,Rodessa,LA,Rodessa-LA,Louisiana,22017,Caddo,32.9735,-93.9968,262,262,82,polygon,TRUE,America/Chicago,71069
Rosepine-LA,1840018184,Rosepine,Rosepine,LA,Rosepine-LA,Louisiana,22115,Vernon,30.9208,-93.2857,1641,1641,261,polygon,TRUE,America/Chicago,70659 70634
Big Bend-LA,1840031028,Big Bend,Big Bend,LA,Big Bend-LA,Louisiana,22009,Avoyelles,31.0738,-91.7921,,,3.6,point,FALSE,America/Chicago,71355
Buras-LA,1840027026,Buras,Buras,LA,Buras-LA,Louisiana,22075,Plaquemines,29.3528,-89.5248,,,102.4,polygon,FALSE,America/Chicago,70041
Kaplan-LA,1840015050,Kaplan,Kaplan,LA,Kaplan-LA,Louisiana,22113,Vermilion,30.006,-92.2839,4846,4619,769,polygon,TRUE,America/Chicago,70548
Powhatan-LA,1840018142,Powhatan,Powhatan,LA,Powhatan-LA,Louisiana,22069,Natchitoches,31.8738,-93.2033,132,132,94,polygon,TRUE,America/Chicago,71457 71066
Keatchie-LA,1840031061,Keatchie,Keatchie,LA,Keatchie-LA,Louisiana,22031,De Soto,32.1885,-93.9055,,,73.7,point,TRUE,America/Chicago,71046
