City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Pepperell-MA,1840004520,Pepperell,Pepperell,MA,Pepperell-MA,Massachusetts,25017,Middlesex,42.6695,-71.5905,,,462.6,polygon,FALSE,America/New_York,1463
Raynham Center-MA,1840004735,Raynham Center,Raynham Center,MA,Raynham Center-MA,Massachusetts,25005,Bristol,41.9327,-71.0431,,,331.2,polygon,FALSE,America/New_York,02767 02768
Baldwinville-MA,1840003142,Baldwinville,Baldwinville,MA,Baldwinville-MA,Massachusetts,25027,Worcester,42.6049,-72.0771,,,764.4,polygon,FALSE,America/New_York,1436
Woods Hole-MA,1840003247,Woods Hole,Woods Hole,MA,Woods Hole-MA,Massachusetts,25001,Barnstable,41.5303,-70.6614,,,345.7,polygon,FALSE,America/New_York,02543 02540
Upton-MA,1840004535,Upton,Upton,MA,Upton-MA,Massachusetts,25027,Worcester,42.1764,-71.6141,,,769.4,polygon,FALSE,America/New_York,1568
North Sudbury-MA,1840031172,North Sudbury,North Sudbury,MA,North Sudbury-MA,Massachusetts,25017,Middlesex,42.4093,-71.4045,,,215.8,point,FALSE,America/New_York,1776
Arlington-MA,1840003125,Arlington,Arlington,MA,Arlington-MA,Massachusetts,25017,Middlesex,42.4186,-71.1638,,,3623.7,polygon,FALSE,America/New_York,02476 02474 02475
Tyngsboro-MA,1840031176,Tyngsboro,Tyngsboro,MA,Tyngsboro-MA,Massachusetts,25017,Middlesex,42.6768,-71.4245,,,252,point,FALSE,America/New_York,1879
Devens-MA,1840026192,Devens,Devens,MA,Devens-MA,Massachusetts,25027,Worcester,42.5438,-71.6147,,,292.1,polygon,FALSE,America/New_York,01434 01432
White Horse Beach-MA,1840031236,White Horse Beach,White Horse Beach,MA,White Horse Beach-MA,Massachusetts,25023,Plymouth,41.9309,-70.5578,,,919.8,point,FALSE,America/New_York,2360
Walpole-MA,1840004677,Walpole,Walpole,MA,Walpole-MA,Massachusetts,25021,Norfolk,42.1371,-71.2439,,,1146.7,polygon,FALSE,America/New_York,2081
Barre-MA,1840003143,Barre,Barre,MA,Barre-MA,Massachusetts,25027,Worcester,42.423,-72.1064,,,432,polygon,FALSE,America/New_York,1005
North Amherst-MA,1840004580,North Amherst,North Amherst,MA,North Amherst-MA,Massachusetts,25015,Hampshire,42.4073,-72.5227,,,787,polygon,FALSE,America/New_York,01002 01003 01059
Sturbridge-MA,1840004534,Sturbridge,Sturbridge,MA,Sturbridge-MA,Massachusetts,25027,Worcester,42.1001,-72.0635,,,164.7,polygon,FALSE,America/New_York,1566
Minot-MA,1840031214,Minot,Minot,MA,Minot-MA,Massachusetts,25023,Plymouth,42.2404,-70.762,,,868.3,point,FALSE,America/New_York,2066
Boxford-MA,1840002452,Boxford,Boxford,MA,Boxford-MA,Massachusetts,25009,Essex,42.6695,-70.9831,,,184.7,polygon,FALSE,America/New_York,1921
Brookfield-MA,1840026193,Brookfield,Brookfield,MA,Brookfield-MA,Massachusetts,25027,Worcester,42.215,-72.1027,,,418.5,polygon,FALSE,America/New_York,1506
Shelburne Falls-MA,1840004517,Shelburne Falls,Shelburne Falls,MA,Shelburne Falls-MA,Massachusetts,25011,Franklin,42.6063,-72.7434,,,1064.1,polygon,FALSE,America/New_York,1370
West Springfield-MA,1840031158,West Springfield,West Springfield,MA,West Springfield-MA,Massachusetts,25013,Hampden,42.107,-72.6204,,,1351.2,point,TRUE,America/New_York,1089
Milford-MA,1840003157,Milford,Milford,MA,Milford-MA,Massachusetts,25027,Worcester,42.1477,-71.5167,,,1532.4,polygon,FALSE,America/New_York,1757
Sandwich-MA,1840004764,Sandwich,Sandwich,MA,Sandwich-MA,Massachusetts,25001,Barnstable,41.7573,-70.4998,,,373.6,polygon,FALSE,America/New_York,2563
South Westport-MA,1840031203,South Westport,South Westport,MA,South Westport-MA,Massachusetts,25005,Bristol,41.5709,-71.0578,,,67.8,point,FALSE,America/New_York,2790
North Lakeville-MA,1840031242,North Lakeville,North Lakeville,MA,North Lakeville-MA,Massachusetts,25023,Plymouth,41.8619,-70.9411,,,152.6,polygon,FALSE,America/New_York,2347
White Island Shores-MA,1840003203,White Island Shores,White Island Shores,MA,White Island Shores-MA,Massachusetts,25023,Plymouth,41.7934,-70.6389,,,404.1,polygon,FALSE,America/New_York,2538
Hull-MA,1840003205,Hull,Hull,MA,Hull-MA,Massachusetts,25023,Plymouth,42.2863,-70.8831,,,1154.9,polygon,FALSE,America/New_York,2045
Falmouth-MA,1840003240,Falmouth,Falmouth,MA,Falmouth-MA,Massachusetts,25001,Barnstable,41.5516,-70.6089,,,1006.8,polygon,FALSE,America/New_York,02540 02541
Marlborough-MA,1840000427,Marlborough,Marlborough,MA,Marlborough-MA,Massachusetts,25017,Middlesex,42.3494,-71.5468,39697,39697,734,polygon,TRUE,America/New_York,1752
Ocean Grove-MA,1840004734,Ocean Grove,Ocean Grove,MA,Ocean Grove-MA,Massachusetts,25005,Bristol,41.7281,-71.2098,,,2063.8,polygon,FALSE,America/New_York,2777
Belchertown-MA,1840003167,Belchertown,Belchertown,MA,Belchertown-MA,Massachusetts,25015,Hampshire,42.2741,-72.4051,,,601.3,polygon,FALSE,America/New_York,1007
Seconsett Island-MA,1840031251,Seconsett Island,Seconsett Island,MA,Seconsett Island-MA,Massachusetts,25001,Barnstable,41.5662,-70.5123,,,215,polygon,FALSE,America/New_York,2649
Athol-MA,1840003141,Athol,Athol,MA,Athol-MA,Massachusetts,25027,Worcester,42.5936,-72.2302,,,1498.5,polygon,FALSE,America/New_York,1331
Brookline-MA,1840003188,Brookline,Brookline,MA,Brookline-MA,Massachusetts,25021,Norfolk,42.3243,-71.1408,,,6509.1,polygon,FALSE,America/New_York,02467 02446 02445 02447
Quincy-MA,1840000461,Quincy,Quincy,MA,Quincy-MA,Massachusetts,25021,Norfolk,42.2516,-71.0183,93688,93688,2183,polygon,TRUE,America/New_York,02169 02171 02170 02269
Westborough-MA,1840003151,Westborough,Westborough,MA,Westborough-MA,Massachusetts,25027,Worcester,42.2672,-71.6168,,,1802.8,polygon,FALSE,America/New_York,1581
West Hanover-MA,1840031207,West Hanover,West Hanover,MA,West Hanover-MA,Massachusetts,25023,Plymouth,42.1195,-70.8828,,,594.2,point,FALSE,America/New_York,2339
North Eastham-MA,1840004758,North Eastham,North Eastham,MA,North Eastham-MA,Massachusetts,25001,Barnstable,41.8538,-69.9968,,,335.5,polygon,FALSE,America/New_York,02651 02642
Yarmouth Port-MA,1840003248,Yarmouth Port,Yarmouth Port,MA,Yarmouth Port-MA,Massachusetts,25001,Barnstable,41.7099,-70.2257,,,182.7,polygon,FALSE,America/New_York,2675
Shirley-MA,1840004523,Shirley,Shirley,MA,Shirley-MA,Massachusetts,25017,Middlesex,42.5397,-71.6588,,,733.4,polygon,FALSE,America/New_York,1464
Monomoscoy Island-MA,1840031247,Monomoscoy Island,Monomoscoy Island,MA,Monomoscoy Island-MA,Massachusetts,25001,Barnstable,41.5712,-70.5026,,,277.6,polygon,FALSE,America/New_York,2649
Glenridge-MA,1840031186,Glenridge,Glenridge,MA,Glenridge-MA,Massachusetts,25021,Norfolk,42.2459,-71.3214,,,356.8,point,FALSE,America/New_York,2030
Chicopee-MA,1840000462,Chicopee,Chicopee,MA,Chicopee-MA,Massachusetts,25013,Hampden,42.1764,-72.5719,55991,55991,946,polygon,TRUE,America/New_York,01020 01022 01013 01014 01021
North Chelmsford-MA,1840031171,North Chelmsford,North Chelmsford,MA,North Chelmsford-MA,Massachusetts,25017,Middlesex,42.639,-71.3828,,,1704.1,point,FALSE,America/New_York,1863
Liberty Plain-MA,1840031205,Liberty Plain,Liberty Plain,MA,Liberty Plain-MA,Massachusetts,25023,Plymouth,42.189,-70.8828,,,698.3,point,FALSE,America/New_York,2043
Holland-MA,1840003196,Holland,Holland,MA,Holland-MA,Massachusetts,25013,Hampden,42.0546,-72.1531,,,431.2,polygon,FALSE,America/New_York,1521
Marshfield Hills-MA,1840003208,Marshfield Hills,Marshfield Hills,MA,Marshfield Hills-MA,Massachusetts,25023,Plymouth,42.1487,-70.7315,,,330.4,polygon,FALSE,America/New_York,02050 02051
Beechwood-MA,1840031210,Beechwood,Beechwood,MA,Beechwood-MA,Massachusetts,25021,Norfolk,42.2098,-70.8189,,,370.1,point,FALSE,America/New_York,2025
