City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Savage-MD,1840026664,Savage,Savage,MD,Savage-MD,Maryland,24027,Howard,39.1485,-76.8228,,,2287.6,polygon,FALSE,America/New_York,20763 20794
Lochearn-MD,1840005694,Lochearn,Lochearn,MD,Lochearn-MD,Maryland,24005,Baltimore,39.346,-76.7307,,,1293.4,polygon,FALSE,America/New_York,21208 21207
Kensington-MD,1840005856,Kensington,Kensington,MD,Kensington-MD,Maryland,24031,Montgomery,39.0265,-77.0737,2379,2379,1918,polygon,TRUE,America/New_York,20895 20891
Peppermill Village-MD,1840031500,Peppermill Village,Peppermill Village,MD,Peppermill Village-MD,Maryland,24033,Prince George's,38.894,-76.8878,,,2788.3,polygon,FALSE,America/New_York,20743
Brock Hall-MD,1840024541,Brock Hall,Brock Hall,MD,Brock Hall-MD,Maryland,24033,Prince George's,38.8618,-76.7549,,,269.2,polygon,FALSE,America/New_York,20774 20772
Willards-MD,1840006224,Willards,Willards,MD,Willards-MD,Maryland,24045,Wicomico,38.3922,-75.3494,997,997,358,polygon,TRUE,America/New_York,21874
Snow Hill-MD,1840006260,Snow Hill,Snow Hill,MD,Snow Hill-MD,Maryland,24047,Worcester,38.1654,-75.3968,2071,2071,263,polygon,TRUE,America/New_York,21863
Pomona-MD,1840031391,Pomona,Pomona,MD,Pomona-MD,Maryland,24029,Kent,39.1623,-76.1094,,,22.9,point,FALSE,America/New_York,21620
Indian Head-MD,1840006176,Indian Head,Indian Head,MD,Indian Head-MD,Maryland,24017,Charles,38.5987,-77.1555,3824,3824,1198,polygon,TRUE,America/New_York,20640
Columbia-MD,1840005803,Columbia,Columbia,MD,Columbia-MD,Maryland,24027,Howard,39.2004,-76.859,,,1082.4,polygon,FALSE,America/New_York,21044 21045 21046 21029 21150
Parkville-MD,1840005685,Parkville,Parkville,MD,Parkville-MD,Maryland,24005,Baltimore,39.3832,-76.5519,,,2536.1,polygon,FALSE,America/New_York,21234
Horsehead-MD,1840031451,Horsehead,Horsehead,MD,Horsehead-MD,Maryland,24033,Prince George's,38.6498,-76.7714,,,75.5,point,FALSE,America/New_York,20613
Jennings-MD,1840024445,Jennings,Jennings,MD,Jennings-MD,Maryland,24023,Garrett,39.6487,-79.1835,,,59.2,polygon,FALSE,America/New_York,21536
Langford-MD,1840031304,Langford,Langford,MD,Langford-MD,Maryland,24029,Kent,39.1884,-76.1408,,,14,point,FALSE,America/New_York,21620
Keedysville-MD,1840005616,Keedysville,Keedysville,MD,Keedysville-MD,Maryland,24043,Washington,39.4867,-77.6986,1161,1161,469,polygon,TRUE,America/New_York,21756
Arundel Village-MD,1840031253,Arundel Village,Arundel Village,MD,Arundel Village-MD,Maryland,24003,Anne Arundel,39.2223,-76.6041,,,3650.4,point,FALSE,America/New_York,21225
Redland-MD,1840005838,Redland,Redland,MD,Redland-MD,Maryland,24031,Montgomery,39.1335,-77.1466,,,1655.4,polygon,FALSE,America/New_York,20855 20877
Charlestown-MD,1840005637,Charlestown,Charlestown,MD,Charlestown-MD,Maryland,24015,Cecil,39.5788,-75.9811,1196,1196,385,polygon,TRUE,America/New_York,21901 21914
Easton-MD,1840006089,Easton,Easton,MD,Easton-MD,Maryland,24041,Talbot,38.776,-76.0702,17781,16550,557,polygon,TRUE,America/New_York,21601
Dickerson-MD,1840031271,Dickerson,Dickerson,MD,Dickerson-MD,Maryland,24031,Montgomery,39.2201,-77.4242,,,129.8,point,FALSE,America/New_York,20842
Beltsville-MD,1840005945,Beltsville,Beltsville,MD,Beltsville-MD,Maryland,24033,Prince George's,39.0395,-76.9211,,,353.6,polygon,FALSE,America/New_York,20705 20740 20697 20704 20797
Waterloo-MD,1840031417,Waterloo,Waterloo,MD,Waterloo-MD,Maryland,24027,Howard,39.1721,-76.785,,,650.2,point,FALSE,America/New_York,20794
Dundalk-MD,1840005681,Dundalk,Dundalk,MD,Dundalk-MD,Maryland,24005,Baltimore,39.2703,-76.4942,,,3389.3,polygon,FALSE,America/New_York,21222 21224
Hancock-MD,1840005610,Hancock,Hancock,MD,Hancock-MD,Maryland,24043,Washington,39.7054,-78.175,1553,1553,213,polygon,TRUE,America/New_York,21750
Fairmount Heights-MD,1840005965,Fairmount Heights,Fairmount Heights,MD,Fairmount Heights-MD,Maryland,24033,Prince George's,38.9015,-76.9152,1567,1567,2249,polygon,TRUE,America/New_York,20743
Frostburg-MD,1840005622,Frostburg,Frostburg,MD,Frostburg-MD,Maryland,24001,Allegany,39.6507,-78.9271,8676,8676,1014,polygon,TRUE,America/New_York,21532
