City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Bridgton-ME,1840002548,Bridgton,Bridgton,ME,Bridgton-ME,Maine,23005,Cumberland,44.0735,-70.71,,,415.7,polygon,FALSE,America/New_York,04009 04057
South Windham-ME,1840026140,South Windham,South Windham,ME,South Windham-ME,Maine,23005,Cumberland,43.738,-70.4236,,,295.5,polygon,FALSE,America/New_York,04062 04082
Lille-ME,1840031521,Lille,Lille,ME,Lille-ME,Maine,23003,Aroostook,47.28,-68.1098,,,30,point,FALSE,America/Moncton,4746
Van Buren-ME,1840001915,Van Buren,Van Buren,ME,Van Buren-ME,Maine,23003,Aroostook,47.1667,-67.9526,,,632.3,polygon,FALSE,America/New_York,4785
Rockwood-ME,1840031534,Rockwood,Rockwood,ME,Rockwood-ME,Maine,23025,Somerset,45.6778,-69.7409,,,105.3,point,FALSE,America/New_York,4478
Olamon-ME,1840031529,Olamon,Olamon,ME,Olamon-ME,Maine,23019,Penobscot,45.1209,-68.6106,,,69.8,point,FALSE,America/New_York,4418
South Eliot-ME,1840002673,South Eliot,South Eliot,ME,South Eliot-ME,Maine,23031,York,43.1287,-70.7952,,,784.6,polygon,FALSE,America/New_York,3903
Presque Isle-ME,1840000146,Presque Isle,Presque Isle,ME,Presque Isle-ME,Maine,23003,Aroostook,46.6868,-67.9874,5713,9106,46,polygon,TRUE,America/New_York,4769
Lisbon Falls-ME,1840002189,Lisbon Falls,Lisbon Falls,ME,Lisbon Falls-ME,Maine,23001,Androscoggin,44.0086,-70.057,,,982,polygon,FALSE,America/New_York,4252
Stratton-ME,1840031544,Stratton,Stratton,ME,Stratton-ME,Maine,23007,Franklin,45.1412,-70.4406,,,198.5,point,FALSE,America/New_York,4982
Biddeford-ME,1840000342,Biddeford,Biddeford,ME,Biddeford-ME,Maine,23031,York,43.4674,-70.4512,21362,21362,274,polygon,TRUE,America/New_York,04005 04006 04007
Brunswick-ME,1840002549,Brunswick,Brunswick,ME,Brunswick-ME,Maine,23005,Cumberland,43.9077,-69.9456,,,1769.2,polygon,FALSE,America/New_York,4011
Port Clyde-ME,1840031532,Port Clyde,Port Clyde,ME,Port Clyde-ME,Maine,23013,Knox,43.9273,-69.2528,,,108.9,point,FALSE,America/New_York,4855
South Paris-ME,1840001583,South Paris,South Paris,ME,South Paris-ME,Maine,23017,Oxford,44.219,-70.5113,,,908.8,polygon,FALSE,America/New_York,4281
Addison-ME,1840031501,Addison,Addison,ME,Addison-ME,Maine,23029,Washington,44.6184,-67.7442,,,81.9,point,FALSE,America/New_York,4606
Milford-ME,1840001978,Milford,Milford,ME,Milford-ME,Maine,23019,Penobscot,44.9518,-68.6334,,,864.1,polygon,FALSE,America/New_York,4461
Lubec-ME,1840026106,Lubec,Lubec,ME,Lubec-ME,Maine,23029,Washington,44.855,-66.9898,,,508.4,polygon,FALSE,America/New_York,4652
South Lagrange-ME,1840031543,South Lagrange,South Lagrange,ME,South Lagrange-ME,Maine,23019,Penobscot,45.1162,-68.815,,,39.7,point,FALSE,America/New_York,4453
