City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Brethren-MI,1840023961,Brethren,Brethren,MI,Brethren-MI,Michigan,26101,Manistee,44.2989,-86.0185,,,184.7,polygon,FALSE,America/Detroit,49619
White Pine-MI,1840025260,White Pine,White Pine,MI,White Pine-MI,Michigan,26131,Ontonagon,46.7402,-89.5813,,,235.1,polygon,FALSE,America/Detroit,49971
Westphalia-MI,1840011027,Westphalia,Westphalia,MI,Westphalia-MI,Michigan,26037,Clinton,42.9303,-84.7978,936,936,324,polygon,TRUE,America/Detroit,48894
Holt-MI,1840004501,Holt,Holt,MI,Holt-MI,Michigan,26065,Ingham,42.6416,-84.5308,,,1086,polygon,FALSE,America/Detroit,48842 48911
Frontier-MI,1840031604,Frontier,Frontier,MI,Frontier-MI,Michigan,26059,Hillsdale,41.7817,-84.6047,,,101.6,point,FALSE,America/Detroit,49242
Bay Shore-MI,1840025190,Bay Shore,Bay Shore,MI,Bay Shore-MI,Michigan,26029,Charlevoix,45.3609,-85.1117,,,163.9,polygon,FALSE,America/Detroit,49720
Cutlerville-MI,1840004308,Cutlerville,Cutlerville,MI,Cutlerville-MI,Michigan,26081,Kent,42.8406,-85.6739,,,1246.4,polygon,FALSE,America/Detroit,49548 49315
Zilwaukee-MI,1840000351,Zilwaukee,Zilwaukee,MI,Zilwaukee-MI,Michigan,26145,Saginaw,43.4809,-83.9223,1561,1561,272,polygon,TRUE,America/Detroit,48604
Eckerman-MI,1840031593,Eckerman,Eckerman,MI,Eckerman-MI,Michigan,26033,Chippewa,46.3653,-85.0354,,,29.7,point,FALSE,America/Detroit,49728
Dundee-MI,1840013156,Dundee,Dundee,MI,Dundee-MI,Michigan,26115,Monroe,41.9644,-83.6639,3842,4002,281,polygon,TRUE,America/Detroit,48131
Wayland-MI,1840000421,Wayland,Wayland,MI,Wayland-MI,Michigan,26005,Allegan,42.6725,-85.6408,4658,4206,545,polygon,TRUE,America/Detroit,49348
Ironton-MI,1840025192,Ironton,Ironton,MI,Ironton-MI,Michigan,26029,Charlevoix,45.2565,-85.1927,,,77.6,polygon,FALSE,America/Detroit,49720
Wayne-MI,1840001846,Wayne,Wayne,MI,Wayne-MI,Michigan,26163,Wayne,42.2774,-83.3877,16954,16954,1087,polygon,TRUE,America/Detroit,48184
