City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Sargeant-MN,1840009007,Sargeant,Sargeant,MN,Sargeant-MN,Minnesota,27099,Mower,43.8056,-92.8006,61,61,28,polygon,TRUE,America/Chicago,55973
Welcome-MN,1840010047,Welcome,Welcome,MN,Welcome-MN,Minnesota,27091,Martin,43.6662,-94.6079,653,653,172,polygon,TRUE,America/Chicago,56181
Savage-MN,1840008957,Savage,Savage,MN,Savage-MN,Minnesota,27139,Scott,44.7545,-93.3632,30807,30807,760,polygon,TRUE,America/Chicago,55378
Brewster-MN,1840004168,Brewster,Brewster,MN,Brewster-MN,Minnesota,27105,Nobles,43.6973,-95.4645,472,472,133,polygon,TRUE,America/Chicago,56119
Rollins-MN,1840032009,Rollins,Rollins,MN,Rollins-MN,Minnesota,27137,St. Louis,47.2566,-91.8452,,,1.6,point,FALSE,America/Chicago,55602
Kensington-MN,1840007774,Kensington,Kensington,MN,Kensington-MN,Minnesota,27041,Douglas,45.7782,-95.6971,296,296,314,polygon,TRUE,America/Chicago,56343
Dundee-MN,1840007926,Dundee,Dundee,MN,Dundee-MN,Minnesota,27105,Nobles,43.8441,-95.4668,70,70,87,polygon,TRUE,America/Chicago,56131
Grand Portage-MN,1840031811,Grand Portage,Grand Portage,MN,Grand Portage-MN,Minnesota,27031,Cook,47.9638,-89.6848,,,66.2,point,FALSE,America/Chicago,55605
Ironton-MN,1840007741,Ironton,Ironton,MN,Ironton-MN,Minnesota,27035,Crow Wing,46.4817,-93.9981,558,558,148,polygon,TRUE,America/Chicago,56441
Nielsville-MN,1840007707,Nielsville,Nielsville,MN,Nielsville-MN,Minnesota,27119,Polk,47.5284,-96.8174,90,90,96,polygon,TRUE,America/Chicago,56568
Villard-MN,1840009990,Villard,Villard,MN,Villard-MN,Minnesota,27121,Pope,45.714,-95.2694,252,252,122,polygon,TRUE,America/Chicago,56385
Tofte-MN,1840031981,Tofte,Tofte,MN,Tofte-MN,Minnesota,27031,Cook,47.5738,-90.8363,,,67.8,point,FALSE,America/Chicago,55615
