City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Moline Acres-MO,1840008595,Moline Acres,Moline Acres,MO,Moline Acres-MO,Missouri,29189,St. Louis,38.7456,-90.243,2406,2406,1581,polygon,TRUE,America/Chicago,63136 63137
Kissee Mills-MO,1840025750,Kissee Mills,Kissee Mills,MO,Kissee Mills-MO,Missouri,29213,Taney,36.6694,-93.0473,,,34.9,polygon,FALSE,America/Chicago,65653 65680
Byrnes Mill-MO,1840007504,Byrnes Mill,Byrnes Mill,MO,Byrnes Mill-MO,Missouri,29099,Jefferson,38.4396,-90.5742,2929,2929,219,polygon,TRUE,America/Chicago,63025 63051
Post Oak-MO,1840032130,Post Oak,Post Oak,MO,Post Oak-MO,Missouri,29101,Johnson,38.5689,-93.751,,,8.8,point,FALSE,America/Chicago,64761
Lakeshire-MO,1840008600,Lakeshire,Lakeshire,MO,Lakeshire-MO,Missouri,29189,St. Louis,38.5399,-90.3384,1415,1415,2451,polygon,TRUE,America/Chicago,63123
Edinburg-MO,1840025560,Edinburg,Edinburg,MO,Edinburg-MO,Missouri,29079,Grundy,40.0811,-93.6898,,,66,polygon,FALSE,America/Chicago,64683
Worland-MO,1840032115,Worland,Worland,MO,Worland-MO,Missouri,29013,Bates,38.1878,-94.5919,,,31.7,point,FALSE,America/Chicago,64779
Villa Ridge-MO,1840007474,Villa Ridge,Villa Ridge,MO,Villa Ridge-MO,Missouri,29071,Franklin,38.468,-90.885,,,232.3,polygon,FALSE,America/Chicago,63089
Taneyville-MO,1840013059,Taneyville,Taneyville,MO,Taneyville-MO,Missouri,29213,Taney,36.738,-93.0352,391,391,319,polygon,TRUE,America/Chicago,65759
Machens-MO,1840032240,Machens,Machens,MO,Machens-MO,Missouri,29183,St. Charles,38.9031,-90.3323,,,2.6,point,FALSE,America/Chicago,63301
Meadville-MO,1840008403,Meadville,Meadville,MO,Meadville-MO,Missouri,29115,Linn,39.7882,-93.2992,444,444,317,polygon,TRUE,America/Chicago,64659
Doe Run-MO,1840025695,Doe Run,Doe Run,MO,Doe Run-MO,Missouri,29187,St. Francois,37.7455,-90.4994,,,285.7,polygon,FALSE,America/Chicago,63601 63637
Bolivar-MO,1840007578,Bolivar,Bolivar,MO,Bolivar-MO,Missouri,29167,Polk,37.6057,-93.4174,10133,10795,503,polygon,TRUE,America/Chicago,65613
Wayland-MO,1840010402,Wayland,Wayland,MO,Wayland-MO,Missouri,29045,Clark,40.3963,-91.5754,494,494,283,polygon,TRUE,America/Chicago,63430 63472
Leawood-MO,1840013044,Leawood,Leawood,MO,Leawood-MO,Missouri,29145,Newton,37.0334,-94.4947,680,680,213,polygon,TRUE,America/Chicago,64804
Pleasant Hill-MO,1840009786,Pleasant Hill,Pleasant Hill,MO,Pleasant Hill-MO,Missouri,29037,Cass,38.8061,-94.2654,8376,8444,406,polygon,TRUE,America/Chicago,64080
Cross Keys-MO,1840032233,Cross Keys,Cross Keys,MO,Cross Keys-MO,Missouri,29189,St. Louis,38.8089,-90.2987,,,1241.7,point,FALSE,America/Chicago,63033
Burgess-MO,1840009888,Burgess,Burgess,MO,Burgess-MO,Missouri,29011,Barton,37.5562,-94.6152,55,55,287,polygon,TRUE,America/Chicago,64769
Cole Camp-MO,1840007495,Cole Camp,Cole Camp,MO,Cole Camp-MO,Missouri,29015,Benton,38.4595,-93.2025,1114,1114,330,polygon,TRUE,America/Chicago,65325
Martinsburg-MO,1840009618,Martinsburg,Martinsburg,MO,Martinsburg-MO,Missouri,29007,Audrain,39.101,-91.6476,307,307,443,polygon,TRUE,America/Chicago,65264
Farley-MO,1840012629,Farley,Farley,MO,Farley-MO,Missouri,29165,Platte,39.2888,-94.8285,290,290,90,polygon,TRUE,America/Chicago,64079 64028
Castle Point-MO,1840006125,Castle Point,Castle Point,MO,Castle Point-MO,Missouri,29189,St. Louis,38.7573,-90.2487,,,2249.8,polygon,FALSE,America/Chicago,63136
Louisiana-MO,1840009676,Louisiana,Louisiana,MO,Louisiana-MO,Missouri,29163,Pike,39.4413,-91.0626,3014,3281,404,polygon,TRUE,America/Chicago,63353
Humansville-MO,1840007579,Humansville,Humansville,MO,Humansville-MO,Missouri,29167,Polk,37.795,-93.5765,1035,1035,340,polygon,TRUE,America/Chicago,65674
Pomona-MO,1840025742,Pomona,Pomona,MO,Pomona-MO,Missouri,29091,Howell,36.8671,-91.9134,,,141.8,polygon,FALSE,America/Chicago,65789
Ellington-MO,1840008734,Ellington,Ellington,MO,Ellington-MO,Missouri,29179,Reynolds,37.2365,-90.9719,962,962,269,polygon,TRUE,America/Chicago,63638
Lake Lafayette-MO,1840008527,Lake Lafayette,Lake Lafayette,MO,Lake Lafayette-MO,Missouri,29107,Lafayette,38.9487,-93.9714,322,322,194,polygon,TRUE,America/Chicago,64076
Skidmore-MO,1840009417,Skidmore,Skidmore,MO,Skidmore-MO,Missouri,29147,Nodaway,40.2878,-95.0796,269,269,310,polygon,TRUE,America/Chicago,64487
Hoover-MO,1840032065,Hoover,Hoover,MO,Hoover-MO,Missouri,29165,Platte,39.3689,-94.6669,,,190.5,point,FALSE,America/Chicago,64089
Columbia-MO,1840007391,Columbia,Columbia,MO,Columbia-MO,Missouri,29019,Boone,38.9475,-92.3263,138675,120612,721,polygon,TRUE,America/Chicago,65202 65203 65201 65215 65205 65211 65212 65216 65217 65218
Parkville-MO,1840009590,Parkville,Parkville,MO,Parkville-MO,Missouri,29165,Platte,39.2004,-94.7222,6514,6514,170,polygon,TRUE,America/Chicago,64152
Monroe City-MO,1840008451,Monroe City,Monroe City,MO,Monroe City-MO,Missouri,29137,Monroe,39.6542,-91.7328,2441,2441,312,polygon,TRUE,America/Chicago,63456
Verona-MO,1840010883,Verona,Verona,MO,Verona-MO,Missouri,29109,Lawrence,36.9631,-93.7936,604,604,268,polygon,TRUE,America/Chicago,65769
Bolckow-MO,1840007267,Bolckow,Bolckow,MO,Bolckow-MO,Missouri,29003,Andrew,40.1152,-94.8213,189,189,224,polygon,TRUE,America/Chicago,64427
Plato-MO,1840012999,Plato,Plato,MO,Plato-MO,Missouri,29215,Texas,37.5029,-92.22,109,109,112,polygon,TRUE,America/Chicago,65552
Fremont-MO,1840025740,Fremont,Fremont,MO,Fremont-MO,Missouri,29035,Carter,36.9523,-91.1623,,,170.6,polygon,FALSE,America/Chicago,63941
Mound City-MO,1840008382,Mound City,Mound City,MO,Mound City-MO,Missouri,29087,Holt,40.1365,-95.2337,1049,1049,325,polygon,TRUE,America/Chicago,64470
Corder-MO,1840007386,Corder,Corder,MO,Corder-MO,Missouri,29107,Lafayette,39.0991,-93.639,399,399,432,polygon,TRUE,America/Chicago,64021
Ashburn-MO,1840010625,Ashburn,Ashburn,MO,Ashburn-MO,Missouri,29163,Pike,39.5458,-91.172,,,74.9,polygon,TRUE,America/Chicago,63433
Coffman-MO,1840032033,Coffman,Coffman,MO,Coffman-MO,Missouri,29186,Ste. Genevieve,37.7845,-90.1943,,,5.1,point,FALSE,America/Chicago,63670
High Ridge-MO,1840006233,High Ridge,High Ridge,MO,High Ridge-MO,Missouri,29099,Jefferson,38.4609,-90.534,,,471.9,polygon,FALSE,America/Chicago,63049
Avilla-MO,1840009913,Avilla,Avilla,MO,Avilla-MO,Missouri,29097,Jasper,37.1938,-94.1298,126,126,248,polygon,TRUE,America/Chicago,64833
Cowgill-MO,1840007319,Cowgill,Cowgill,MO,Cowgill-MO,Missouri,29025,Caldwell,39.5603,-93.9257,181,181,292,polygon,TRUE,America/Chicago,64637
Stotts City-MO,1840009919,Stotts City,Stotts City,MO,Stotts City-MO,Missouri,29109,Lawrence,37.1018,-93.9483,220,220,165,polygon,TRUE,America/Chicago,65756
Shirley-MO,1840032215,Shirley,Shirley,MO,Shirley-MO,Missouri,29221,Washington,37.915,-90.9193,,,11.6,point,FALSE,America/Chicago,63664
Atlanta-MO,1840007271,Atlanta,Atlanta,MO,Atlanta-MO,Missouri,29121,Macon,39.8985,-92.4799,371,371,418,polygon,TRUE,America/Chicago,63530
Hartshorn-MO,1840032062,Hartshorn,Hartshorn,MO,Hartshorn-MO,Missouri,29215,Texas,37.2648,-91.6704,,,11.4,point,FALSE,America/Chicago,65479
Saint Thomas-MO,1840010766,Saint Thomas,Saint Thomas,MO,Saint Thomas-MO,Missouri,29051,Cole,38.367,-92.216,276,276,108,polygon,TRUE,America/Chicago,65076
Easton-MO,1840008441,Easton,Easton,MO,Easton-MO,Missouri,29021,Buchanan,39.7226,-94.6404,237,237,154,polygon,TRUE,America/Chicago,64443
Wortham-MO,1840025698,Wortham,Wortham,MO,Wortham-MO,Missouri,29187,St. Francois,37.8401,-90.6076,,,140.6,polygon,FALSE,America/Chicago,63601
Bixby-MO,1840032179,Bixby,Bixby,MO,Bixby-MO,Missouri,29093,Iron,37.6603,-91.1151,,,23.2,point,FALSE,America/Chicago,65439
Holland-MO,1840010903,Holland,Holland,MO,Holland-MO,Missouri,29155,Pemiscot,36.0571,-89.8705,215,215,497,polygon,TRUE,America/Chicago,63853
Montrose-MO,1840008644,Montrose,Montrose,MO,Montrose-MO,Missouri,29083,Henry,38.2587,-93.9827,371,371,251,polygon,TRUE,America/Chicago,64770
Centralia-MO,1840007392,Centralia,Centralia,MO,Centralia-MO,Missouri,29019,Boone,39.2107,-92.1344,3969,4192,563,polygon,TRUE,America/Chicago,65240
