City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Holmesville-MS,1840032337,Holmesville,Holmesville,MS,Holmesville-MS,Mississippi,28113,Pike,31.2035,-90.3087,,,12.6,point,FALSE,America/Chicago,39648
Leaf-MS,1840032531,Leaf,Leaf,MS,Leaf-MS,Mississippi,28041,Greene,31.0257,-88.7956,,,24.6,point,FALSE,America/Chicago,39456
Metcalfe-MS,1840016858,Metcalfe,Metcalfe,MS,Metcalfe-MS,Mississippi,28151,Washington,33.4505,-91.0018,1008,1008,388,polygon,TRUE,America/Chicago,38760 38703
Meadville-MS,1840017092,Meadville,Meadville,MS,Meadville-MS,Mississippi,28037,Franklin,31.4721,-90.893,432,432,151,polygon,TRUE,America/Chicago,39653
Dundee-MS,1840032308,Dundee,Dundee,MS,Dundee-MS,Mississippi,28143,Tunica,34.5243,-90.4557,,,31.6,point,FALSE,America/Chicago,38626
Bolivar-MS,1840032284,Bolivar,Bolivar,MS,Bolivar-MS,Mississippi,28011,Bolivar,33.6598,-91.0532,,,71,point,FALSE,America/Chicago,38725
Crandall-MS,1840032296,Crandall,Crandall,MS,Crandall-MS,Mississippi,28023,Clarke,31.9746,-88.5323,,,9.9,point,FALSE,America/Chicago,39355
Bailey-MS,1840032267,Bailey,Bailey,MS,Bailey-MS,Mississippi,28075,Lauderdale,32.4676,-88.7228,,,34.8,point,FALSE,America/Chicago,39320
Harperville-MS,1840032525,Harperville,Harperville,MS,Harperville-MS,Mississippi,28123,Scott,32.4943,-89.4895,,,49.5,point,FALSE,America/Chicago,39074
Vancleave-MS,1840013934,Vancleave,Vancleave,MS,Vancleave-MS,Mississippi,28059,Jackson,30.5483,-88.6675,,,74.5,polygon,FALSE,America/Chicago,39565
Boyle-MS,1840015627,Boyle,Boyle,MS,Boyle-MS,Mississippi,28011,Bolivar,33.7065,-90.7249,610,610,167,polygon,TRUE,America/Chicago,38730
Columbia-MS,1840014970,Columbia,Columbia,MS,Columbia-MS,Mississippi,28091,Marion,31.2564,-89.8266,6807,6143,351,polygon,TRUE,America/Chicago,39429
State Line-MS,1840017061,State Line,State Line,MS,State Line-MS,Mississippi,28041,Greene,31.436,-88.4738,551,551,49,polygon,TRUE,America/Chicago,39362
Verona-MS,1840015562,Verona,Verona,MS,Verona-MS,Mississippi,28081,Lee,34.1909,-88.7204,3019,3019,313,polygon,TRUE,America/Chicago,38801 38879
Sledge-MS,1840017942,Sledge,Sledge,MS,Sledge-MS,Mississippi,28119,Quitman,34.4327,-90.2213,510,510,378,polygon,TRUE,America/Chicago,38670
Shelby-MS,1840015629,Shelby,Shelby,MS,Shelby-MS,Mississippi,28011,Bolivar,33.9508,-90.7653,2083,2083,294,polygon,TRUE,America/Chicago,38774
Weir-MS,1840016857,Weir,Weir,MS,Weir-MS,Mississippi,28019,Choctaw,33.2635,-89.2905,441,441,161,polygon,TRUE,America/Chicago,39772
Harrisville-MS,1840032329,Harrisville,Harrisville,MS,Harrisville-MS,Mississippi,28127,Simpson,31.9724,-90.0779,,,24.6,point,FALSE,America/Chicago,39082
Polkville-MS,1840018132,Polkville,Polkville,MS,Polkville-MS,Mississippi,28129,Smith,32.1909,-89.696,803,803,18,polygon,TRUE,America/Chicago,39117
Sanatorium-MS,1840032419,Sanatorium,Sanatorium,MS,Sanatorium-MS,Mississippi,28127,Simpson,31.8988,-89.7776,,,94.8,point,FALSE,America/Chicago,39114
Batesville-MS,1840013607,Batesville,Batesville,MS,Batesville-MS,Mississippi,28107,Panola,34.3148,-89.9249,7237,7391,143,polygon,TRUE,America/Chicago,38606
Black Hawk-MS,1840032281,Black Hawk,Black Hawk,MS,Black Hawk-MS,Mississippi,28015,Carroll,33.3262,-90.0118,,,24.4,point,FALSE,America/Chicago,38923
Montrose-MS,1840017036,Montrose,Montrose,MS,Montrose-MS,Mississippi,28061,Jasper,32.1256,-89.2344,136,136,19,polygon,TRUE,America/Chicago,39338
De Lisle-MS,1840032300,De Lisle,De Lisle,MS,De Lisle-MS,Mississippi,28047,Harrison,30.3848,-89.2746,,,179,polygon,FALSE,America/Chicago,39571
Gloster-MS,1840017115,Gloster,Gloster,MS,Gloster-MS,Mississippi,28005,Amite,31.1951,-91.0177,898,898,190,polygon,TRUE,America/Chicago,39638
Okolona-MS,1840014759,Okolona,Okolona,MS,Okolona-MS,Mississippi,28017,Chickasaw,34.0053,-88.7479,2618,2618,140,polygon,TRUE,America/Chicago,38860
Tunica-MS,1840016549,Tunica,Tunica,MS,Tunica-MS,Mississippi,28143,Tunica,34.6881,-90.3809,968,968,563,polygon,TRUE,America/Chicago,38676
Glancy-MS,1840032500,Glancy,Glancy,MS,Glancy-MS,Mississippi,28029,Copiah,31.8185,-90.4965,,,8,point,FALSE,America/Chicago,39083
Barnett-MS,1840032490,Barnett,Barnett,MS,Barnett-MS,Mississippi,28023,Clarke,31.9868,-88.9051,,,24,point,FALSE,America/Chicago,39347
Midnight-MS,1840032370,Midnight,Midnight,MS,Midnight-MS,Mississippi,28053,Humphreys,33.0496,-90.5734,,,114.6,point,FALSE,America/Chicago,39097
Mooreville-MS,1840025853,Mooreville,Mooreville,MS,Mooreville-MS,Mississippi,28081,Lee,34.2648,-88.5769,,,104,polygon,FALSE,America/Chicago,38857
Hudsonville-MS,1840032529,Hudsonville,Hudsonville,MS,Hudsonville-MS,Mississippi,28093,Marshall,34.8612,-89.3751,,,4.5,point,FALSE,America/Chicago,38635
Kiln-MS,1840013949,Kiln,Kiln,MS,Kiln-MS,Mississippi,28045,Hancock,30.4171,-89.4322,,,100.9,polygon,FALSE,America/Chicago,39556
Soso-MS,1840018163,Soso,Soso,MS,Soso-MS,Mississippi,28067,Jones,31.7535,-89.2759,401,401,76,polygon,TRUE,America/Chicago,39480
Lynchburg-MS,1840013543,Lynchburg,Lynchburg,MS,Lynchburg-MS,Mississippi,28033,DeSoto,34.9623,-90.1052,,,778.7,polygon,FALSE,America/Chicago,38680
Flowood-MS,1840013824,Flowood,Flowood,MS,Flowood-MS,Mississippi,28121,Rankin,32.3359,-90.0802,8859,8859,119,polygon,TRUE,America/Chicago,39047 39208 39232
Durant-MS,1840013775,Durant,Durant,MS,Durant-MS,Mississippi,28051,Holmes,33.0799,-89.8566,2296,2431,419,polygon,TRUE,America/Chicago,39063
Derma-MS,1840016743,Derma,Derma,MS,Derma-MS,Mississippi,28013,Calhoun,33.8589,-89.2879,1000,1000,218,polygon,TRUE,America/Chicago,38916 38839
Howard-MS,1840032340,Howard,Howard,MS,Howard-MS,Mississippi,28051,Holmes,33.1229,-90.1909,,,2,point,FALSE,America/Chicago,39095
Chicora-MS,1840032495,Chicora,Chicora,MS,Chicora-MS,Mississippi,28153,Wayne,31.5638,-88.5753,,,7.9,point,FALSE,America/Chicago,39322
Marks-MS,1840015558,Marks,Marks,MS,Marks-MS,Mississippi,28119,Quitman,34.2535,-90.2722,3161,1551,466,polygon,TRUE,America/Chicago,38646
Bentonia-MS,1840015765,Bentonia,Bentonia,MS,Bentonia-MS,Mississippi,28163,Yazoo,32.6437,-90.3692,423,423,114,polygon,TRUE,America/Chicago,39040
Crystal Springs-MS,1840014932,Crystal Springs,Crystal Springs,MS,Crystal Springs-MS,Mississippi,28029,Copiah,31.9903,-90.354,5107,4889,347,polygon,TRUE,America/Chicago,39059
Tishomingo-MS,1840016515,Tishomingo,Tishomingo,MS,Tishomingo-MS,Mississippi,28141,Tishomingo,34.634,-88.2287,336,336,234,polygon,TRUE,America/Chicago,38873
Rich-MS,1840032413,Rich,Rich,MS,Rich-MS,Mississippi,28027,Coahoma,34.4162,-90.4448,,,36.6,point,FALSE,America/Chicago,38617
Cruger-MS,1840016879,Cruger,Cruger,MS,Cruger-MS,Mississippi,28051,Holmes,33.323,-90.2355,354,354,141,polygon,TRUE,America/Chicago,38924
Collins-MS,1840014948,Collins,Collins,MS,Collins-MS,Mississippi,28031,Covington,31.6469,-89.5669,2569,2569,124,polygon,TRUE,America/Chicago,39428
Abbeville-MS,1840015557,Abbeville,Abbeville,MS,Abbeville-MS,Mississippi,28071,Lafayette,34.5034,-89.5025,430,430,47,polygon,TRUE,America/Chicago,38601
Diamondhead-MS,1840013106,Diamondhead,Diamondhead,MS,Diamondhead-MS,Mississippi,28045,Hancock,30.3791,-89.3707,7661,8217,313,polygon,TRUE,America/Chicago,39525
Tuscola-MS,1840032549,Tuscola,Tuscola,MS,Tuscola-MS,Mississippi,28079,Leake,32.6201,-89.5278,,,14.1,point,FALSE,America/Chicago,39094
Sebastopol-MS,1840018090,Sebastopol,Sebastopol,MS,Sebastopol-MS,Mississippi,28123,Scott,32.5679,-89.334,278,278,68,polygon,TRUE,America/Chicago,39359
Sandersville-MS,1840018162,Sandersville,Sandersville,MS,Sandersville-MS,Mississippi,28067,Jones,31.7879,-89.0362,719,719,56,polygon,TRUE,America/Chicago,39477
