City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Savage-MT,1840032680,Savage,Savage,MT,Savage-MT,Montana,30083,Richland,47.4536,-104.3414,,,336.7,polygon,FALSE,America/Denver,59262
Corbin-MT,1840032713,Corbin,Corbin,MT,Corbin-MT,Montana,30043,Jefferson,46.3805,-112.0619,,,40.8,point,FALSE,America/Denver,59638
Shelby-MT,1840021062,Shelby,Shelby,MT,Shelby-MT,Montana,30101,Toole,48.5034,-111.8614,2892,3216,214,polygon,TRUE,America/Denver,59474
Darby-MT,1840021172,Darby,Darby,MT,Darby-MT,Montana,30081,Ravalli,46.0232,-114.1797,763,763,526,polygon,TRUE,America/Denver,59829
Winnett-MT,1840022303,Winnett,Winnett,MT,Winnett-MT,Montana,30069,Petroleum,47.0043,-108.3466,185,185,70,polygon,TRUE,America/Denver,59087
Post Creek-MT,1840032664,Post Creek,Post Creek,MT,Post Creek-MT,Montana,30047,Lake,47.3991,-114.0968,,,23.6,point,FALSE,America/Denver,59865
Klein-MT,1840017378,Klein,Klein,MT,Klein-MT,Montana,30065,Musselshell,46.3983,-108.5525,,,16.4,polygon,FALSE,America/Denver,59072
Alder-MT,1840017409,Alder,Alder,MT,Alder-MT,Montana,30057,Madison,45.3217,-112.1093,,,65.8,polygon,FALSE,America/Denver,59749 59710
Big Sky-MT,1840017393,Big Sky,Big Sky,MT,Big Sky-MT,Montana,30031,Gallatin,45.2592,-111.3426,,,3.1,polygon,FALSE,America/Denver,59716 59730
McAllister-MT,1840032641,McAllister,McAllister,MT,McAllister-MT,Montana,30057,Madison,45.4444,-111.7322,,,16.8,point,FALSE,America/Denver,59740
Shirley-MT,1840032683,Shirley,Shirley,MT,Shirley-MT,Montana,30017,Custer,46.5914,-105.58,,,1.3,point,FALSE,America/Denver,59301
Waterloo-MT,1840032767,Waterloo,Waterloo,MT,Waterloo-MT,Montana,30057,Madison,45.7219,-112.1922,,,9.4,point,FALSE,America/Denver,59759
Three Forks-MT,1840021184,Three Forks,Three Forks,MT,Three Forks-MT,Montana,30031,Gallatin,45.89,-111.5524,1944,1944,523,polygon,TRUE,America/Denver,59752
Antelope-MT,1840017309,Antelope,Antelope,MT,Antelope-MT,Montana,30091,Sheridan,48.6898,-104.4541,,,63.4,polygon,FALSE,America/Denver,59211
Poplar-MT,1840019775,Poplar,Poplar,MT,Poplar-MT,Montana,30085,Roosevelt,48.1106,-105.1971,2891,854,1202,polygon,TRUE,America/Denver,59255
Wolf Point-MT,1840021071,Wolf Point,Wolf Point,MT,Wolf Point-MT,Montana,30085,Roosevelt,48.0934,-105.6413,3790,2806,1264,polygon,TRUE,America/Denver,59201
Stryker-MT,1840023747,Stryker,Stryker,MT,Stryker-MT,Montana,30053,Lincoln,48.6728,-114.7677,,,31.6,polygon,FALSE,America/Denver,59933
Saco-MT,1840021049,Saco,Saco,MT,Saco-MT,Montana,30071,Phillips,48.4571,-107.3414,197,197,250,polygon,TRUE,America/Denver,59261
Heart Butte-MT,1840017316,Heart Butte,Heart Butte,MT,Heart Butte-MT,Montana,30073,Pondera,48.2905,-112.8363,,,68,polygon,FALSE,America/Denver,59448
Rockvale-MT,1840032674,Rockvale,Rockvale,MT,Rockvale-MT,Montana,30009,Carbon,45.5224,-108.8618,,,19.2,point,FALSE,America/Denver,59041
Flatwillow-MT,1840032598,Flatwillow,Flatwillow,MT,Flatwillow-MT,Montana,30069,Petroleum,46.8319,-108.4001,,,4.5,point,FALSE,America/Denver,59087
Kinsey-MT,1840032622,Kinsey,Kinsey,MT,Kinsey-MT,Montana,30017,Custer,46.5708,-105.6569,,,14.7,point,FALSE,America/Denver,59338
Kevin-MT,1840021063,Kevin,Kevin,MT,Kevin-MT,Montana,30101,Toole,48.7457,-111.9655,138,138,147,polygon,TRUE,America/Denver,59454
Hobson-MT,1840019850,Hobson,Hobson,MT,Hobson-MT,Montana,30045,Judith Basin,46.9996,-109.8732,218,218,394,polygon,TRUE,America/Denver,59452
Gilman-MT,1840032775,Gilman,Gilman,MT,Gilman-MT,Montana,30049,Lewis and Clark,47.5091,-112.3653,,,10.8,point,FALSE,America/Denver,59410
Geyser-MT,1840026099,Geyser,Geyser,MT,Geyser-MT,Montana,30045,Judith Basin,47.2633,-110.4927,,,80.6,polygon,FALSE,America/Denver,59447
Fort Belknap Agency-MT,1840017305,Fort Belknap Agency,Fort Belknap Agency,MT,Fort Belknap Agency-MT,Montana,30005,Blaine,48.4278,-108.6829,,,377.2,polygon,FALSE,America/Denver,59526
Jardine-MT,1840026103,Jardine,Jardine,MT,Jardine-MT,Montana,30067,Park,45.0565,-110.6186,,,6,polygon,FALSE,America/Denver,59030
Hingham-MT,1840021054,Hingham,Hingham,MT,Hingham-MT,Montana,30041,Hill,48.5554,-110.4213,122,122,275,polygon,TRUE,America/Denver,59528
Monarch-MT,1840032746,Monarch,Monarch,MT,Monarch-MT,Montana,30013,Cascade,47.0983,-110.8386,,,15.4,point,FALSE,America/Denver,59463
Augusta-MT,1840017335,Augusta,Augusta,MT,Augusta-MT,Montana,30049,Lewis and Clark,47.4893,-112.3922,,,179.1,polygon,FALSE,America/Denver,59410
Townsend-MT,1840021165,Townsend,Townsend,MT,Townsend-MT,Montana,30007,Broadwater,46.3192,-111.5197,1978,1978,505,polygon,TRUE,America/Denver,59644
Pendroy-MT,1840032662,Pendroy,Pendroy,MT,Pendroy-MT,Montana,30099,Teton,48.0736,-112.2989,,,10.6,point,FALSE,America/Denver,59467
Cushman-MT,1840032584,Cushman,Cushman,MT,Cushman-MT,Montana,30037,Golden Valley,46.2883,-109.0427,,,2.6,point,FALSE,America/Denver,59046
Rapelje-MT,1840032667,Rapelje,Rapelje,MT,Rapelje-MT,Montana,30095,Stillwater,45.9719,-109.2552,,,34.2,point,FALSE,America/Denver,59067
Birney-MT,1840017372,Birney,Birney,MT,Birney-MT,Montana,30087,Rosebud,45.4155,-106.4933,,,4.2,polygon,FALSE,America/Denver,59043 59012
Hamilton-MT,1840019896,Hamilton,Hamilton,MT,Hamilton-MT,Montana,30081,Ravalli,46.2524,-114.1598,6646,4674,736,polygon,TRUE,America/Denver,59840
Sedan-MT,1840023882,Sedan,Sedan,MT,Sedan-MT,Montana,30031,Gallatin,45.9653,-110.8888,,,0.7,polygon,FALSE,America/Denver,59086 59715
Butte-MT,1840032850,Butte,Butte,MT,Butte-MT,Montana,30093,Silver Bow,45.902,-112.6571,30584,33853,18,polygon,TRUE,America/Denver,59748 59743 59727 59759 59750 59701 59703 59702 59707
Lonepine-MT,1840017327,Lonepine,Lonepine,MT,Lonepine-MT,Montana,30089,Sanders,47.6946,-114.6408,,,20.2,polygon,FALSE,America/Denver,59848 59845
