City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Toast-NC,1840013306,Toast,Toast,NC,Toast-NC,North Carolina,37171,Surry,36.4967,-80.6347,,,293.2,polygon,FALSE,America/New_York,27030 27049
Colerain-NC,1840016149,Colerain,Colerain,NC,Colerain-NC,North Carolina,37015,Bertie,36.2013,-76.7663,187,187,274,polygon,TRUE,America/New_York,27924
Banner Elk-NC,1840015320,Banner Elk,Banner Elk,NC,Banner Elk-NC,North Carolina,37011,Avery,36.1588,-81.8677,1144,1144,231,polygon,TRUE,America/New_York,28604
Four Oaks-NC,1840016291,Four Oaks,Four Oaks,NC,Four Oaks-NC,North Carolina,37101,Johnston,35.4503,-78.4177,2090,2090,497,polygon,TRUE,America/New_York,27524
Wanchese-NC,1840013370,Wanchese,Wanchese,NC,Wanchese-NC,North Carolina,37055,Dare,35.8396,-75.6379,,,359.1,polygon,FALSE,America/New_York,27981
Franklinville-NC,1840016253,Franklinville,Franklinville,NC,Franklinville-NC,North Carolina,37151,Randolph,35.7421,-79.6893,1162,1162,277,polygon,TRUE,America/New_York,27316 27248
Shelby-NC,1840015426,Shelby,Shelby,NC,Shelby-NC,North Carolina,37045,Cleveland,35.289,-81.5416,27288,20260,370,polygon,TRUE,America/New_York,28152 28150 28151
Castalia-NC,1840016164,Castalia,Castalia,NC,Castalia-NC,North Carolina,37127,Nash,36.0823,-78.0576,262,262,134,polygon,TRUE,America/New_York,27816
Goldston-NC,1840016258,Goldston,Goldston,NC,Goldston-NC,North Carolina,37037,Chatham,35.5929,-79.3284,299,299,145,polygon,TRUE,America/New_York,27252
Sunbury-NC,1840025762,Sunbury,Sunbury,NC,Sunbury-NC,North Carolina,37073,Gates,36.4469,-76.6127,,,40.8,polygon,FALSE,America/New_York,27979
Currituck-NC,1840032942,Currituck,Currituck,NC,Currituck-NC,North Carolina,37053,Currituck,36.4499,-76.0155,,,114.2,point,FALSE,America/New_York,27929
Pleasant Hill-NC,1840013341,Pleasant Hill,Pleasant Hill,NC,Pleasant Hill-NC,North Carolina,37193,Wilkes,36.258,-80.8904,,,161.3,polygon,FALSE,America/New_York,28621
Hoopers Creek-NC,1840024956,Hoopers Creek,Hoopers Creek,NC,Hoopers Creek-NC,North Carolina,37089,Henderson,35.4481,-82.4294,,,830.7,polygon,FALSE,America/New_York,28732
Bailey-NC,1840015344,Bailey,Bailey,NC,Bailey-NC,North Carolina,37127,Nash,35.7805,-78.1129,568,568,312,polygon,TRUE,America/New_York,27807
Snow Hill-NC,1840017829,Snow Hill,Snow Hill,NC,Snow Hill-NC,North Carolina,37079,Greene,35.4506,-77.6768,1556,1556,389,polygon,TRUE,America/New_York,28580
Cricket-NC,1840013336,Cricket,Cricket,NC,Cricket-NC,North Carolina,37193,Wilkes,36.1687,-81.1932,,,232.3,polygon,FALSE,America/New_York,28659
