City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Frontier-ND,1840000178,Frontier,Frontier,ND,Frontier-ND,North Dakota,38017,Cass,46.8004,-96.8332,208,208,431,polygon,TRUE,America/Chicago,58104
Pisek-ND,1840000086,Pisek,Pisek,ND,Pisek-ND,North Dakota,38099,Walsh,48.311,-97.7109,104,104,344,polygon,TRUE,America/Chicago,58273
Leal-ND,1840000164,Leal,Leal,ND,Leal-ND,North Dakota,38003,Barnes,47.105,-98.3154,19,19,53,polygon,TRUE,America/Chicago,58479
Cooperstown-ND,1840001905,Cooperstown,Cooperstown,ND,Cooperstown-ND,North Dakota,38039,Griggs,47.4449,-98.1257,928,928,368,polygon,TRUE,America/Chicago,58425
Selz-ND,1840023767,Selz,Selz,ND,Selz-ND,North Dakota,38069,Pierce,47.8594,-99.8934,,,3.3,polygon,FALSE,America/Chicago,58341
Lark-ND,1840033072,Lark,Lark,ND,Lark-ND,North Dakota,38037,Grant,46.4531,-101.3963,,,2,point,FALSE,America/Denver,58535
Antler-ND,1840000002,Antler,Antler,ND,Antler-ND,North Dakota,38009,Bottineau,48.9712,-101.2829,27,27,63,polygon,TRUE,America/Chicago,58711
Mooreton-ND,1840000235,Mooreton,Mooreton,ND,Mooreton-ND,North Dakota,38077,Richland,46.269,-96.8759,194,194,282,polygon,TRUE,America/Chicago,58061
Dodge-ND,1840000124,Dodge,Dodge,ND,Dodge-ND,North Dakota,38025,Dunn,47.3057,-102.2028,101,101,83,polygon,TRUE,America/Denver,58625
New Rockford-ND,1840000115,New Rockford,New Rockford,ND,New Rockford-ND,North Dakota,38027,Eddy,47.6791,-99.1348,1390,1390,354,polygon,TRUE,America/Chicago,58356
Walum-ND,1840033102,Walum,Walum,ND,Walum-ND,North Dakota,38039,Griggs,47.2697,-98.1945,,,11.5,point,FALSE,America/Chicago,58448
Buford-ND,1840033039,Buford,Buford,ND,Buford-ND,North Dakota,38105,Williams,47.9986,-103.9913,,,1.7,point,FALSE,America/Chicago,58801
Burt-ND,1840033041,Burt,Burt,ND,Burt-ND,North Dakota,38041,Hettinger,46.3653,-102.1552,,,6.1,point,FALSE,America/Denver,58646
Lansford-ND,1840000007,Lansford,Lansford,ND,Lansford-ND,North Dakota,38009,Bottineau,48.627,-101.3761,249,249,277,polygon,TRUE,America/Chicago,58750
Saint Thomas-ND,1840001858,Saint Thomas,Saint Thomas,ND,Saint Thomas-ND,North Dakota,38067,Pembina,48.6194,-97.4471,316,316,115,polygon,TRUE,America/Chicago,58276
Hampden-ND,1840000074,Hampden,Hampden,ND,Hampden-ND,North Dakota,38071,Ramsey,48.5396,-98.6544,47,47,105,polygon,TRUE,America/Chicago,58338
Roseglen-ND,1840033089,Roseglen,Roseglen,ND,Roseglen-ND,North Dakota,38055,McLean,47.7514,-101.8363,,,3,point,FALSE,America/Chicago,58775
Scranton-ND,1840001989,Scranton,Scranton,ND,Scranton-ND,North Dakota,38011,Bowman,46.1467,-103.1427,284,284,122,polygon,TRUE,America/Denver,58653
Noonan-ND,1840000036,Noonan,Noonan,ND,Noonan-ND,North Dakota,38023,Divide,48.89,-103.0103,125,125,162,polygon,TRUE,America/Chicago,58765
Calvin-ND,1840000025,Calvin,Calvin,ND,Calvin-ND,North Dakota,38019,Cavalier,48.8518,-98.9381,19,19,33,polygon,TRUE,America/Chicago,58323
Emerado-ND,1840000099,Emerado,Emerado,ND,Emerado-ND,North Dakota,38035,Grand Forks,47.9243,-97.3653,428,428,540,polygon,TRUE,America/Chicago,58228
Cando-ND,1840000018,Cando,Cando,ND,Cando-ND,North Dakota,38095,Towner,48.4873,-99.203,1116,1116,681,polygon,TRUE,America/Chicago,58324
Galesburg-ND,1840000133,Galesburg,Galesburg,ND,Galesburg-ND,North Dakota,38097,Traill,47.2702,-97.4087,106,106,237,polygon,TRUE,America/Chicago,58035
Wellsburg-ND,1840033104,Wellsburg,Wellsburg,ND,Wellsburg-ND,North Dakota,38103,Wells,47.8317,-99.7615,,,16.6,point,FALSE,America/Chicago,58341
Knox-ND,1840000089,Knox,Knox,ND,Knox-ND,North Dakota,38005,Benson,48.344,-99.6912,25,25,19,polygon,TRUE,America/Chicago,58343
Dickey-ND,1840000215,Dickey,Dickey,ND,Dickey-ND,North Dakota,38045,LaMoure,46.5367,-98.4682,41,41,72,polygon,TRUE,America/Chicago,58431
Gascoyne-ND,1840000258,Gascoyne,Gascoyne,ND,Gascoyne-ND,North Dakota,38011,Bowman,46.119,-103.0788,16,16,6,polygon,TRUE,America/Denver,58653
