City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Holmesville-NE,1840024304,Holmesville,Holmesville,NE,Holmesville-NE,Nebraska,31067,Gage,40.2009,-96.6584,,,27.8,polygon,FALSE,America/Chicago,68310
Bladen-NE,1840012261,Bladen,Bladen,NE,Bladen-NE,Nebraska,31181,Webster,40.3232,-98.5961,227,227,244,polygon,TRUE,America/Chicago,68928
Saint Helena-NE,1840011072,Saint Helena,Saint Helena,NE,Saint Helena-NE,Nebraska,31027,Cedar,42.8106,-97.2488,94,94,81,polygon,TRUE,America/Chicago,68774
Shelby-NE,1840011655,Shelby,Shelby,NE,Shelby-NE,Nebraska,31143,Polk,41.1939,-97.4259,688,688,472,polygon,TRUE,America/Chicago,68662
Brewster-NE,1840010150,Brewster,Brewster,NE,Brewster-NE,Nebraska,31009,Blaine,41.9384,-99.8651,17,17,74,polygon,TRUE,America/Chicago,68821
Bushnell-NE,1840010284,Bushnell,Bushnell,NE,Bushnell-NE,Nebraska,31105,Kimball,41.2328,-103.8911,121,121,204,polygon,TRUE,America/Denver,69145 69128
Edison-NE,1840012277,Edison,Edison,NE,Edison-NE,Nebraska,31065,Furnas,40.2776,-99.7762,129,129,187,polygon,TRUE,America/Chicago,68936
Chadron-NE,1840006893,Chadron,Chadron,NE,Chadron-NE,Nebraska,31045,Dawes,42.826,-103.0024,5396,5725,569,polygon,TRUE,America/Denver,69337
Sholes-NE,1840011216,Sholes,Sholes,NE,Sholes-NE,Nebraska,31179,Wayne,42.3348,-97.2946,20,20,56,polygon,TRUE,America/Chicago,68771
Wayne-NE,1840010121,Wayne,Wayne,NE,Wayne-NE,Nebraska,31179,Wayne,42.2371,-97.0158,5472,5573,956,polygon,TRUE,America/Chicago,68787
Bayard-NE,1840007044,Bayard,Bayard,NE,Bayard-NE,Nebraska,31123,Morrill,41.7572,-103.323,1134,1134,629,polygon,TRUE,America/Denver,69334
Dodge-NE,1840011458,Dodge,Dodge,NE,Dodge-NE,Nebraska,31053,Dodge,41.7218,-96.8804,598,598,584,polygon,TRUE,America/Chicago,68633
Brainard-NE,1840011622,Brainard,Brainard,NE,Brainard-NE,Nebraska,31023,Butler,41.1819,-97.0021,320,320,373,polygon,TRUE,America/Chicago,68626
Oakdale-NE,1840011190,Oakdale,Oakdale,NE,Oakdale-NE,Nebraska,31003,Antelope,42.0701,-97.9671,294,294,218,polygon,TRUE,America/Chicago,68761
Ralston-NE,1840009316,Ralston,Ralston,NE,Ralston-NE,Nebraska,31055,Douglas,41.2005,-96.0354,7329,7329,1718,polygon,TRUE,America/Chicago,68127
Fremont-NE,1840003346,Fremont,Fremont,NE,Fremont-NE,Nebraska,31053,Dodge,41.4418,-96.4887,27598,26519,1069,polygon,TRUE,America/Chicago,68025 68026
Staplehurst-NE,1840011842,Staplehurst,Staplehurst,NE,Staplehurst-NE,Nebraska,31159,Seward,40.9746,-97.1732,242,242,748,polygon,TRUE,America/Chicago,68439
Western-NE,1840012059,Western,Western,NE,Western-NE,Nebraska,31151,Saline,40.3931,-97.1984,237,237,188,polygon,TRUE,America/Chicago,68464
Burr-NE,1840010374,Burr,Burr,NE,Burr-NE,Nebraska,31131,Otoe,40.536,-96.2997,58,58,261,polygon,TRUE,America/Chicago,68324
Shelton-NE,1840011835,Shelton,Shelton,NE,Shelton-NE,Nebraska,31019,Buffalo,40.7788,-98.7306,1067,1067,562,polygon,TRUE,America/Chicago,68876
Atlanta-NE,1840012075,Atlanta,Atlanta,NE,Atlanta-NE,Nebraska,31137,Phelps,40.3685,-99.4731,131,131,218,polygon,TRUE,America/Chicago,68923
McCool Junction-NE,1840011823,McCool Junction,McCool Junction,NE,McCool Junction-NE,Nebraska,31185,York,40.744,-97.6004,410,410,338,polygon,TRUE,America/Chicago,68401
Uehling-NE,1840011462,Uehling,Uehling,NE,Uehling-NE,Nebraska,31053,Dodge,41.7346,-96.5057,228,228,393,polygon,TRUE,America/Chicago,68063
North Bend-NE,1840000566,North Bend,North Bend,NE,North Bend-NE,Nebraska,31053,Dodge,41.4648,-96.783,1238,1238,606,polygon,TRUE,America/Chicago,68649
Angus-NE,1840033131,Angus,Angus,NE,Angus-NE,Nebraska,31129,Nuckolls,40.2822,-97.9795,,,3.3,point,FALSE,America/Chicago,68961
Howells-NE,1840011447,Howells,Howells,NE,Howells-NE,Nebraska,31037,Colfax,41.7241,-97.0043,547,547,366,polygon,TRUE,America/Chicago,68641
Vesta-NE,1840033179,Vesta,Vesta,NE,Vesta-NE,Nebraska,31097,Johnson,40.3564,-96.3375,,,20.7,point,FALSE,America/Chicago,68450
Henry-NE,1840011392,Henry,Henry,NE,Henry-NE,Nebraska,31157,Scotts Bluff,41.9979,-104.0461,105,105,138,polygon,TRUE,America/Denver,69358
Whiteclay-NE,1840033182,Whiteclay,Whiteclay,NE,Whiteclay-NE,Nebraska,31161,Sheridan,42.9969,-102.555,,,17.2,polygon,FALSE,America/Denver,69365
Ceresco-NE,1840010274,Ceresco,Ceresco,NE,Ceresco-NE,Nebraska,31155,Saunders,41.058,-96.6459,889,889,811,polygon,TRUE,America/Chicago,68017
Kearney-NE,1840000957,Kearney,Kearney,NE,Kearney-NE,Nebraska,31019,Buffalo,40.7008,-99.0839,34065,33520,983,polygon,TRUE,America/Chicago,68847 68845 68849 68848
Hildreth-NE,1840012265,Hildreth,Hildreth,NE,Hildreth-NE,Nebraska,31061,Franklin,40.3378,-99.0458,344,344,232,polygon,TRUE,America/Chicago,68947
Exeter-NE,1840012049,Exeter,Exeter,NE,Exeter-NE,Nebraska,31059,Fillmore,40.6445,-97.4492,544,544,331,polygon,TRUE,America/Chicago,68351
Kimball-NE,1840008252,Kimball,Kimball,NE,Kimball-NE,Nebraska,31105,Kimball,41.2336,-103.6512,2400,2400,447,polygon,TRUE,America/Denver,69145
Ulysses-NE,1840011629,Ulysses,Ulysses,NE,Ulysses-NE,Nebraska,31023,Butler,41.0722,-97.2029,164,164,314,polygon,TRUE,America/Chicago,68669
Diller-NE,1840012287,Diller,Diller,NE,Diller-NE,Nebraska,31095,Jefferson,40.1089,-96.9374,256,256,236,polygon,TRUE,America/Chicago,68342
Plattsmouth-NE,1840009355,Plattsmouth,Plattsmouth,NE,Plattsmouth-NE,Nebraska,31025,Cass,41.0053,-95.8943,6573,6479,805,polygon,TRUE,America/Chicago,68048
Paul-NE,1840033166,Paul,Paul,NE,Paul-NE,Nebraska,31131,Otoe,40.5953,-95.8967,,,6.9,point,FALSE,America/Chicago,68410
Walthill-NE,1840011222,Walthill,Walthill,NE,Walthill-NE,Nebraska,31173,Thurston,42.1489,-96.4929,784,784,707,polygon,TRUE,America/Chicago,68067
Grand Island-NE,1840000956,Grand Island,Grand Island,NE,Grand Island-NE,Nebraska,31079,Hall,40.9214,-98.3585,53556,51517,670,polygon,TRUE,America/Chicago,68803 68801 68802
Waco-NE,1840011825,Waco,Waco,NE,Waco-NE,Nebraska,31185,York,40.8969,-97.4615,243,243,410,polygon,TRUE,America/Chicago,68460
Clatonia-NE,1840010435,Clatonia,Clatonia,NE,Clatonia-NE,Nebraska,31067,Gage,40.4652,-96.8512,226,226,314,polygon,TRUE,America/Chicago,68328
Lushton-NE,1840011822,Lushton,Lushton,NE,Lushton-NE,Nebraska,31185,York,40.724,-97.7237,30,30,81,polygon,TRUE,America/Chicago,68371
Morse Bluff-NE,1840011637,Morse Bluff,Morse Bluff,NE,Morse Bluff-NE,Nebraska,31155,Saunders,41.431,-96.7665,137,137,298,polygon,TRUE,America/Chicago,68648
Culbertson-NE,1840012295,Culbertson,Culbertson,NE,Culbertson-NE,Nebraska,31087,Hitchcock,40.2284,-100.8351,578,578,266,polygon,TRUE,America/Chicago,69024
Lamar-NE,1840012046,Lamar,Lamar,NE,Lamar-NE,Nebraska,31029,Chase,40.5725,-101.9793,23,23,112,polygon,TRUE,America/Denver,69023
Minatare-NE,1840008140,Minatare,Minatare,NE,Minatare-NE,Nebraska,31157,Scotts Bluff,41.8113,-103.5021,802,802,814,polygon,TRUE,America/Denver,69356
Champion-NE,1840024286,Champion,Champion,NE,Champion-NE,Nebraska,31029,Chase,40.4706,-101.7469,,,136.1,polygon,FALSE,America/Denver,69023
Callaway-NE,1840010209,Callaway,Callaway,NE,Callaway-NE,Nebraska,31041,Custer,41.2915,-99.9203,529,529,292,polygon,TRUE,America/Chicago,68825
Butte-NE,1840010078,Butte,Butte,NE,Butte-NE,Nebraska,31015,Boyd,42.9124,-98.848,308,308,284,polygon,TRUE,America/Chicago,68722
Ord-NE,1840009254,Ord,Ord,NE,Ord-NE,Nebraska,31175,Valley,41.5991,-98.9151,2078,2078,401,polygon,TRUE,America/Chicago,68862
Anselmo-NE,1840010210,Anselmo,Anselmo,NE,Anselmo-NE,Nebraska,31041,Custer,41.6186,-99.8645,143,143,207,polygon,TRUE,America/Chicago,68813
Huntley-NE,1840012299,Huntley,Huntley,NE,Huntley-NE,Nebraska,31083,Harlan,40.2105,-99.2905,44,44,48,polygon,TRUE,America/Chicago,68971
Weeping Water-NE,1840010325,Weeping Water,Weeping Water,NE,Weeping Water-NE,Nebraska,31025,Cass,40.8691,-96.14,1072,1072,427,polygon,TRUE,America/Chicago,68463
Arthur-NE,1840011463,Arthur,Arthur,NE,Arthur-NE,Nebraska,31005,Arthur,41.5718,-101.6923,119,119,148,polygon,TRUE,America/Denver,69121
Archer-NE,1840024167,Archer,Archer,NE,Archer-NE,Nebraska,31121,Merrick,41.1666,-98.1389,,,77.7,polygon,FALSE,America/Chicago,68816
Spencer-NE,1840011036,Spencer,Spencer,NE,Spencer-NE,Nebraska,31015,Boyd,42.875,-98.7002,426,426,315,polygon,TRUE,America/Chicago,68777
McGrew-NE,1840011394,McGrew,McGrew,NE,McGrew-NE,Nebraska,31157,Scotts Bluff,41.7478,-103.4178,104,104,111,polygon,TRUE,America/Denver,69334 69353
Lyons-NE,1840009193,Lyons,Lyons,NE,Lyons-NE,Nebraska,31021,Burt,41.936,-96.4717,814,814,460,polygon,TRUE,America/Chicago,68038
Haig-NE,1840033148,Haig,Haig,NE,Haig-NE,Nebraska,31157,Scotts Bluff,41.8794,-103.7591,,,15.5,point,FALSE,America/Denver,69357
Beatrice-NE,1840001352,Beatrice,Beatrice,NE,Beatrice-NE,Nebraska,31067,Gage,40.2738,-96.7455,12308,12362,519,polygon,TRUE,America/Chicago,68310
Hardy-NE,1840012269,Hardy,Hardy,NE,Hardy-NE,Nebraska,31129,Nuckolls,40.0113,-97.9238,152,152,96,polygon,TRUE,America/Chicago,68943
Eddyville-NE,1840011827,Eddyville,Eddyville,NE,Eddyville-NE,Nebraska,31047,Dawson,41.0122,-99.624,93,93,130,polygon,TRUE,America/Chicago,68834
Wood Lake-NE,1840011043,Wood Lake,Wood Lake,NE,Wood Lake-NE,Nebraska,31031,Cherry,42.6386,-100.2376,65,65,79,polygon,TRUE,America/Chicago,69221
Arabia-NE,1840033187,Arabia,Arabia,NE,Arabia-NE,Nebraska,31031,Cherry,42.7311,-100.3726,,,1.8,point,FALSE,America/Chicago,69221
Marquette-NE,1840011735,Marquette,Marquette,NE,Marquette-NE,Nebraska,31081,Hamilton,41.0063,-98.0098,232,232,432,polygon,TRUE,America/Chicago,68854
Pawnee City-NE,1840009454,Pawnee City,Pawnee City,NE,Pawnee City-NE,Nebraska,31133,Pawnee,40.1106,-96.1529,826,826,264,polygon,TRUE,America/Chicago,68420
Elsie-NE,1840011869,Elsie,Elsie,NE,Elsie-NE,Nebraska,31135,Perkins,40.8471,-101.389,104,104,232,polygon,TRUE,America/Denver,69134
Orleans-NE,1840012302,Orleans,Orleans,NE,Orleans-NE,Nebraska,31083,Harlan,40.1318,-99.455,385,385,247,polygon,TRUE,America/Chicago,68966
Deshler-NE,1840007251,Deshler,Deshler,NE,Deshler-NE,Nebraska,31169,Thayer,40.1396,-97.7233,744,744,565,polygon,TRUE,America/Chicago,68340
Waterbury-NE,1840011100,Waterbury,Waterbury,NE,Waterbury-NE,Nebraska,31051,Dixon,42.4571,-96.7353,70,70,195,polygon,TRUE,America/Chicago,68785
Lodgepole-NE,1840011641,Lodgepole,Lodgepole,NE,Lodgepole-NE,Nebraska,31033,Cheyenne,41.149,-102.6391,313,313,253,polygon,TRUE,America/Denver,69149
Inavale-NE,1840024325,Inavale,Inavale,NE,Inavale-NE,Nebraska,31181,Webster,40.0923,-98.6484,,,41,polygon,FALSE,America/Chicago,68952
Rising City-NE,1840011626,Rising City,Rising City,NE,Rising City-NE,Nebraska,31023,Butler,41.1983,-97.2974,358,358,381,polygon,TRUE,America/Chicago,68658
Saronville-NE,1840012062,Saronville,Saronville,NE,Saronville-NE,Nebraska,31035,Clay,40.603,-97.9387,45,45,116,polygon,TRUE,America/Chicago,68975
Louisville-NE,1840009354,Louisville,Louisville,NE,Louisville-NE,Nebraska,31025,Cass,40.9973,-96.1606,1224,1224,833,polygon,TRUE,America/Chicago,68037
McCook-NE,1840008369,McCook,McCook,NE,McCook-NE,Nebraska,31145,Red Willow,40.2046,-100.6214,7393,7526,538,polygon,TRUE,America/Chicago,69001
Elba-NE,1840011663,Elba,Elba,NE,Elba-NE,Nebraska,31093,Howard,41.2853,-98.5693,220,220,231,polygon,TRUE,America/Chicago,68835
Malmo-NE,1840011634,Malmo,Malmo,NE,Malmo-NE,Nebraska,31155,Saunders,41.2664,-96.7209,118,118,334,polygon,TRUE,America/Chicago,68040
Clarks-NE,1840010286,Clarks,Clarks,NE,Clarks-NE,Nebraska,31121,Merrick,41.2164,-97.8396,353,353,434,polygon,TRUE,America/Chicago,68628
Columbus-NE,1840003345,Columbus,Columbus,NE,Columbus-NE,Nebraska,31141,Platte,41.436,-97.3559,22846,22851,871,polygon,TRUE,America/Chicago,68601 68602
Danbury-NE,1840012294,Danbury,Danbury,NE,Danbury-NE,Nebraska,31145,Red Willow,40.0377,-100.4051,97,97,115,polygon,TRUE,America/Chicago,69026
South Bend-NE,1840011817,South Bend,South Bend,NE,South Bend-NE,Nebraska,31025,Cass,41.0021,-96.2474,99,99,285,polygon,TRUE,America/Chicago,68058
Tobias-NE,1840012058,Tobias,Tobias,NE,Tobias-NE,Nebraska,31151,Saline,40.4185,-97.3367,107,107,157,polygon,TRUE,America/Chicago,68453
Nenzel-NE,1840011042,Nenzel,Nenzel,NE,Nenzel-NE,Nebraska,31031,Cherry,42.9274,-101.1018,20,20,24,polygon,TRUE,America/Denver,69219
Doniphan-NE,1840011826,Doniphan,Doniphan,NE,Doniphan-NE,Nebraska,31079,Hall,40.7742,-98.3708,844,844,641,polygon,TRUE,America/Chicago,68832
Maywood-NE,1840012033,Maywood,Maywood,NE,Maywood-NE,Nebraska,31063,Frontier,40.6587,-100.6222,248,248,151,polygon,TRUE,America/Chicago,69038
