City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
New London-NH,1840026155,New London,New London,NH,New London-NH,New Hampshire,33013,Merrimack,43.4139,-71.9844,,,281.5,polygon,FALSE,America/New_York,3257
Peterborough-NH,1840002990,Peterborough,Peterborough,NH,Peterborough-NH,New Hampshire,33011,Hillsborough,42.879,-71.9593,,,380,polygon,FALSE,America/New_York,3458
Union-NH,1840026137,Union,Union,NH,Union-NH,New Hampshire,33003,Carroll,43.4913,-71.0233,,,135.3,polygon,FALSE,America/New_York,3887
Walpole-NH,1840026183,Walpole,Walpole,NH,Walpole-NH,New Hampshire,33005,Cheshire,43.0792,-72.4236,,,421.7,polygon,FALSE,America/New_York,3608
Enfield-NH,1840002194,Enfield,Enfield,NH,Enfield-NH,New Hampshire,33009,Grafton,43.6448,-72.148,,,608.6,polygon,FALSE,America/New_York,3748
Suncook-NH,1840002804,Suncook,Suncook,NH,Suncook-NH,New Hampshire,33013,Merrimack,43.1382,-71.4528,,,2002.5,polygon,FALSE,America/New_York,3275
Sanbornville-NH,1840026135,Sanbornville,Sanbornville,NH,Sanbornville-NH,New Hampshire,33003,Carroll,43.5524,-71.03,,,418,polygon,FALSE,America/New_York,3872
Blodgett Landing-NH,1840026152,Blodgett Landing,Blodgett Landing,NH,Blodgett Landing-NH,New Hampshire,33013,Merrimack,43.3757,-72.0392,,,264.6,polygon,FALSE,America/New_York,3255
Milford-NH,1840002989,Milford,Milford,NH,Milford-NH,New Hampshire,33011,Hillsborough,42.8327,-71.6612,,,1667.5,polygon,FALSE,America/New_York,3055
Marlborough-NH,1840003053,Marlborough,Marlborough,NH,Marlborough-NH,New Hampshire,33005,Cheshire,42.905,-72.2116,,,378.4,polygon,FALSE,America/New_York,3455
Contoocook-NH,1840002749,Contoocook,Contoocook,NH,Contoocook-NH,New Hampshire,33013,Merrimack,43.2232,-71.7129,,,483.6,polygon,FALSE,America/New_York,3229
Newfields-NH,1840026175,Newfields,Newfields,NH,Newfields-NH,New Hampshire,33015,Rockingham,43.0354,-70.9391,,,355.1,polygon,FALSE,America/New_York,3856
Pinardville-NH,1840002991,Pinardville,Pinardville,NH,Pinardville-NH,New Hampshire,33011,Hillsborough,43.001,-71.5171,,,1253.4,polygon,FALSE,America/New_York,03045 03102
North Sutton-NH,1840033206,North Sutton,North Sutton,NH,North Sutton-NH,New Hampshire,33013,Merrimack,43.364,-71.9395,,,80.8,point,FALSE,America/New_York,3260
Exeter-NH,1840002935,Exeter,Exeter,NH,Exeter-NH,New Hampshire,33015,Rockingham,42.9776,-70.9466,,,1382.2,polygon,FALSE,America/New_York,3833
South Hooksett-NH,1840002803,South Hooksett,South Hooksett,NH,South Hooksett-NH,New Hampshire,33013,Merrimack,43.0337,-71.4254,,,910.1,polygon,FALSE,America/New_York,3106
Center Sandwich-NH,1840026133,Center Sandwich,Center Sandwich,NH,Center Sandwich-NH,New Hampshire,33003,Carroll,43.8085,-71.4396,,,52.7,polygon,FALSE,America/New_York,3227
Hancock-NH,1840026180,Hancock,Hancock,NH,Hancock-NH,New Hampshire,33011,Hillsborough,42.974,-71.9807,,,213.7,polygon,FALSE,America/New_York,3449
Antrim-NH,1840002985,Antrim,Antrim,NH,Antrim-NH,New Hampshire,33011,Hillsborough,43.0379,-71.946,,,569.4,polygon,FALSE,America/New_York,3440
Newport-NH,1840002807,Newport,Newport,NH,Newport-NH,New Hampshire,33019,Sullivan,43.367,-72.1766,,,1169,polygon,FALSE,America/New_York,3773
West Stewartstown-NH,1840026108,West Stewartstown,West Stewartstown,NH,West Stewartstown-NH,New Hampshire,33007,Coos,44.9906,-71.5309,,,360.4,polygon,FALSE,America/New_York,3597
Keene-NH,1840003050,Keene,Keene,NH,Keene-NH,New Hampshire,33005,Cheshire,42.9496,-72.2997,22507,23406,242,polygon,TRUE,America/New_York,03431 03435
Georges Mills-NH,1840033203,Georges Mills,Georges Mills,NH,Georges Mills-NH,New Hampshire,33019,Sullivan,43.4317,-72.0673,,,224,point,FALSE,America/New_York,3751
Concord-NH,1840002747,Concord,Concord,NH,Concord-NH,New Hampshire,33013,Merrimack,43.2307,-71.5595,42821,42904,257,polygon,TRUE,America/New_York,03303 03301 03302 03305
Belmont-NH,1840026148,Belmont,Belmont,NH,Belmont-NH,New Hampshire,33001,Belknap,43.443,-71.478,,,517.2,polygon,FALSE,America/New_York,3220
Twin Mountain-NH,1840033208,Twin Mountain,Twin Mountain,NH,Twin Mountain-NH,New Hampshire,33007,Coos,44.2723,-71.539,,,20.7,point,FALSE,America/New_York,3595
Durham-NH,1840002811,Durham,Durham,NH,Durham-NH,New Hampshire,33017,Strafford,43.1413,-70.9228,,,6317.6,polygon,FALSE,America/New_York,3824
Manchester-NH,1840002983,Manchester,Manchester,NH,Manchester-NH,New Hampshire,33011,Hillsborough,42.9844,-71.4445,159744,110506,1288,polygon,TRUE,America/New_York,03109 03104 03101 03103 03102 03105 03108 03111
Glen-NH,1840033210,Glen,Glen,NH,Glen-NH,New Hampshire,33003,Carroll,44.1101,-71.1826,,,42.6,point,FALSE,America/New_York,3838
North Haverhill-NH,1840033204,North Haverhill,North Haverhill,NH,North Haverhill-NH,New Hampshire,33009,Grafton,44.0938,-72.0272,,,155.1,polygon,FALSE,America/New_York,3774
Rochester-NH,1840002809,Rochester,Rochester,NH,Rochester-NH,New Hampshire,33017,Strafford,43.2991,-70.9791,30345,30345,258,polygon,TRUE,America/New_York,03839 03868 03867 03866
Winchester-NH,1840003055,Winchester,Winchester,NH,Winchester-NH,New Hampshire,33005,Cheshire,42.777,-72.3851,,,384.5,polygon,FALSE,America/New_York,3470
Wilton-NH,1840002992,Wilton,Wilton,NH,Wilton-NH,New Hampshire,33011,Hillsborough,42.847,-71.7359,,,649.7,polygon,FALSE,America/New_York,03055 03086
Bennington-NH,1840026178,Bennington,Bennington,NH,Bennington-NH,New Hampshire,33011,Hillsborough,43.0035,-71.9207,,,342.7,polygon,FALSE,America/New_York,3442
Melvin Village-NH,1840026134,Melvin Village,Melvin Village,NH,Melvin Village-NH,New Hampshire,33003,Carroll,43.6894,-71.3033,,,169.7,polygon,FALSE,America/New_York,3850
Pittsfield-NH,1840002802,Pittsfield,Pittsfield,NH,Pittsfield-NH,New Hampshire,33013,Merrimack,43.3001,-71.3314,,,784.7,polygon,FALSE,America/New_York,3263
Wolfeboro-NH,1840002223,Wolfeboro,Wolfeboro,NH,Wolfeboro-NH,New Hampshire,33003,Carroll,43.5913,-71.2092,,,454.6,polygon,FALSE,America/New_York,3894
