City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Old Bridge-NJ,1840005416,Old Bridge,Old Bridge,NJ,Old Bridge-NJ,New Jersey,34023,Middlesex,40.3946,-74.3323,,,785.9,polygon,FALSE,America/New_York,8857
Somers Point-NJ,1840001537,Somers Point,Somers Point,NJ,Somers Point-NJ,New Jersey,34001,Atlantic,39.3167,-74.6069,10545,10545,1010,polygon,TRUE,America/New_York,8244
Franklinville-NJ,1840033280,Franklinville,Franklinville,NJ,Franklinville-NJ,New Jersey,34015,Gloucester,39.6182,-75.0757,,,322.8,point,FALSE,America/New_York,8322
Allamuchy-NJ,1840024215,Allamuchy,Allamuchy,NJ,Allamuchy-NJ,New Jersey,34041,Warren,40.9223,-74.8114,,,134.2,polygon,FALSE,America/New_York,07840 07820
Laurel Springs-NJ,1840001513,Laurel Springs,Laurel Springs,NJ,Laurel Springs-NJ,New Jersey,34007,Camden,39.8213,-75.0054,1884,1884,1587,polygon,TRUE,America/New_York,8021
West Belmar-NJ,1840005453,West Belmar,West Belmar,NJ,West Belmar-NJ,New Jersey,34025,Monmouth,40.1707,-74.0376,,,2403.7,polygon,FALSE,America/New_York,7719
Pomona-NJ,1840005596,Pomona,Pomona,NJ,Pomona-NJ,New Jersey,34001,Atlantic,39.4687,-74.5501,,,198.1,polygon,FALSE,America/New_York,08215 08205
Avon-by-the-Sea-NJ,1840003676,Avon-by-the-Sea,Avon-by-the-Sea,NJ,Avon-by-the-Sea-NJ,New Jersey,34025,Monmouth,40.1914,-74.0163,1792,1792,1622,polygon,TRUE,America/New_York,7717
Columbia-NJ,1840024222,Columbia,Columbia,NJ,Columbia-NJ,New Jersey,34041,Warren,40.926,-75.0945,,,360.9,polygon,FALSE,America/New_York,7832
Singac-NJ,1840033411,Singac,Singac,NJ,Singac-NJ,New Jersey,34031,Passaic,40.8848,-74.243,,,2523.9,polygon,FALSE,America/New_York,7424
Ralston-NJ,1840016754,Ralston,Ralston,NJ,Ralston-NJ,New Jersey,34027,Morris,40.7712,-74.6252,,,164.9,point,FALSE,America/New_York,7945
Bayonne-NJ,1840003595,Bayonne,Bayonne,NJ,Bayonne-NJ,New Jersey,34017,Hudson,40.6659,-74.1141,66238,66238,4399,polygon,TRUE,America/New_York,7002
Ridgefield Park-NJ,1840000898,Ridgefield Park,Ridgefield Park,NJ,Ridgefield Park-NJ,New Jersey,34003,Bergen,40.8544,-74.0199,13059,13059,2934,polygon,TRUE,America/New_York,7660
Towaco-NJ,1840033429,Towaco,Towaco,NJ,Towaco-NJ,New Jersey,34027,Morris,40.922,-74.3454,,,582.8,point,FALSE,America/New_York,7082
Sewell-NJ,1840033406,Sewell,Sewell,NJ,Sewell-NJ,New Jersey,34015,Gloucester,39.7665,-75.1443,,,968.2,point,FALSE,America/New_York,8080
Navesink-NJ,1840005443,Navesink,Navesink,NJ,Navesink-NJ,New Jersey,34025,Monmouth,40.402,-74.0387,,,208.5,polygon,FALSE,America/New_York,07716 07760
Lake Pine-NJ,1840033319,Lake Pine,Lake Pine,NJ,Lake Pine-NJ,New Jersey,34005,Burlington,39.8659,-74.8493,,,900,point,FALSE,America/New_York,8055
Cinnaminson-NJ,1840033463,Cinnaminson,Cinnaminson,NJ,Cinnaminson-NJ,New Jersey,34005,Burlington,39.9968,-74.9927,,,989,point,FALSE,America/New_York,8077
Budd Lake-NJ,1840005195,Budd Lake,Budd Lake,NJ,Budd Lake-NJ,New Jersey,34027,Morris,40.8733,-74.7375,,,1275.5,polygon,FALSE,America/New_York,07828 07836
Pottersville-NJ,1840033390,Pottersville,Pottersville,NJ,Pottersville-NJ,New Jersey,34035,Somerset,40.7137,-74.7218,,,382.3,point,FALSE,America/New_York,7979
Closter-NJ,1840003538,Closter,Closter,NJ,Closter-NJ,New Jersey,34003,Bergen,40.9733,-73.9606,8705,8705,1062,polygon,TRUE,America/New_York,7624
Robertsville-NJ,1840026509,Robertsville,Robertsville,NJ,Robertsville-NJ,New Jersey,34025,Monmouth,40.3395,-74.2939,,,594.1,polygon,FALSE,America/New_York,07751 07726 07746
Buttzville-NJ,1840024221,Buttzville,Buttzville,NJ,Buttzville-NJ,New Jersey,34041,Warren,40.8311,-75.0052,,,198.8,polygon,FALSE,America/New_York,07823 07863
Belmar-NJ,1840001355,Belmar,Belmar,NJ,Belmar-NJ,New Jersey,34025,Monmouth,40.18,-74.0257,5684,5684,2099,polygon,TRUE,America/New_York,07719 07715
Independence Corner-NJ,1840033306,Independence Corner,Independence Corner,NJ,Independence Corner-NJ,New Jersey,34037,Sussex,41.2101,-74.5513,,,379.5,point,FALSE,America/New_York,7461
Millhurst-NJ,1840033347,Millhurst,Millhurst,NJ,Millhurst-NJ,New Jersey,34025,Monmouth,40.2537,-74.3415,,,239.2,point,FALSE,America/New_York,7726
Island Heights-NJ,1840003758,Island Heights,Island Heights,NJ,Island Heights-NJ,New Jersey,34029,Ocean,39.9423,-74.1452,1647,1647,1040,polygon,TRUE,America/New_York,8732
Beach Haven West-NJ,1840005526,Beach Haven West,Beach Haven West,NJ,Beach Haven West-NJ,New Jersey,34029,Ocean,39.6702,-74.2337,,,1157.7,polygon,FALSE,America/New_York,8050
Wenonah-NJ,1840001525,Wenonah,Wenonah,NJ,Wenonah-NJ,New Jersey,34015,Gloucester,39.7913,-75.1484,2248,2248,892,polygon,TRUE,America/New_York,8090
Leisure Village-NJ,1840005534,Leisure Village,Leisure Village,NJ,Leisure Village-NJ,New Jersey,34029,Ocean,40.0444,-74.1852,,,2132.9,polygon,FALSE,America/New_York,8701
Cedar Glen Lakes-NJ,1840033477,Cedar Glen Lakes,Cedar Glen Lakes,NJ,Cedar Glen Lakes-NJ,New Jersey,34029,Ocean,39.9527,-74.3995,,,1131.2,polygon,FALSE,America/New_York,8759
