City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Navajo Dam-NM,1840024851,Navajo Dam,Navajo Dam,NM,Navajo Dam-NM,New Mexico,35045,San Juan,36.7981,-107.7045,,,0.2,polygon,FALSE,America/Denver,87419 87412
Gascon-NM,1840033616,Gascon,Gascon,NM,Gascon-NM,New Mexico,35033,Mora,35.8867,-105.4461,,,9.9,point,FALSE,America/Denver,87742
Taos Ski Valley-NM,1840033551,Taos Ski Valley,Taos Ski Valley,NM,Taos Ski Valley-NM,New Mexico,35055,Taos,36.5908,-105.4374,69,69,11,polygon,TRUE,America/Denver,87525
Crownpoint-NM,1840017763,Crownpoint,Crownpoint,NM,Crownpoint-NM,New Mexico,35031,McKinley,35.688,-108.1494,,,208.7,polygon,FALSE,America/Denver,87313
Playas-NM,1840025102,Playas,Playas,NM,Playas-NM,New Mexico,35023,Hidalgo,31.9126,-108.5364,,,4,polygon,FALSE,America/Denver,88009
Tse Bonito-NM,1840019092,Tse Bonito,Tse Bonito,NM,Tse Bonito-NM,New Mexico,35031,McKinley,35.6525,-109.0361,,,86.2,polygon,FALSE,America/Denver,86515
Pleasant Hill-NM,1840033525,Pleasant Hill,Pleasant Hill,NM,Pleasant Hill-NM,New Mexico,35009,Curry,34.5204,-103.0738,,,8.7,point,FALSE,America/Denver,88135
Bayard-NM,1840019408,Bayard,Bayard,NM,Bayard-NM,New Mexico,35017,Grant,32.7584,-108.1337,4136,2235,902,polygon,TRUE,America/Denver,88023
Pueblo of Sandia Village-NM,1840033713,Pueblo of Sandia Village,Pueblo of Sandia Village,NM,Pueblo of Sandia Village-NM,New Mexico,35043,Sandoval,35.2536,-106.5706,,,321.9,polygon,FALSE,America/Denver,87004
Alameda-NM,1840033603,Alameda,Alameda,NM,Alameda-NM,New Mexico,35001,Bernalillo,35.1867,-106.6181,,,573.9,point,FALSE,America/Denver,87114
Virden-NM,1840023041,Virden,Virden,NM,Virden-NM,New Mexico,35023,Hidalgo,32.6889,-109.0016,133,133,229,polygon,TRUE,America/Denver,88045
Hondo-NM,1840033684,Hondo,Hondo,NM,Hondo-NM,New Mexico,35027,Lincoln,33.3876,-105.2708,,,24.2,point,FALSE,America/Denver,88336
Timberon-NM,1840019402,Timberon,Timberon,NM,Timberon-NM,New Mexico,35035,Otero,32.6359,-105.6924,,,19.7,polygon,FALSE,America/Denver,88350
Moquino-NM,1840024965,Moquino,Moquino,NM,Moquino-NM,New Mexico,35006,Cibola,35.1801,-107.3701,,,7.2,polygon,FALSE,America/Denver,87014
Encinal-NM,1840017870,Encinal,Encinal,NM,Encinal-NM,New Mexico,35006,Cibola,35.1308,-107.4368,,,94.6,polygon,FALSE,America/Denver,87038 87040
Seboyeta-NM,1840024969,Seboyeta,Seboyeta,NM,Seboyeta-NM,New Mexico,35006,Cibola,35.2241,-107.4049,,,58.8,polygon,FALSE,America/Denver,87014
La Cueva-NM,1840016908,La Cueva,La Cueva,NM,La Cueva-NM,New Mexico,35043,Sandoval,35.8695,-106.6485,,,137.8,polygon,FALSE,America/Denver,87025
Chimayo-NM,1840017667,Chimayo,Chimayo,NM,Chimayo-NM,New Mexico,35039,Rio Arriba,35.9976,-105.9363,,,382.1,polygon,FALSE,America/Denver,87522
Jacona-NM,1840024914,Jacona,Jacona,NM,Jacona-NM,New Mexico,35049,Santa Fe,35.8887,-106.0386,,,238.4,polygon,FALSE,America/Denver,87506
Tajique-NM,1840019190,Tajique,Tajique,NM,Tajique-NM,New Mexico,35057,Torrance,34.76,-106.301,,,115.8,polygon,FALSE,America/Denver,87061 87016
Sabinal-NM,1840033689,Sabinal,Sabinal,NM,Sabinal-NM,New Mexico,35053,Socorro,34.4937,-106.8075,,,18.4,point,FALSE,America/Denver,87006
Questa-NM,1840022639,Questa,Questa,NM,Questa-NM,New Mexico,35055,Taos,36.7114,-105.5936,1754,1754,132,polygon,TRUE,America/Denver,87556
Organ-NM,1840025086,Organ,Organ,NM,Organ-NM,New Mexico,35013,Doña Ana,32.4251,-106.6024,,,141.9,polygon,FALSE,America/Denver,88052
White Signal-NM,1840025079,White Signal,White Signal,NM,White Signal-NM,New Mexico,35017,Grant,32.5724,-108.3512,,,7.2,polygon,FALSE,America/Denver,88061
El Vado-NM,1840033682,El Vado,El Vado,NM,El Vado-NM,New Mexico,35039,Rio Arriba,36.5939,-106.7286,,,15.7,point,FALSE,America/Denver,87575
Los Trujillos-NM,1840033533,Los Trujillos,Los Trujillos,NM,Los Trujillos-NM,New Mexico,35061,Valencia,34.6467,-106.7609,,,310.3,point,FALSE,America/Denver,87002
La Huerta-NM,1840018082,La Huerta,La Huerta,NM,La Huerta-NM,New Mexico,35015,Eddy,32.449,-104.2231,,,311.2,polygon,FALSE,America/Denver,88220
Tome-NM,1840026966,Tome,Tome,NM,Tome-NM,New Mexico,35061,Valencia,34.7397,-106.723,,,134.4,polygon,FALSE,America/Denver,87031 87060
Moriarty-NM,1840020469,Moriarty,Moriarty,NM,Moriarty-NM,New Mexico,35057,Torrance,35.0064,-106.0482,1786,1786,117,polygon,TRUE,America/Denver,87035
Jemez Springs-NM,1840022683,Jemez Springs,Jemez Springs,NM,Jemez Springs-NM,New Mexico,35043,Sandoval,35.7735,-106.6907,255,255,20,polygon,TRUE,America/Denver,87025
Ojo Amarillo-NM,1840033722,Ojo Amarillo,Ojo Amarillo,NM,Ojo Amarillo-NM,New Mexico,35045,San Juan,36.6942,-108.3704,,,221.1,polygon,FALSE,America/Denver,87416
Canon-NM,1840024903,Cañon,Canon,NM,Canon-NM,New Mexico,35043,Sandoval,35.6718,-106.7527,,,49.3,polygon,FALSE,America/Denver,87024
Correo-NM,1840033681,Correo,Correo,NM,Correo-NM,New Mexico,35061,Valencia,34.955,-107.1848,,,5.9,point,FALSE,America/Denver,87026
Sombrillo-NM,1840019100,Sombrillo,Sombrillo,NM,Sombrillo-NM,New Mexico,35049,Santa Fe,35.9802,-106.0353,,,182.6,polygon,FALSE,America/Denver,87532
Vadito-NM,1840019013,Vadito,Vadito,NM,Vadito-NM,New Mexico,35055,Taos,36.1929,-105.6754,,,129,polygon,FALSE,America/Denver,87579
Santa Ana Pueblo-NM,1840019068,Santa Ana Pueblo,Santa Ana Pueblo,NM,Santa Ana Pueblo-NM,New Mexico,35043,Sandoval,35.3495,-106.5202,,,2.9,polygon,FALSE,America/Denver,87001 87004 87043
San Fidel-NM,1840024966,San Fidel,San Fidel,NM,San Fidel-NM,New Mexico,35006,Cibola,35.1025,-107.5975,,,52.4,polygon,FALSE,America/Denver,87049
Ojo Feliz-NM,1840033571,Ojo Feliz,Ojo Feliz,NM,Ojo Feliz-NM,New Mexico,35033,Mora,36.0578,-105.1183,,,3.7,point,FALSE,America/Denver,87735
McIntosh-NM,1840026965,McIntosh,McIntosh,NM,McIntosh-NM,New Mexico,35057,Torrance,34.8804,-106.0577,,,19.6,polygon,FALSE,America/Denver,87032 87035 87016
Alcalde-NM,1840017666,Alcalde,Alcalde,NM,Alcalde-NM,New Mexico,35039,Rio Arriba,36.0854,-106.0575,,,175.8,polygon,FALSE,America/Denver,87511
Sunland Park-NM,1840033664,Sunland Park,Sunland Park,NM,Sunland Park-NM,New Mexico,35013,Doña Ana,31.8187,-106.5932,16544,16544,506,polygon,TRUE,America/Denver,88063 88008
Newcomb-NM,1840018991,Newcomb,Newcomb,NM,Newcomb-NM,New Mexico,35045,San Juan,36.2834,-108.7081,,,15.1,polygon,FALSE,America/Denver,87455
San Rafael-NM,1840024968,San Rafael,San Rafael,NM,San Rafael-NM,New Mexico,35006,Cibola,35.0878,-107.8895,,,303.2,polygon,FALSE,America/Denver,87051
San Mateo-NM,1840024967,San Mateo,San Mateo,NM,San Mateo-NM,New Mexico,35006,Cibola,35.3321,-107.6469,,,38.3,polygon,FALSE,America/Denver,87020
