City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Springville-NY,1840004391,Springville,Springville,NY,Springville-NY,New York,36029,Erie,42.5084,-78.6696,3917,4318,453,polygon,TRUE,America/New_York,14141
Franklinville-NY,1840004589,Franklinville,Franklinville,NY,Franklinville-NY,New York,36009,Cattaraugus,42.3347,-78.4548,1672,1672,586,polygon,TRUE,America/New_York,14737
Brewster-NY,1840004893,Brewster,Brewster,NY,Brewster-NY,New York,36079,Putnam,41.3972,-73.6157,2346,2346,1939,polygon,TRUE,America/New_York,10509
East Middletown-NY,1840033875,East Middletown,East Middletown,NY,East Middletown-NY,New York,36071,Orange,41.4443,-74.3999,,,860.4,point,FALSE,America/New_York,10940
Bay Shore-NY,1840005017,Bay Shore,Bay Shore,NY,Bay Shore-NY,New York,36103,Suffolk,40.7317,-73.2505,,,2313.4,polygon,FALSE,America/New_York,11706
Jefferson Heights-NY,1840004644,Jefferson Heights,Jefferson Heights,NY,Jefferson Heights-NY,New York,36039,Greene,42.2361,-73.8822,,,308.9,polygon,FALSE,America/New_York,12414
Kensington-NY,1840005298,Kensington,Kensington,NY,Kensington-NY,New York,36059,Nassau,40.7931,-73.7221,1175,1175,1784,polygon,TRUE,America/New_York,11021
Hortonville-NY,1840024108,Hortonville,Hortonville,NY,Hortonville-NY,New York,36105,Sullivan,41.7661,-75.022,,,254.6,polygon,FALSE,America/New_York,12723 12745
Dundee-NY,1840004506,Dundee,Dundee,NY,Dundee-NY,New York,36123,Yates,42.5237,-76.9775,1654,1654,568,polygon,TRUE,America/New_York,14837
Bolivar-NY,1840004613,Bolivar,Bolivar,NY,Bolivar-NY,New York,36003,Allegany,42.0685,-78.1662,998,998,483,polygon,TRUE,America/New_York,14715
Wayland-NY,1840004555,Wayland,Wayland,NY,Wayland-NY,New York,36101,Steuben,42.5659,-77.5925,1801,1801,615,polygon,TRUE,America/New_York,14572
Fishers Landing-NY,1840023980,Fishers Landing,Fishers Landing,NY,Fishers Landing-NY,New York,36045,Jefferson,44.2741,-76.007,,,80.7,polygon,FALSE,America/New_York,13641
East Greenbush-NY,1840004432,East Greenbush,East Greenbush,NY,East Greenbush-NY,New York,36083,Rensselaer,42.5934,-73.7025,,,1043,polygon,FALSE,America/New_York,12061
West Nyack-NY,1840004973,West Nyack,West Nyack,NY,West Nyack-NY,New York,36087,Rockland,41.0907,-73.9714,,,1144.8,polygon,FALSE,America/New_York,10994
Shawnee-NY,1840033958,Shawnee,Shawnee,NY,Shawnee-NY,New York,36063,Niagara,43.1281,-78.8378,,,140.6,point,FALSE,America/New_York,14132
