City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Castalia-OH,1840010235,Castalia,Castalia,OH,Castalia-OH,Ohio,39043,Erie,41.4011,-82.808,827,827,305,polygon,TRUE,America/New_York,44824
Continental-OH,1840011752,Continental,Continental,OH,Continental-OH,Ohio,39137,Putnam,41.0997,-84.2693,1121,1121,486,polygon,TRUE,America/New_York,45831
McClure-OH,1840011609,McClure,McClure,OH,McClure-OH,Ohio,39069,Henry,41.371,-83.9415,696,696,539,polygon,TRUE,America/New_York,43534
Columbia Hills Corners-OH,1840034171,Columbia Hills Corners,Columbia Hills Corners,OH,Columbia Hills Corners-OH,Ohio,39093,Lorain,41.3128,-81.9157,,,137.1,point,FALSE,America/New_York,44028
Bradner-OH,1840011548,Bradner,Bradner,OH,Bradner-OH,Ohio,39173,Wood,41.3236,-83.4363,1018,1018,637,polygon,TRUE,America/New_York,43406
Toledo-OH,1840000572,Toledo,Toledo,OH,Toledo-OH,Ohio,39095,Lucas,41.6639,-83.582,492237,278508,1332,polygon,TRUE,America/New_York,43615 43611 43613 43612 43614 43608 43606 43607 43610 43604 43605 43609 43620 43623 43601 43603 43635 43652 43654 43656 43657 43659 43660 43661 43666 43667 43681 43682 43697 43699
Wheelersburg-OH,1840007422,Wheelersburg,Wheelersburg,OH,Wheelersburg-OH,Ohio,39145,Scioto,38.7383,-82.842,,,790.4,polygon,FALSE,America/New_York,45662 45694
South Zanesville-OH,1840012397,South Zanesville,South Zanesville,OH,South Zanesville-OH,Ohio,39119,Muskingum,39.9037,-82.018,1974,1974,919,polygon,TRUE,America/New_York,43701
University Heights-OH,1840003416,University Heights,University Heights,OH,University Heights-OH,Ohio,39035,Cuyahoga,41.4948,-81.5348,13126,13126,2784,polygon,TRUE,America/New_York,44118
Hooven-OH,1840024516,Hooven,Hooven,OH,Hooven-OH,Ohio,39061,Hamilton,39.1864,-84.763,,,437.2,polygon,FALSE,America/New_York,45002 45033
Sheffield Lake-OH,1840000647,Sheffield Lake,Sheffield Lake,OH,Sheffield Lake-OH,Ohio,39093,Lorain,41.4884,-82.0978,9004,9004,1403,polygon,TRUE,America/New_York,44054
West Mansfield-OH,1840012159,West Mansfield,West Mansfield,OH,West Mansfield-OH,Ohio,39091,Logan,40.4007,-83.5444,674,674,308,polygon,TRUE,America/New_York,43358
Curtice-OH,1840026265,Curtice,Curtice,OH,Curtice-OH,Ohio,39095,Lucas,41.6159,-83.3743,,,366.5,polygon,FALSE,America/New_York,43412
Stryker-OH,1840011524,Stryker,Stryker,OH,Stryker-OH,Ohio,39171,Williams,41.5024,-84.418,1308,1308,582,polygon,TRUE,America/New_York,43557
Goshen-OH,1840034113,Goshen,Goshen,OH,Goshen-OH,Ohio,39025,Clermont,39.2325,-84.1532,,,345.6,polygon,FALSE,America/New_York,45122
Wren-OH,1840011906,Wren,Wren,OH,Wren-OH,Ohio,39161,Van Wert,40.8006,-84.7746,191,191,238,polygon,TRUE,America/New_York,45899
