City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Redbird Smith-OK,1840034647,Redbird Smith,Redbird Smith,OK,Redbird Smith-OK,Oklahoma,40135,Sequoyah,35.5615,-95.0298,,,7.5,polygon,FALSE,America/Chicago,74435
McAlester-OK,1840020457,McAlester,McAlester,OK,McAlester-OK,Oklahoma,40121,Pittsburg,34.9262,-95.7698,19312,18206,433,polygon,TRUE,America/Chicago,74501 74502
Hendrix-OK,1840021928,Hendrix,Hendrix,OK,Hendrix-OK,Oklahoma,40013,Bryan,33.7753,-96.4071,83,83,266,polygon,TRUE,America/Chicago,74741
Velma-OK,1840022830,Velma,Velma,OK,Velma-OK,Oklahoma,40137,Stephens,34.4547,-97.6617,605,605,166,polygon,TRUE,America/Chicago,73491
Pryor-OK,1840034620,Pryor,Pryor,OK,Pryor-OK,Oklahoma,40097,Mayes,36.3084,-95.3169,,,864.1,point,TRUE,America/Chicago,74361
Oil City-OK,1840034571,Oil City,Oil City,OK,Oil City-OK,Oklahoma,40137,Stephens,34.5231,-98.0731,,,40.6,point,FALSE,America/Chicago,73533
Fort Gibson-OK,1840021721,Fort Gibson,Fort Gibson,OK,Fort Gibson-OK,Oklahoma,40101,Muskogee,35.7767,-95.26,4061,4061,115,polygon,TRUE,America/Chicago,74434
Barnsdall-OK,1840018975,Barnsdall,Barnsdall,OK,Barnsdall-OK,Oklahoma,40113,Osage,36.5607,-96.1627,1203,1203,794,polygon,TRUE,America/Chicago,74002
Big Cabin-OK,1840020341,Big Cabin,Big Cabin,OK,Big Cabin-OK,Oklahoma,40035,Craig,36.5402,-95.2221,258,258,45,polygon,TRUE,America/Chicago,74332
Wayne-OK,1840022786,Wayne,Wayne,OK,Wayne-OK,Oklahoma,40087,McClain,34.9171,-97.3166,728,728,814,polygon,TRUE,America/Chicago,73095
Shawnee-OK,1840021785,Shawnee,Shawnee,OK,Shawnee-OK,Oklahoma,40125,Pottawatomie,35.3524,-96.9647,36100,31465,275,polygon,TRUE,America/Chicago,74804 74801 74802
Ringold-OK,1840034485,Ringold,Ringold,OK,Ringold-OK,Oklahoma,40089,McCurtain,34.2151,-95.1252,,,5.2,point,FALSE,America/Chicago,74754
Boley-OK,1840021753,Boley,Boley,OK,Boley-OK,Oklahoma,40107,Okfuskee,35.4903,-96.4793,1183,1183,277,polygon,TRUE,America/Chicago,74829
Hydro-OK,1840021769,Hydro,Hydro,OK,Hydro-OK,Oklahoma,40011,Blaine,35.5483,-98.5791,961,961,551,polygon,TRUE,America/Chicago,73048
Dodge-OK,1840034536,Dodge,Dodge,OK,Dodge-OK,Oklahoma,40041,Delaware,36.5789,-94.6385,,,11.7,polygon,FALSE,America/Chicago,74344
Skiatook-OK,1840022597,Skiatook,Skiatook,OK,Skiatook-OK,Oklahoma,40113,Osage,36.3693,-95.9815,7236,7908,234,polygon,TRUE,America/Chicago,74070
Wagoner-OK,1840021696,Wagoner,Wagoner,OK,Wagoner-OK,Oklahoma,40145,Wagoner,35.9641,-95.3791,8547,8846,336,polygon,TRUE,America/Chicago,74467
Ralston-OK,1840021656,Ralston,Ralston,OK,Ralston-OK,Oklahoma,40117,Pawnee,36.5036,-96.7374,329,329,279,polygon,TRUE,America/Chicago,74650
Fairfax-OK,1840021592,Fairfax,Fairfax,OK,Fairfax-OK,Oklahoma,40113,Osage,36.5698,-96.708,1341,1341,677,polygon,TRUE,America/Chicago,74637
Bessie-OK,1840020440,Bessie,Bessie,OK,Bessie-OK,Oklahoma,40149,Washita,35.3855,-98.9894,179,179,136,polygon,TRUE,America/Chicago,73622
Jennings-OK,1840021658,Jennings,Jennings,OK,Jennings-OK,Oklahoma,40117,Pawnee,36.1824,-96.5691,359,359,252,polygon,TRUE,America/Chicago,74038
Chouteau-OK,1840022667,Chouteau,Chouteau,OK,Chouteau-OK,Oklahoma,40097,Mayes,36.1882,-95.3363,2092,2092,234,polygon,TRUE,America/Chicago,74337
Peckham-OK,1840034477,Peckham,Peckham,OK,Peckham-OK,Oklahoma,40071,Kay,36.887,-97.1759,,,30.6,point,FALSE,America/Chicago,74647
Rush Springs-OK,1840021806,Rush Springs,Rush Springs,OK,Rush Springs-OK,Oklahoma,40051,Grady,34.7792,-97.9572,1266,1266,427,polygon,TRUE,America/Chicago,73082
South Coffeyville-OK,1840022594,South Coffeyville,South Coffeyville,OK,South Coffeyville-OK,Oklahoma,40105,Nowata,36.9934,-95.6219,761,761,483,polygon,TRUE,America/Chicago,74072
Apache-OK,1840021763,Apache,Apache,OK,Apache-OK,Oklahoma,40015,Caddo,34.8938,-98.3581,1441,1441,276,polygon,TRUE,America/Chicago,73006
Sulphur-OK,1840021891,Sulphur,Sulphur,OK,Sulphur-OK,Oklahoma,40099,Murray,34.4977,-96.9899,4879,5081,286,polygon,TRUE,America/Chicago,73086
Dougherty-OK,1840021892,Dougherty,Dougherty,OK,Dougherty-OK,Oklahoma,40099,Murray,34.4005,-97.0514,220,220,226,polygon,TRUE,America/Chicago,73032
IXL-OK,1840021754,IXL,IXL,OK,IXL-OK,Oklahoma,40107,Okfuskee,35.5227,-96.3881,51,51,5,polygon,TRUE,America/Chicago,74833
Canadian-OK,1840022788,Canadian,Canadian,OK,Canadian-OK,Oklahoma,40121,Pittsburg,35.1742,-95.6496,204,204,107,polygon,TRUE,America/Chicago,74425
Centralia-OK,1840034426,Centralia,Centralia,OK,Centralia-OK,Oklahoma,40035,Craig,36.7967,-95.3533,,,17.7,point,FALSE,America/Chicago,74301
Calvin-OK,1840022790,Calvin,Calvin,OK,Calvin-OK,Oklahoma,40063,Hughes,34.9673,-96.253,281,281,223,polygon,TRUE,America/Chicago,74531
Texola-OK,1840022757,Texola,Texola,OK,Texola-OK,Oklahoma,40009,Beckham,35.2222,-99.9929,35,35,21,polygon,TRUE,America/Chicago,73645 73668
Manitou-OK,1840022835,Manitou,Manitou,OK,Manitou-OK,Oklahoma,40141,Tillman,34.5071,-98.9809,170,170,198,polygon,TRUE,America/Chicago,73555
Bison-OK,1840026927,Bison,Bison,OK,Bison-OK,Oklahoma,40047,Garfield,36.196,-97.8979,,,31.7,polygon,FALSE,America/Chicago,73720
Keyes-OK,1840021624,Keyes,Keyes,OK,Keyes-OK,Oklahoma,40025,Cimarron,36.8077,-102.2518,281,281,290,polygon,TRUE,America/Chicago,73947
Medford-OK,1840020342,Medford,Medford,OK,Medford-OK,Oklahoma,40053,Grant,36.8036,-97.7379,974,974,349,polygon,TRUE,America/Chicago,73759
Cleo Springs-OK,1840022673,Cleo Springs,Cleo Springs,OK,Cleo Springs-OK,Oklahoma,40093,Major,36.4045,-98.4401,350,350,241,polygon,TRUE,America/Chicago,73729
Thomas-OK,1840021724,Thomas,Thomas,OK,Thomas-OK,Oklahoma,40039,Custer,35.7476,-98.7494,1227,1227,400,polygon,TRUE,America/Chicago,73669
Kinta-OK,1840021792,Kinta,Kinta,OK,Kinta-OK,Oklahoma,40061,Haskell,35.1192,-95.2379,294,294,179,polygon,TRUE,America/Chicago,74552
Wilburton-OK,1840021832,Wilburton,Wilburton,OK,Wilburton-OK,Oklahoma,40077,Latimer,34.9183,-95.3046,2788,2662,331,polygon,TRUE,America/Chicago,74578
Kenwood-OK,1840024887,Kenwood,Kenwood,OK,Kenwood-OK,Oklahoma,40041,Delaware,36.3013,-94.9979,,,149.2,polygon,FALSE,America/Chicago,74338 74365 74364
Eldon-OK,1840017748,Eldon,Eldon,OK,Eldon-OK,Oklahoma,40021,Cherokee,35.9305,-94.8179,,,19.3,polygon,FALSE,America/Chicago,74960 74464
Arnett-OK,1840020375,Arnett,Arnett,OK,Arnett-OK,Oklahoma,40045,Ellis,36.135,-99.7712,511,511,459,polygon,TRUE,America/Chicago,73832
Broken Arrow-OK,1840019059,Broken Arrow,Broken Arrow,OK,Broken Arrow-OK,Oklahoma,40143,Tulsa,36.0367,-95.7808,107403,107403,672,polygon,TRUE,America/Chicago,74014 74011 74012 74013
Terral-OK,1840022886,Terral,Terral,OK,Terral-OK,Oklahoma,40067,Jefferson,33.8967,-97.9383,400,400,362,polygon,TRUE,America/Chicago,73569
Rosston-OK,1840021620,Rosston,Rosston,OK,Rosston-OK,Oklahoma,40059,Harper,36.8128,-99.9327,32,32,45,polygon,TRUE,America/Chicago,73855
Reydon-OK,1840021705,Reydon,Reydon,OK,Reydon-OK,Oklahoma,40129,Roger Mills,35.6502,-99.9239,210,210,179,polygon,TRUE,America/Chicago,73660
Tabler-OK,1840034592,Tabler,Tabler,OK,Tabler-OK,Oklahoma,40051,Grady,35.0442,-97.8198,,,30.1,point,FALSE,America/Chicago,73018
Dwight Mission-OK,1840034635,Dwight Mission,Dwight Mission,OK,Dwight Mission-OK,Oklahoma,40135,Sequoyah,35.5466,-94.8594,,,12.7,polygon,FALSE,America/Chicago,74962
Durant-OK,1840019280,Durant,Durant,OK,Durant-OK,Oklahoma,40013,Bryan,33.9957,-96.3938,18187,17583,254,polygon,TRUE,America/Chicago,74701 74702
Nuyaka-OK,1840034570,Nuyaka,Nuyaka,OK,Nuyaka-OK,Oklahoma,40111,Okmulgee,35.6532,-96.1397,,,24.2,point,FALSE,America/Chicago,74447
Corbett-OK,1840034432,Corbett,Corbett,OK,Corbett-OK,Oklahoma,40027,Cleveland,34.9734,-97.2295,,,11.3,point,FALSE,America/Chicago,73051
Alfalfa-OK,1840034406,Alfalfa,Alfalfa,OK,Alfalfa-OK,Oklahoma,40015,Caddo,35.2189,-98.6073,,,4.1,point,FALSE,America/Chicago,73015
Council Hill-OK,1840021719,Council Hill,Council Hill,OK,Council Hill-OK,Oklahoma,40101,Muskogee,35.5559,-95.6525,150,150,183,polygon,TRUE,America/Chicago,74428
Midwest City-OK,1840020425,Midwest City,Midwest City,OK,Midwest City-OK,Oklahoma,40109,Oklahoma,35.463,-97.371,57305,57305,906,polygon,TRUE,America/Chicago,73110 73141 73130
Middleberg-OK,1840034467,Middleberg,Middleberg,OK,Middleberg-OK,Oklahoma,40051,Grady,35.1062,-97.735,,,8.2,point,FALSE,America/Chicago,73010
Watts-OK,1840022705,Watts,Watts,OK,Watts-OK,Oklahoma,40001,Adair,36.1073,-94.5717,312,312,310,polygon,TRUE,America/Chicago,74965 74964
Long-OK,1840017832,Long,Long,OK,Long-OK,Oklahoma,40135,Sequoyah,35.4993,-94.547,,,103.9,polygon,FALSE,America/Chicago,74948
Tishomingo-OK,1840021904,Tishomingo,Tishomingo,OK,Tishomingo-OK,Oklahoma,40069,Johnston,34.2387,-96.6806,3109,3109,275,polygon,TRUE,America/Chicago,73460
Burlington-OK,1840021606,Burlington,Burlington,OK,Burlington-OK,Oklahoma,40003,Alfalfa,36.9002,-98.4234,159,159,223,polygon,TRUE,America/Chicago,73722
Gracemont-OK,1840021767,Gracemont,Gracemont,OK,Gracemont-OK,Oklahoma,40015,Caddo,35.1878,-98.2572,316,316,810,polygon,TRUE,America/Chicago,73042
Gideon-OK,1840034541,Gideon,Gideon,OK,Gideon-OK,Oklahoma,40021,Cherokee,36.0088,-95.036,,,22.7,polygon,FALSE,America/Chicago,74464
Lamar-OK,1840021820,Lamar,Lamar,OK,Lamar-OK,Oklahoma,40063,Hughes,35.0942,-96.1238,151,151,4,polygon,TRUE,America/Chicago,74850
Zion-OK,1840034603,Zion,Zion,OK,Zion-OK,Oklahoma,40001,Adair,35.7853,-94.6378,,,2.9,polygon,FALSE,America/Chicago,74960
Aline-OK,1840021607,Aline,Aline,OK,Aline-OK,Oklahoma,40003,Alfalfa,36.5096,-98.4486,217,217,319,polygon,TRUE,America/Chicago,73716
Brooksville-OK,1840021784,Brooksville,Brooksville,OK,Brooksville-OK,Oklahoma,40125,Pottawatomie,35.2104,-96.9608,60,60,7,polygon,TRUE,America/Chicago,74873
Avery-OK,1840034412,Avery,Avery,OK,Avery-OK,Oklahoma,40081,Lincoln,35.8842,-96.7522,,,12.1,point,FALSE,America/Chicago,74023
Goldsby-OK,1840021810,Goldsby,Goldsby,OK,Goldsby-OK,Oklahoma,40087,McClain,35.1285,-97.4741,2159,2159,31,polygon,TRUE,America/Chicago,73093 73072 73080
Orr-OK,1840034473,Orr,Orr,OK,Orr-OK,Oklahoma,40085,Love,34.032,-97.5356,,,49.4,point,FALSE,America/Chicago,73456
Roll-OK,1840034612,Roll,Roll,OK,Roll-OK,Oklahoma,40129,Roger Mills,35.7792,-99.7115,,,1.3,point,FALSE,America/Chicago,73628
Tucker-OK,1840034498,Tucker,Tucker,OK,Tucker-OK,Oklahoma,40079,Le Flore,35.3037,-94.7302,,,11.8,point,FALSE,America/Chicago,74959
