City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Scotts Mills-OR,1840021225,Scotts Mills,Scotts Mills,OR,Scotts Mills-OR,Oregon,41047,Marion,45.041,-122.669,372,372,404,polygon,TRUE,America/Los_Angeles,97375
Tumalo-OR,1840023977,Tumalo,Tumalo,OR,Tumalo-OR,Oregon,41017,Deschutes,44.1561,-121.328,,,344.8,polygon,FALSE,America/Los_Angeles,97701
Pistol River-OR,1840025466,Pistol River,Pistol River,OR,Pistol River-OR,Oregon,41015,Curry,42.2838,-124.3991,,,27.4,polygon,FALSE,America/Los_Angeles,97444
Harper-OR,1840025375,Harper,Harper,OR,Harper-OR,Oregon,41045,Malheur,43.857,-117.6265,,,62.7,polygon,FALSE,America/Boise,97906
Tutuilla-OR,1840034835,Tutuilla,Tutuilla,OR,Tutuilla-OR,Oregon,41059,Umatilla,45.6142,-118.7065,,,95.9,polygon,FALSE,America/Los_Angeles,97801
Dundee-OR,1840018575,Dundee,Dundee,OR,Dundee-OR,Oregon,41071,Yamhill,45.2759,-123.0072,3257,3257,944,polygon,TRUE,America/Los_Angeles,97115
Saint Helens-OR,1840021185,Saint Helens,Saint Helens,OR,Saint Helens-OR,Oregon,41009,Columbia,45.8572,-122.8163,26929,13526,1098,polygon,TRUE,America/Los_Angeles,97051
Toledo-OR,1840021234,Toledo,Toledo,OR,Toledo-OR,Oregon,41041,Lincoln,44.6196,-123.934,3679,3560,630,polygon,TRUE,America/Los_Angeles,97391
Raleigh Hills-OR,1840034810,Raleigh Hills,Raleigh Hills,OR,Raleigh Hills-OR,Oregon,41067,Washington,45.4852,-122.7567,,,1088.4,polygon,FALSE,America/Los_Angeles,97225 97223
Madras-OR,1840019987,Madras,Madras,OR,Madras-OR,Oregon,41031,Jefferson,44.6384,-121.1268,8914,6729,502,polygon,TRUE,America/Los_Angeles,97741
Rockaway Beach-OR,1840019927,Rockaway Beach,Rockaway Beach,OR,Rockaway Beach-OR,Oregon,41057,Tillamook,45.6186,-123.9398,1376,1376,332,polygon,TRUE,America/Los_Angeles,97136
Scottsburg-OR,1840034795,Scottsburg,Scottsburg,OR,Scottsburg-OR,Oregon,41019,Douglas,43.654,-123.8168,,,19.4,point,FALSE,America/Los_Angeles,97473
Chiloquin-OR,1840018651,Chiloquin,Chiloquin,OR,Chiloquin-OR,Oregon,41035,Klamath,42.5764,-121.8678,726,726,342,polygon,TRUE,America/Los_Angeles,97624
Coos Bay-OR,1840018653,Coos Bay,Coos Bay,OR,Coos Bay-OR,Oregon,41011,Coos,43.3789,-124.233,32024,16292,593,polygon,TRUE,America/Los_Angeles,97459 97420
Chenoweth-OR,1840017417,Chenoweth,Chenoweth,OR,Chenoweth-OR,Oregon,41065,Wasco,45.6207,-121.2363,,,386.3,polygon,FALSE,America/Los_Angeles,97058
Mount Hood-OR,1840025300,Mount Hood,Mount Hood,OR,Mount Hood-OR,Oregon,41027,Hood River,45.5339,-121.5662,,,202.1,polygon,FALSE,America/Los_Angeles,97041
Rieth-OR,1840034700,Rieth,Rieth,OR,Rieth-OR,Oregon,41059,Umatilla,45.661,-118.8714,,,87.7,point,FALSE,America/Los_Angeles,97801
Estacada-OR,1840019948,Estacada,Estacada,OR,Estacada-OR,Oregon,41005,Clackamas,45.2987,-122.3338,4717,3313,575,polygon,TRUE,America/Los_Angeles,97023
Oakridge-OR,1840020010,Oakridge,Oakridge,OR,Oakridge-OR,Oregon,41039,Lane,43.745,-122.4638,3255,3246,584,polygon,TRUE,America/Los_Angeles,97463
Walterville-OR,1840034709,Walterville,Walterville,OR,Walterville-OR,Oregon,41039,Lane,44.0687,-122.804,,,67.1,point,FALSE,America/Los_Angeles,97478
Holland-OR,1840034778,Holland,Holland,OR,Holland-OR,Oregon,41033,Josephine,42.1276,-123.539,,,19.6,point,FALSE,America/Los_Angeles,97523
Crabtree-OR,1840023939,Crabtree,Crabtree,OR,Crabtree-OR,Oregon,41043,Linn,44.6377,-122.9059,,,139.5,polygon,FALSE,America/Los_Angeles,97374 97335
North Bend-OR,1840020057,North Bend,North Bend,OR,North Bend-OR,Oregon,41011,Coos,43.4075,-124.2364,9789,9789,964,polygon,TRUE,America/Los_Angeles,97459
Elgin-OR,1840019922,Elgin,Elgin,OR,Elgin-OR,Oregon,41061,Union,45.5644,-117.9214,1756,1756,685,polygon,TRUE,America/Los_Angeles,97827
Shedd-OR,1840023944,Shedd,Shedd,OR,Shedd-OR,Oregon,41043,Linn,44.458,-123.112,,,93.2,polygon,FALSE,America/Los_Angeles,97377
Happy Valley-OR,1840019950,Happy Valley,Happy Valley,OR,Happy Valley-OR,Oregon,41005,Clackamas,45.4383,-122.5142,19704,19704,858,polygon,TRUE,America/Los_Angeles,97015 97086
Medford-OR,1840020076,Medford,Medford,OR,Medford-OR,Oregon,41029,Jackson,42.3372,-122.8537,167922,81636,1223,polygon,TRUE,America/Los_Angeles,97504 97501
Goshen-OR,1840034724,Goshen,Goshen,OR,Goshen-OR,Oregon,41039,Lane,43.9954,-123.0115,,,98.3,point,FALSE,America/Los_Angeles,97405
Deschutes River Woods-OR,1840034826,Deschutes River Woods,Deschutes River Woods,OR,Deschutes River Woods-OR,Oregon,41017,Deschutes,43.9887,-121.3608,,,672.4,polygon,FALSE,America/Los_Angeles,97702
Independence-OR,1840018589,Independence,Independence,OR,Independence-OR,Oregon,41053,Polk,44.8551,-123.1948,9666,9666,1307,polygon,TRUE,America/Los_Angeles,97351
Lakeview-OR,1840021284,Lakeview,Lakeview,OR,Lakeview-OR,Oregon,41037,Lake,42.1914,-120.3522,2929,2321,384,polygon,TRUE,America/Los_Angeles,97630
Forest Grove-OR,1840019930,Forest Grove,Forest Grove,OR,Forest Grove-OR,Oregon,41067,Washington,45.5244,-123.11,24058,24058,1583,polygon,TRUE,America/Los_Angeles,97116
Sandy-OR,1840021217,Sandy,Sandy,OR,Sandy-OR,Oregon,41005,Clackamas,45.3986,-122.269,11445,11005,1268,polygon,TRUE,America/Los_Angeles,97055
