City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Westmoreland City-PA,1840035257,Westmoreland City,Westmoreland City,PA,Westmoreland City-PA,Pennsylvania,42129,Westmoreland,40.3312,-79.677,,,1126.6,point,FALSE,America/New_York,15692
Glen Riddle-PA,1840035343,Glen Riddle,Glen Riddle,PA,Glen Riddle-PA,Pennsylvania,42045,Delaware,39.894,-75.4338,,,1100.7,point,FALSE,America/New_York,19063
Weissport-PA,1840000936,Weissport,Weissport,PA,Weissport-PA,Pennsylvania,42025,Carbon,40.8289,-75.7009,389,389,1111,polygon,TRUE,America/New_York,18235
Cooperstown-PA,1840003424,Cooperstown,Cooperstown,PA,Cooperstown-PA,Pennsylvania,42121,Venango,41.4998,-79.8736,432,432,301,polygon,TRUE,America/New_York,16317
Cross Creek-PA,1840024308,Cross Creek,Cross Creek,PA,Cross Creek-PA,Pennsylvania,42125,Washington,40.3264,-80.4091,,,112.2,polygon,FALSE,America/New_York,15021
Pleasant Hill-PA,1840035153,Pleasant Hill,Pleasant Hill,PA,Pleasant Hill-PA,Pennsylvania,42075,Lebanon,40.337,-76.448,,,1372.3,polygon,FALSE,America/New_York,17042
North Wales-PA,1840001371,North Wales,North Wales,PA,North Wales-PA,Pennsylvania,42091,Montgomery,40.2111,-75.2744,3242,3242,2131,polygon,TRUE,America/New_York,19454 19455
Duncannon-PA,1840001300,Duncannon,Duncannon,PA,Duncannon-PA,Pennsylvania,42099,Perry,40.3951,-77.0278,1490,1490,1413,polygon,TRUE,America/New_York,17020
Vinco-PA,1840005382,Vinco,Vinco,PA,Vinco-PA,Pennsylvania,42021,Cambria,40.4111,-78.8446,,,433.7,polygon,FALSE,America/New_York,15942 15909
Liverpool-PA,1840001302,Liverpool,Liverpool,PA,Liverpool-PA,Pennsylvania,42099,Perry,40.5734,-76.9924,960,960,420,polygon,TRUE,America/New_York,17045
Oakdale-PA,1840001249,Oakdale,Oakdale,PA,Oakdale-PA,Pennsylvania,42003,Allegheny,40.4001,-80.1873,1456,1456,1198,polygon,TRUE,America/New_York,15071
Chinchilla-PA,1840026296,Chinchilla,Chinchilla,PA,Chinchilla-PA,Pennsylvania,42069,Lackawanna,41.4846,-75.666,,,617.2,polygon,FALSE,America/New_York,18411 18410
Robesonia-PA,1840001186,Robesonia,Robesonia,PA,Robesonia-PA,Pennsylvania,42011,Berks,40.3495,-76.1391,2057,2057,891,polygon,TRUE,America/New_York,19551
