City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Central Aguirre-PR,1630023632,Central Aguirre,Central Aguirre,PR,Central Aguirre-PR,Puerto Rico,72123,Salinas,17.9559,-66.2264,,,354.5,polygon,FALSE,America/Puerto_Rico,704
Morovis-PR,1630023611,Morovis,Morovis,PR,Morovis-PR,Puerto Rico,72101,Morovis,18.3269,-66.4058,,,1975.8,polygon,FALSE,America/Puerto_Rico,687
La Fermina Comunidad-PR,1630035696,La Fermina Comunidad,La Fermina Comunidad,PR,La Fermina Comunidad-PR,Puerto Rico,72069,Humacao,18.1744,-65.8527,,,1042.2,polygon,FALSE,America/Puerto_Rico,00771 00791
Suarez Comunidad-PR,1630035584,Suárez Comunidad,Suarez Comunidad,PR,Suarez Comunidad-PR,Puerto Rico,72087,Loíza,18.4311,-65.8514,,,2403.7,polygon,FALSE,America/Puerto_Rico,772
Lajas Zona Urbana-PR,1630035498,Lajas Zona Urbana,Lajas Zona Urbana,PR,Lajas Zona Urbana-PR,Puerto Rico,72079,Lajas,18.0452,-67.0583,,,316.1,polygon,FALSE,America/Puerto_Rico,667
La Liga Comunidad-PR,1630025217,La Liga Comunidad,La Liga Comunidad,PR,La Liga Comunidad-PR,Puerto Rico,72025,Caguas,18.2905,-66.0492,,,995.5,polygon,FALSE,America/Puerto_Rico,725
Anon Raices Comunidad-PR,1630025223,Anon Raices Comunidad,Anon Raices Comunidad,PR,Anon Raices Comunidad-PR,Puerto Rico,72113,Ponce,18.1391,-66.5863,,,349.1,polygon,FALSE,America/Puerto_Rico,780
Trujillo Alto Zona Urbana-PR,1630035591,Trujillo Alto Zona Urbana,Trujillo Alto Zona Urbana,PR,Trujillo Alto Zona Urbana-PR,Puerto Rico,72139,Trujillo Alto,18.36,-66.0103,,,1798.4,polygon,FALSE,America/Puerto_Rico,00976 00926 00977 00978
Comerio Zona Urbana-PR,1630035650,Comerío Zona Urbana,Comerio Zona Urbana,PR,Comerio Zona Urbana-PR,Puerto Rico,72045,Comerío,18.2203,-66.2243,,,1707.3,polygon,FALSE,America/Puerto_Rico,782
Caguas Zona Urbana-PR,1630035629,Caguas Zona Urbana,Caguas Zona Urbana,PR,Caguas Zona Urbana-PR,Puerto Rico,72025,Caguas,18.2319,-66.0388,,,4326.2,polygon,FALSE,America/Puerto_Rico,00725 00727 00726
Coqui-PR,1630023634,Coquí,Coqui,PR,Coqui-PR,Puerto Rico,72123,Salinas,17.9793,-66.2255,,,968.9,polygon,FALSE,America/Puerto_Rico,704
Trujillo Alto-PR,1630023656,Trujillo Alto,Trujillo Alto,PR,Trujillo Alto-PR,Puerto Rico,72139,Trujillo Alto,18.36,-66.0103,,,1461.6,polygon,FALSE,America/Puerto_Rico,00976 00926 00977 00978
Benitez Comunidad-PR,1630023715,Benítez Comunidad,Benitez Comunidad,PR,Benitez Comunidad-PR,Puerto Rico,72029,Canóvanas,18.2725,-65.8788,,,1171.9,polygon,FALSE,America/Puerto_Rico,729
Yabucoa Zona Urbana-PR,1630035599,Yabucoa Zona Urbana,Yabucoa Zona Urbana,PR,Yabucoa Zona Urbana-PR,Puerto Rico,72151,Yabucoa,18.0469,-65.8792,,,2195,polygon,FALSE,America/Puerto_Rico,767
Cabo Rojo Zona Urbana-PR,1630035627,Cabo Rojo Zona Urbana,Cabo Rojo Zona Urbana,PR,Cabo Rojo Zona Urbana-PR,Puerto Rico,72023,Cabo Rojo,18.0867,-67.1483,,,2900.2,polygon,FALSE,America/Puerto_Rico,623
Palmas del Mar Comunidad-PR,1630035708,Palmas del Mar Comunidad,Palmas del Mar Comunidad,PR,Palmas del Mar Comunidad-PR,Puerto Rico,72069,Humacao,18.0924,-65.8005,,,355.7,polygon,FALSE,America/Puerto_Rico,791
