City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Manville-RI,1840035719,Manville,Manville,RI,Manville-RI,Rhode Island,44007,Providence,41.9698,-71.4737,,,2286.4,point,FALSE,America/New_York,2838
Harrisville-RI,1840003293,Harrisville,Harrisville,RI,Harrisville-RI,Rhode Island,44007,Providence,41.9687,-71.6767,,,465.4,polygon,FALSE,America/New_York,2830
Hopkinton-RI,1840035709,Hopkinton,Hopkinton,RI,Hopkinton-RI,Rhode Island,44009,Washington,41.4622,-71.7783,,,108,polygon,FALSE,America/New_York,02833 02804
Wyoming-RI,1840026288,Wyoming,Wyoming,RI,Wyoming-RI,Rhode Island,44009,Washington,41.5143,-71.6902,,,128.6,polygon,FALSE,America/New_York,2898
Central Falls-RI,1840003286,Central Falls,Central Falls,RI,Central Falls-RI,Rhode Island,44007,Providence,41.89,-71.3933,19347,19347,6234,polygon,TRUE,America/New_York,2863
Greenville-RI,1840003292,Greenville,Greenville,RI,Greenville-RI,Rhode Island,44007,Providence,41.8799,-71.555,,,832.4,polygon,FALSE,America/New_York,02917 02828
Providence-RI,1840003289,Providence,Providence,RI,Providence-RI,Rhode Island,44007,Providence,41.8229,-71.4186,1198789,179219,3760,polygon,TRUE,America/New_York,02903 02906 02907 02904 02905 02908 02909 02912 02901 02902 02918 02940
Harmony-RI,1840026228,Harmony,Harmony,RI,Harmony-RI,Rhode Island,44007,Providence,41.8965,-71.6053,,,225.6,polygon,FALSE,America/New_York,2814
Warwick-RI,1840003344,Warwick,Warwick,RI,Warwick-RI,Rhode Island,44003,Kent,41.7061,-71.4334,81579,81579,898,polygon,TRUE,America/New_York,02818 02886 02889 02888 02887
Saunderstown-RI,1840035712,Saunderstown,Saunderstown,RI,Saunderstown-RI,Rhode Island,44009,Washington,41.5079,-71.4245,,,352.5,point,FALSE,America/New_York,2874
Carolina-RI,1840026289,Carolina,Carolina,RI,Carolina-RI,Rhode Island,44009,Washington,41.4625,-71.6585,,,169.2,polygon,FALSE,America/New_York,02812 02813
Cranston-RI,1840003287,Cranston,Cranston,RI,Cranston-RI,Rhode Island,44007,Providence,41.7658,-71.4858,81034,81034,1103,polygon,TRUE,America/New_York,02905 02831 02920 02910 02921
East Providence-RI,1840003288,East Providence,East Providence,RI,East Providence-RI,Rhode Island,44007,Providence,41.8064,-71.3565,47337,47337,1380,polygon,TRUE,America/New_York,02915 02914 02916
Cumberland Hill-RI,1840003291,Cumberland Hill,Cumberland Hill,RI,Cumberland Hill-RI,Rhode Island,44007,Providence,41.9736,-71.4605,,,2286.4,polygon,FALSE,America/New_York,2864
Esmond-RI,1840035717,Esmond,Esmond,RI,Esmond-RI,Rhode Island,44007,Providence,41.8723,-71.4945,,,1260,point,FALSE,America/New_York,2917
Misquamicut-RI,1840026290,Misquamicut,Misquamicut,RI,Misquamicut-RI,Rhode Island,44009,Washington,41.3237,-71.822,,,153.3,polygon,FALSE,America/New_York,2891
Valley Falls-RI,1840003295,Valley Falls,Valley Falls,RI,Valley Falls-RI,Rhode Island,44007,Providence,41.9234,-71.3923,,,1536.4,polygon,FALSE,America/New_York,2864
Coventry-RI,1840035720,Coventry,Coventry,RI,Coventry-RI,Rhode Island,44003,Kent,41.7001,-71.6828,,,63.9,point,FALSE,America/New_York,2827
Charlestown-RI,1840035710,Charlestown,Charlestown,RI,Charlestown-RI,Rhode Island,44009,Washington,41.3783,-71.6285,,,193.7,polygon,FALSE,America/New_York,02813 02879
Bradford-RI,1840003363,Bradford,Bradford,RI,Bradford-RI,Rhode Island,44009,Washington,41.3944,-71.7541,,,303.3,polygon,FALSE,America/New_York,2808
Clayville-RI,1840026230,Clayville,Clayville,RI,Clayville-RI,Rhode Island,44007,Providence,41.7734,-71.6854,,,92.7,polygon,FALSE,America/New_York,02815 02825
