City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Ware Shoals-SC,1840016674,Ware Shoals,Ware Shoals,SC,Ware Shoals-SC,South Carolina,45047,Greenwood,34.3923,-82.2421,2183,2183,215,polygon,TRUE,America/New_York,29692
Pacolet Mills-SC,1840035777,Pacolet Mills,Pacolet Mills,SC,Pacolet Mills-SC,South Carolina,45083,Spartanburg,34.9226,-81.7426,,,252.5,point,FALSE,America/New_York,29373
Awendaw-SC,1840016011,Awendaw,Awendaw,SC,Awendaw-SC,South Carolina,45019,Charleston,32.9824,-79.646,1384,1384,56,polygon,TRUE,America/New_York,29429
Lodge-SC,1840016900,Lodge,Lodge,SC,Lodge-SC,South Carolina,45029,Colleton,33.0678,-80.9536,119,119,14,polygon,TRUE,America/New_York,29082
Antreville-SC,1840013617,Antreville,Antreville,SC,Antreville-SC,South Carolina,45001,Abbeville,34.2971,-82.5541,,,18.1,polygon,FALSE,America/New_York,29620 29655
Ninety Six-SC,1840016675,Ninety Six,Ninety Six,SC,Ninety Six-SC,South Carolina,45047,Greenwood,34.1696,-82.024,2057,2057,441,polygon,TRUE,America/New_York,29666
Clover-SC,1840016478,Clover,Clover,SC,Clover-SC,South Carolina,45091,York,35.1124,-81.2201,7607,5950,513,polygon,TRUE,America/New_York,29710 29703
Columbia-SC,1840014730,Columbia,Columbia,SC,Columbia-SC,South Carolina,45079,Richland,34.0366,-80.9043,571249,134309,388,polygon,TRUE,America/New_York,29205 29202 29203 29201 29207 29208 29209 29212 29225 29210 29229 29147 29206 29204 29211 29214 29215 29216 29217 29218 29219 29220 29221 29222 29224 29226 29227 29228 29230 29240 29250 29260 29290 29292
Fairfax-SC,1840016904,Fairfax,Fairfax,SC,Fairfax-SC,South Carolina,45005,Allendale,32.9593,-81.2363,1745,1745,203,polygon,TRUE,America/New_York,29827
Lake City-SC,1840014715,Lake City,Lake City,SC,Lake City-SC,South Carolina,45041,Florence,33.8676,-79.7533,8604,6761,488,polygon,TRUE,America/New_York,29560
Belvedere-SC,1840013720,Belvedere,Belvedere,SC,Belvedere-SC,South Carolina,45003,Aiken,33.5369,-81.9424,,,717.8,polygon,FALSE,America/New_York,29841
Modoc-SC,1840013693,Modoc,Modoc,SC,Modoc-SC,South Carolina,45065,McCormick,33.7191,-82.2174,,,16.1,polygon,FALSE,America/New_York,29838
Gramling-SC,1840026963,Gramling,Gramling,SC,Gramling-SC,South Carolina,45083,Spartanburg,35.0782,-82.1333,,,32.9,polygon,FALSE,America/New_York,29349 29322
Sangaree-SC,1840035792,Sangaree,Sangaree,SC,Sangaree-SC,South Carolina,45015,Berkeley,33.0328,-80.1252,,,1546.1,polygon,FALSE,America/New_York,29483
Williamston-SC,1840016576,Williamston,Williamston,SC,Williamston-SC,South Carolina,45007,Anderson,34.6196,-82.4793,4190,4190,435,polygon,TRUE,America/New_York,29697
Shell Point-SC,1840035794,Shell Point,Shell Point,SC,Shell Point-SC,South Carolina,45013,Beaufort,32.3744,-80.7524,,,461.6,polygon,FALSE,America/New_York,29906
Waterloo-SC,1840016595,Waterloo,Waterloo,SC,Waterloo-SC,South Carolina,45059,Laurens,34.3545,-82.0597,148,148,40,polygon,TRUE,America/New_York,29384
Central Pacolet-SC,1840016462,Central Pacolet,Central Pacolet,SC,Central Pacolet-SC,South Carolina,45083,Spartanburg,34.9096,-81.7526,227,227,350,polygon,TRUE,America/New_York,29372
Scranton-SC,1840017961,Scranton,Scranton,SC,Scranton-SC,South Carolina,45041,Florence,33.9174,-79.7441,860,860,419,polygon,TRUE,America/New_York,29591
Wando-SC,1840035755,Wando,Wando,SC,Wando-SC,South Carolina,45015,Berkeley,32.9335,-79.8317,,,121.8,point,FALSE,America/New_York,29492
Elgin-SC,1840016617,Elgin,Elgin,SC,Elgin-SC,South Carolina,45055,Kershaw,34.1703,-80.793,1540,1540,561,polygon,TRUE,America/New_York,29045
Whitmire-SC,1840016633,Whitmire,Whitmire,SC,Whitmire-SC,South Carolina,45071,Newberry,34.5041,-81.6144,1475,1475,460,polygon,TRUE,America/New_York,29178
Yemassee-SC,1840016929,Yemassee,Yemassee,SC,Yemassee-SC,South Carolina,45049,Hampton,32.6928,-80.8547,972,972,83,polygon,TRUE,America/New_York,29945
Richburg-SC,1840017924,Richburg,Richburg,SC,Richburg-SC,South Carolina,45023,Chester,34.7166,-81.0197,263,263,115,polygon,TRUE,America/New_York,29729
Red Bank-SC,1840013658,Red Bank,Red Bank,SC,Red Bank-SC,South Carolina,45063,Lexington,33.9296,-81.2321,,,203.4,polygon,FALSE,America/New_York,29073
Richtex-SC,1840035829,Richtex,Richtex,SC,Richtex-SC,South Carolina,45039,Fairfield,34.1835,-81.1818,,,2.9,point,FALSE,America/New_York,29180
Jonesville-SC,1840016542,Jonesville,Jonesville,SC,Jonesville-SC,South Carolina,45087,Union,34.8348,-81.6811,860,860,327,polygon,TRUE,America/New_York,29353
Chesterfield-SC,1840016583,Chesterfield,Chesterfield,SC,Chesterfield-SC,South Carolina,45025,Chesterfield,34.733,-80.078,1452,1452,138,polygon,TRUE,America/New_York,29709
Parker-SC,1840035848,Parker,Parker,SC,Parker-SC,South Carolina,45045,Greenville,34.8514,-82.4512,,,339.6,polygon,FALSE,America/New_York,29617 29611
Longs-SC,1840035808,Longs,Longs,SC,Longs-SC,South Carolina,45051,Horry,33.9385,-78.7331,,,38.3,point,FALSE,America/New_York,29568
