City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Rockerville-SD,1840035961,Rockerville,Rockerville,SD,Rockerville-SD,South Dakota,46103,Pennington,43.958,-103.3585,,,8.3,point,FALSE,America/Denver,57702
Lead-SD,1840002376,Lead,Lead,SD,Lead-SD,South Dakota,46081,Lawrence,44.3527,-103.767,3612,3010,564,polygon,TRUE,America/Denver,57754
Bushnell-SD,1840002508,Bushnell,Bushnell,SD,Bushnell-SD,South Dakota,46011,Brookings,44.3277,-96.6422,65,65,35,polygon,TRUE,America/Chicago,57276
Hosmer-SD,1840002092,Hosmer,Hosmer,SD,Hosmer-SD,South Dakota,46045,Edmunds,45.5788,-99.4736,200,200,78,polygon,TRUE,America/Chicago,57448
Winfred-SD,1840026138,Winfred,Winfred,SD,Winfred-SD,South Dakota,46079,Lake,44.0008,-97.3597,,,40.6,polygon,FALSE,America/Chicago,57076
Batesland-SD,1840002891,Batesland,Batesland,SD,Batesland-SD,South Dakota,46102,Oglala Lakota,43.1278,-102.1017,115,115,520,polygon,TRUE,America/Denver,57716
Sisseton-SD,1840002037,Sisseton,Sisseton,SD,Sisseton-SD,South Dakota,46109,Roberts,45.6625,-97.0453,2429,2429,589,polygon,TRUE,America/Chicago,57262
Ipswich-SD,1840002093,Ipswich,Ipswich,SD,Ipswich-SD,South Dakota,46045,Edmunds,45.4435,-99.03,951,951,273,polygon,TRUE,America/Chicago,57451
Milbank-SD,1840002099,Milbank,Milbank,SD,Milbank-SD,South Dakota,46051,Grant,45.2193,-96.6342,3136,3203,448,polygon,TRUE,America/Chicago,57252
Porcupine-SD,1840004202,Porcupine,Porcupine,SD,Porcupine-SD,South Dakota,46102,Oglala Lakota,43.2687,-102.3353,,,47.9,polygon,FALSE,America/Denver,57772
McLaughlin-SD,1840002016,McLaughlin,McLaughlin,SD,McLaughlin-SD,South Dakota,46031,Corson,45.8133,-100.8107,665,665,635,polygon,TRUE,America/Denver,57642
Columbia-SD,1840000262,Columbia,Columbia,SD,Columbia-SD,South Dakota,46013,Brown,45.6148,-98.3107,137,137,34,polygon,TRUE,America/Chicago,57433
Marvin-SD,1840002098,Marvin,Marvin,SD,Marvin-SD,South Dakota,46051,Grant,45.2605,-96.9154,32,32,22,polygon,TRUE,America/Chicago,57251
