City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
White Pine-TN,1840016169,White Pine,White Pine,TN,White Pine-TN,Tennessee,47089,Jefferson,36.1092,-83.2958,3152,2262,329,polygon,TRUE,America/New_York,37890
Dyersburg-TN,1840013372,Dyersburg,Dyersburg,TN,Dyersburg-TN,Tennessee,47045,Dyer,36.0459,-89.3782,21313,16685,371,polygon,TRUE,America/Chicago,38024 38025
Park City-TN,1840024961,Park City,Park City,TN,Park City-TN,Tennessee,47103,Lincoln,35.0782,-86.5834,,,420.2,polygon,FALSE,America/Chicago,37334
Bolivar-TN,1840013465,Bolivar,Bolivar,TN,Bolivar-TN,Tennessee,47069,Hardeman,35.2656,-89.0148,5089,5112,229,polygon,TRUE,America/Chicago,38008
Lookout Mountain-TN,1840016374,Lookout Mountain,Lookout Mountain,TN,Lookout Mountain-TN,Tennessee,47065,Hamilton,34.9944,-85.3516,1888,1888,542,polygon,TRUE,America/New_York,37350
Pleasant Hill-TN,1840016173,Pleasant Hill,Pleasant Hill,TN,Pleasant Hill-TN,Tennessee,47035,Cumberland,35.9767,-85.1994,563,563,140,polygon,TRUE,America/Chicago,38578 38572 38571 38583
Pinson-TN,1840036083,Pinson,Pinson,TN,Pinson-TN,Tennessee,47113,Madison,35.4901,-88.7206,,,164.8,point,FALSE,America/Chicago,38366
Jonesborough-TN,1840016092,Jonesborough,Jonesborough,TN,Jonesborough-TN,Tennessee,47179,Washington,36.2959,-82.4765,5333,5333,398,polygon,TRUE,America/New_York,37659
Fayetteville-TN,1840013476,Fayetteville,Fayetteville,TN,Fayetteville-TN,Tennessee,47103,Lincoln,35.149,-86.5636,9478,7051,280,polygon,TRUE,America/Chicago,37334
Rural Hill-TN,1840013351,Rural Hill,Rural Hill,TN,Rural Hill-TN,Tennessee,47189,Wilson,36.1164,-86.5152,,,175.3,polygon,FALSE,America/Chicago,37076 37122
Columbia-TN,1840014518,Columbia,Columbia,TN,Columbia-TN,Tennessee,47119,Maury,35.6223,-87.048,37845,37540,455,polygon,TRUE,America/Chicago,38401 38402
Estill Springs-TN,1840016420,Estill Springs,Estill Springs,TN,Estill Springs-TN,Tennessee,47051,Franklin,35.2741,-86.1383,2027,2027,177,polygon,TRUE,America/Chicago,37330 37398
Christiana-TN,1840036020,Christiana,Christiana,TN,Christiana-TN,Tennessee,47149,Rutherford,35.7205,-86.4109,,,142.2,polygon,FALSE,America/Chicago,37037 37128
Wynnburg-TN,1840036002,Wynnburg,Wynnburg,TN,Wynnburg-TN,Tennessee,47095,Lake,36.3287,-89.4734,,,76.6,point,FALSE,America/Chicago,38077
Ashland City-TN,1840015304,Ashland City,Ashland City,TN,Ashland City-TN,Tennessee,47021,Cheatham,36.2599,-87.0409,3459,4641,168,polygon,TRUE,America/Chicago,37015
Waynesboro-TN,1840015439,Waynesboro,Waynesboro,TN,Waynesboro-TN,Tennessee,47181,Wayne,35.3229,-87.7598,2357,2357,238,polygon,TRUE,America/Chicago,38485
Cumberland City-TN,1840016012,Cumberland City,Cumberland City,TN,Cumberland City-TN,Tennessee,47161,Stewart,36.3829,-87.6395,300,300,23,polygon,TRUE,America/Chicago,37050
Lakeland-TN,1840014594,Lakeland,Lakeland,TN,Lakeland-TN,Tennessee,47157,Shelby,35.2586,-89.7307,12494,12494,205,polygon,TRUE,America/Chicago,38002 38014
McKinnon-TN,1840036068,McKinnon,McKinnon,TN,McKinnon-TN,Tennessee,47083,Houston,36.3162,-87.907,,,24.1,point,FALSE,America/Chicago,37175
New Tazewell-TN,1840016022,New Tazewell,New Tazewell,TN,New Tazewell-TN,Tennessee,47025,Claiborne,36.4387,-83.6055,4188,2767,203,polygon,TRUE,America/New_York,37825 37824
Dandridge-TN,1840016168,Dandridge,Dandridge,TN,Dandridge-TN,Tennessee,47089,Jefferson,36.0283,-83.4308,5213,2956,193,polygon,TRUE,America/New_York,37725
Red Bank-TN,1840014571,Red Bank,Red Bank,TN,Red Bank-TN,Tennessee,47065,Hamilton,35.1116,-85.2962,11813,11813,695,polygon,TRUE,America/New_York,37415 37405
La Vergne-TN,1840014496,La Vergne,La Vergne,TN,La Vergne-TN,Tennessee,47149,Rutherford,36.021,-86.5574,35071,35071,543,polygon,TRUE,America/Chicago,37086 37089
Vanleer-TN,1840016105,Vanleer,Vanleer,TN,Vanleer-TN,Tennessee,47043,Dickson,36.2383,-87.4463,376,376,223,polygon,TRUE,America/Chicago,37181
Lynnville-TN,1840016376,Lynnville,Lynnville,TN,Lynnville-TN,Tennessee,47055,Giles,35.378,-87.0062,295,295,348,polygon,TRUE,America/Chicago,38472
Wildwood-TN,1840025791,Wildwood,Wildwood,TN,Wildwood-TN,Tennessee,47009,Blount,35.7999,-83.8686,,,294.3,polygon,FALSE,America/New_York,37804
East Cleveland-TN,1840036031,East Cleveland,East Cleveland,TN,East Cleveland-TN,Tennessee,47011,Bradley,35.1526,-84.8541,,,479.5,polygon,FALSE,America/New_York,37311
Charlotte-TN,1840016104,Charlotte,Charlotte,TN,Charlotte-TN,Tennessee,47043,Dickson,36.1865,-87.3384,1511,1511,144,polygon,TRUE,America/Chicago,37036
Banner Hill-TN,1840013353,Banner Hill,Banner Hill,TN,Banner Hill-TN,Tennessee,47171,Unicoi,36.1223,-82.4202,,,1119.2,polygon,FALSE,America/New_York,37650
Campaign-TN,1840036118,Campaign,Campaign,TN,Campaign-TN,Tennessee,47177,Warren,35.7709,-85.6286,,,197.8,point,FALSE,America/Chicago,38581
Shouns-TN,1840036136,Shouns,Shouns,TN,Shouns-TN,Tennessee,47091,Johnson,36.4454,-81.7996,,,206,point,FALSE,America/New_York,37683
Halls Crossroads-TN,1840036047,Halls Crossroads,Halls Crossroads,TN,Halls Crossroads-TN,Tennessee,47093,Knox,36.0804,-83.9424,,,518.4,point,FALSE,America/New_York,37918
Trimble-TN,1840016160,Trimble,Trimble,TN,Trimble-TN,Tennessee,47045,Dyer,36.2021,-89.1888,622,622,368,polygon,TRUE,America/Chicago,38259
Tennessee City-TN,1840036107,Tennessee City,Tennessee City,TN,Tennessee City-TN,Tennessee,47043,Dickson,36.0931,-87.5147,,,23.8,point,FALSE,America/Chicago,37055
Rockvale-TN,1840036091,Rockvale,Rockvale,TN,Rockvale-TN,Tennessee,47149,Rutherford,35.7682,-86.5197,,,58.4,polygon,FALSE,America/Chicago,37153 37128
Alpine-TN,1840036005,Alpine,Alpine,TN,Alpine-TN,Tennessee,47133,Overton,36.3948,-85.2169,,,52.1,point,FALSE,America/Chicago,38543
Summertown-TN,1840025826,Summertown,Summertown,TN,Summertown-TN,Tennessee,47099,Lawrence,35.4344,-87.3084,,,155.9,polygon,FALSE,America/Chicago,38483
Winchester-TN,1840015466,Winchester,Winchester,TN,Winchester-TN,Tennessee,47051,Franklin,35.1898,-86.1078,11724,8562,308,polygon,TRUE,America/Chicago,37398
Hornbeak-TN,1840016066,Hornbeak,Hornbeak,TN,Hornbeak-TN,Tennessee,47131,Obion,36.3355,-89.2954,389,389,215,polygon,TRUE,America/Chicago,38232
Fowlkes-TN,1840036041,Fowlkes,Fowlkes,TN,Fowlkes-TN,Tennessee,47045,Dyer,35.9706,-89.3862,,,455.9,point,FALSE,America/Chicago,38024
Theta-TN,1840036108,Theta,Theta,TN,Theta-TN,Tennessee,47119,Maury,35.7787,-87.0503,,,39,point,FALSE,America/Chicago,38401
Newbern-TN,1840016161,Newbern,Newbern,TN,Newbern-TN,Tennessee,47045,Dyer,36.1172,-89.2693,3284,3284,259,polygon,TRUE,America/Chicago,38059
Townsend-TN,1840015381,Townsend,Townsend,TN,Townsend-TN,Tennessee,47009,Blount,35.6758,-83.7524,444,444,79,polygon,TRUE,America/New_York,37882
Gleason-TN,1840016071,Gleason,Gleason,TN,Gleason-TN,Tennessee,47183,Weakley,36.2174,-88.6107,1390,1390,235,polygon,TRUE,America/Chicago,38229
Forest Hills-TN,1840013344,Forest Hills,Forest Hills,TN,Forest Hills-TN,Tennessee,47037,Davidson,36.0651,-86.8403,4993,4993,209,polygon,TRUE,America/Chicago,37215
