City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Forest Glade-TX,1840036443,Forest Glade,Forest Glade,TX,Forest Glade-TX,Texas,48293,Limestone,31.6307,-96.5219,,,83.9,point,FALSE,America/Chicago,76667
Juilliard-TX,1840036882,Juilliard,Juilliard,TX,Juilliard-TX,Texas,48375,Potter,35.3187,-101.8096,,,32.4,point,FALSE,America/Chicago,79108
Burnet-TX,1840019567,Burnet,Burnet,TX,Burnet-TX,Texas,48053,Burnet,30.7508,-98.2375,5765,6359,242,polygon,TRUE,America/Chicago,78611
Dell City-TX,1840019522,Dell City,Dell City,TX,Dell City-TX,Texas,48229,Hudspeth,31.9349,-105.1998,425,425,98,polygon,TRUE,America/Denver,79837
D'Hanis-TX,1840022500,D'Hanis,D'Hanis,TX,D'Hanis-TX,Texas,48325,Medina,29.3305,-99.2754,,,275.1,polygon,FALSE,America/Chicago,78850
Pleasant Hill-TX,1840025987,Pleasant Hill,Pleasant Hill,TX,Pleasant Hill-TX,Texas,48373,Polk,31.0033,-94.7936,,,102.8,polygon,FALSE,America/Chicago,75939
Roma-Los Saenz-TX,1840037014,Roma-Los Saenz,Roma-Los Saenz,TX,Roma-Los Saenz-TX,Texas,48427,Starr,26.4153,-99.006,10265,10265,973,polygon,TRUE,America/Chicago,78584
Bailey-TX,1840019331,Bailey,Bailey,TX,Bailey-TX,Texas,48147,Fannin,33.4336,-96.1651,289,289,280,polygon,TRUE,America/Chicago,75413
Leggett-TX,1840036483,Leggett,Leggett,TX,Leggett-TX,Texas,48373,Polk,30.818,-94.8705,,,47.7,point,FALSE,America/Chicago,77351
Annetta-TX,1840022043,Annetta,Annetta,TX,Annetta-TX,Texas,48367,Parker,32.6956,-97.6591,1489,1489,247,polygon,TRUE,America/Chicago,76008
Taylor Landing-TX,1840022196,Taylor Landing,Taylor Landing,TX,Taylor Landing-TX,Texas,48245,Jefferson,29.8641,-94.1348,237,237,87,polygon,TRUE,America/Chicago,77705
Liverpool-TX,1840020975,Liverpool,Liverpool,TX,Liverpool-TX,Texas,48039,Brazoria,29.3016,-95.2753,501,501,181,polygon,TRUE,America/Chicago,77577
Hondo-TX,1840020963,Hondo,Hondo,TX,Hondo-TX,Texas,48325,Medina,29.3532,-99.1621,6772,9276,368,polygon,TRUE,America/Chicago,78861
Monroe City-TX,1840036290,Monroe City,Monroe City,TX,Monroe City-TX,Texas,48071,Chambers,29.7849,-94.5852,,,3.5,point,FALSE,America/Chicago,77514
Encinal-TX,1840020997,Encinal,Encinal,TX,Encinal-TX,Texas,48283,La Salle,28.041,-99.3547,586,586,523,polygon,TRUE,America/Chicago,78019
