City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Stansbury park-UT,1840037176,Stansbury park,Stansbury park,UT,Stansbury park-UT,Utah,49045,Tooele,40.6356,-112.3054,,,1835.3,polygon,FALSE,America/Denver,84074
South Ogden-UT,1840021342,South Ogden,South Ogden,UT,South Ogden-UT,Utah,49057,Weber,41.1715,-111.9568,17094,17094,1792,polygon,TRUE,America/Denver,84405 84403
Hildale-UT,1840020315,Hildale,Hildale,UT,Hildale-UT,Utah,49053,Washington,37.0171,-112.9786,2945,2945,203,polygon,TRUE,America/Denver,84784
Central Valley-UT,1840022479,Central Valley,Central Valley,UT,Central Valley-UT,Utah,49041,Sevier,38.6991,-112.0966,561,561,103,polygon,TRUE,America/Denver,84754
Columbia-UT,1840037152,Columbia,Columbia,UT,Columbia-UT,Utah,49007,Carbon,39.5169,-110.3827,,,38.5,point,FALSE,America/Denver,84520
Minersville-UT,1840022508,Minersville,Minersville,UT,Minersville-UT,Utah,49001,Beaver,38.2333,-112.9603,887,887,157,polygon,TRUE,America/Denver,84752
Fremont-UT,1840026747,Fremont,Fremont,UT,Fremont-UT,Utah,49055,Wayne,38.4555,-111.6149,,,57.9,polygon,FALSE,America/Denver,84747
Harrisville-UT,1840020129,Harrisville,Harrisville,UT,Harrisville-UT,Utah,49057,Weber,41.2854,-111.986,6376,6376,811,polygon,TRUE,America/Denver,84404 84414
North Salt Lake-UT,1840020144,North Salt Lake,North Salt Lake,UT,North Salt Lake-UT,Utah,49011,Davis,40.8439,-111.9188,20301,20301,926,polygon,TRUE,America/Denver,84054
Spanish Fork-UT,1840021398,Spanish Fork,Spanish Fork,UT,Spanish Fork-UT,Utah,49049,Utah,40.11,-111.6407,38861,38861,961,polygon,TRUE,America/Denver,84660
Oak City-UT,1840022460,Oak City,Oak City,UT,Oak City-UT,Utah,49027,Millard,39.3769,-112.3399,644,644,282,polygon,TRUE,America/Denver,84649
Orem-UT,1840020171,Orem,Orem,UT,Orem-UT,Utah,49049,Utah,40.2988,-111.699,97499,97499,2065,polygon,TRUE,America/Denver,84097 84058 84057 84059
Penrose-UT,1840037205,Penrose,Penrose,UT,Penrose-UT,Utah,49003,Box Elder,41.6508,-112.3016,,,31.5,point,FALSE,America/Denver,84337
West Valley City-UT,1840021389,West Valley City,West Valley City,UT,West Valley City-UT,Utah,49035,Salt Lake,40.6889,-112.0115,136574,136574,1486,polygon,TRUE,America/Denver,84119 84120 84128 84118 84125 84126 84127 84130 84131 84170
Goshen-UT,1840021403,Goshen,Goshen,UT,Goshen-UT,Utah,49049,Utah,39.951,-111.9008,949,949,445,polygon,TRUE,America/Denver,84633
Caineville-UT,1840037151,Caineville,Caineville,UT,Caineville-UT,Utah,49055,Wayne,38.333,-111.0188,,,3.2,point,FALSE,America/Denver,84775
Enoch-UT,1840020273,Enoch,Enoch,UT,Enoch-UT,Utah,49021,Iron,37.7665,-113.0431,6568,6568,351,polygon,TRUE,America/Denver,84721
Spanish Valley-UT,1840037249,Spanish Valley,Spanish Valley,UT,Spanish Valley-UT,Utah,49037,San Juan,38.4743,-109.421,,,143.7,polygon,FALSE,America/Denver,84532
