City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Riner-VA,1840024792,Riner,Riner,VA,Riner-VA,Virginia,51121,Montgomery,37.0675,-80.4405,,,263.7,polygon,FALSE,America/New_York,24149
Powhatan-VA,1840037427,Powhatan,Powhatan,VA,Powhatan-VA,Virginia,51145,Powhatan,37.5427,-77.9267,,,88.9,polygon,FALSE,America/New_York,23139
Natural Bridge-VA,1840037316,Natural Bridge,Natural Bridge,VA,Natural Bridge-VA,Virginia,51163,Rockbridge,37.6301,-79.5431,,,12,point,FALSE,America/New_York,24578
Chamberlayne Heights-VA,1840037429,Chamberlayne Heights,Chamberlayne Heights,VA,Chamberlayne Heights-VA,Virginia,51087,Henrico,37.6274,-77.4322,,,661,point,FALSE,America/New_York,23227
Manassas Park-VA,1840003838,Manassas Park,Manassas Park,VA,Manassas Park-VA,Virginia,51685,Manassas Park (city),38.7717,-77.4448,15915,15915,2420,polygon,TRUE,America/New_York,20111
McClure-VA,1840037348,McClure,McClure,VA,McClure-VA,Virginia,51051,Dickenson,37.1026,-82.3763,,,70.1,point,FALSE,America/New_York,24269
Brownsburg-VA,1840037333,Brownsburg,Brownsburg,VA,Brownsburg-VA,Virginia,51163,Rockbridge,37.9285,-79.3192,,,45.6,point,FALSE,America/New_York,24415
Burgess-VA,1840037335,Burgess,Burgess,VA,Burgess-VA,Virginia,51133,Northumberland,37.8832,-76.3477,,,24.8,point,FALSE,America/New_York,22432
Lake Barcroft-VA,1840006033,Lake Barcroft,Lake Barcroft,VA,Lake Barcroft-VA,Virginia,51059,Fairfax,38.8514,-77.1579,,,1093.7,polygon,FALSE,America/New_York,22044 22041
Clover-VA,1840024810,Clover,Clover,VA,Clover-VA,Virginia,51083,Halifax,36.839,-78.7284,,,86.6,polygon,FALSE,America/New_York,23962 24534
Columbia-VA,1840006343,Columbia,Columbia,VA,Columbia-VA,Virginia,51065,Fluvanna,37.7533,-78.1638,80,80,159,polygon,TRUE,America/New_York,23038
Verona-VA,1840006248,Verona,Verona,VA,Verona-VA,Virginia,51015,Augusta,38.1939,-79.0087,,,764,polygon,FALSE,America/New_York,24401 24482
Fairfax-VA,1840001650,Fairfax,Fairfax,VA,Fairfax-VA,Virginia,51600,Fairfax (city),38.8531,-77.2998,24164,24164,1495,polygon,TRUE,America/New_York,22030 22031 22034 22036 22037 22038
Falmouth-VA,1840006215,Falmouth,Falmouth,VA,Falmouth-VA,Virginia,51179,Stafford,38.3319,-77.4655,,,436.2,polygon,FALSE,America/New_York,22405
Scottsburg-VA,1840006506,Scottsburg,Scottsburg,VA,Scottsburg-VA,Virginia,51083,Halifax,36.7588,-78.7914,131,131,68,polygon,TRUE,America/New_York,24589
Ashburn-VA,1840024495,Ashburn,Ashburn,VA,Ashburn-VA,Virginia,51107,Loudoun,39.0302,-77.4712,,,1456.5,polygon,FALSE,America/New_York,20166 20147 20146 20149
Big Stone Gap-VA,1840006481,Big Stone Gap,Big Stone Gap,VA,Big Stone Gap-VA,Virginia,51195,Wise,36.8615,-82.7774,7885,5372,424,polygon,TRUE,America/New_York,24219
Gwynn-VA,1840026848,Gwynn,Gwynn,VA,Gwynn-VA,Virginia,51115,Mathews,37.4984,-76.2883,,,119,polygon,FALSE,America/New_York,23064 23066
Jewell Valley-VA,1840037386,Jewell Valley,Jewell Valley,VA,Jewell Valley-VA,Virginia,51027,Buchanan,37.2473,-81.8015,,,3.3,point,FALSE,America/New_York,24622
Waynesboro-VA,1840003848,Waynesboro,Waynesboro,VA,Waynesboro-VA,Virginia,51820,Waynesboro (city),38.0673,-78.9012,21887,21887,562,polygon,TRUE,America/New_York,22980
University Heights-VA,1840037464,University Heights,University Heights,VA,University Heights-VA,Virginia,51003,Albemarle,38.041,-78.5222,,,810.7,point,FALSE,America/New_York,22903
Batesville-VA,1840037329,Batesville,Batesville,VA,Batesville-VA,Virginia,51003,Albemarle,37.9957,-78.7222,,,75,point,FALSE,America/New_York,22903
Whitetop-VA,1840037408,Whitetop,Whitetop,VA,Whitetop-VA,Virginia,51077,Grayson,36.6015,-81.6257,,,29.8,point,FALSE,America/New_York,24292
Nellysford-VA,1840024714,Nellysford,Nellysford,VA,Nellysford-VA,Virginia,51125,Nelson,37.913,-78.8828,,,52.1,polygon,FALSE,America/New_York,22958
Montrose-VA,1840006389,Montrose,Montrose,VA,Montrose-VA,Virginia,51087,Henrico,37.5199,-77.3771,,,1147,polygon,FALSE,America/New_York,23223 23231
Lexington-VA,1840001689,Lexington,Lexington,VA,Lexington-VA,Virginia,51678,Lexington (city),37.7825,-79.444,8765,7045,1089,polygon,TRUE,America/New_York,24450
Clinchco-VA,1840006458,Clinchco,Clinchco,VA,Clinchco-VA,Virginia,51051,Dickenson,37.1598,-82.3564,312,312,42,polygon,TRUE,America/New_York,24226
Dante-VA,1840026885,Dante,Dante,VA,Dante-VA,Virginia,51167,Russell,36.9791,-82.2961,,,175.6,polygon,FALSE,America/New_York,24237 24272
Ivor-VA,1840006521,Ivor,Ivor,VA,Ivor-VA,Virginia,51175,Southampton,36.9052,-76.8978,327,327,115,polygon,TRUE,America/New_York,23866
Montross-VA,1840006283,Montross,Montross,VA,Montross-VA,Virginia,51193,Westmoreland,38.0941,-76.8229,389,389,145,polygon,TRUE,America/New_York,22520
Wintergreen-VA,1840024717,Wintergreen,Wintergreen,VA,Wintergreen-VA,Virginia,51125,Nelson,37.9161,-78.9382,,,30.9,polygon,FALSE,America/New_York,22958 22967
Vesta-VA,1840037281,Vesta,Vesta,VA,Vesta-VA,Virginia,51141,Patrick,36.7168,-80.3578,,,26.2,point,FALSE,America/New_York,24120
Henry-VA,1840037346,Henry,Henry,VA,Henry-VA,Virginia,51067,Franklin,36.8293,-79.9917,,,48.8,point,FALSE,America/New_York,24102
Jonesville-VA,1840006534,Jonesville,Jonesville,VA,Jonesville-VA,Virginia,51105,Lee,36.6871,-83.1152,956,956,335,polygon,TRUE,America/New_York,24263
Evington-VA,1840037376,Evington,Evington,VA,Evington-VA,Virginia,51031,Campbell,37.2338,-79.2895,,,72.5,point,FALSE,America/New_York,24550
Duffield-VA,1840006542,Duffield,Duffield,VA,Duffield-VA,Virginia,51169,Scott,36.7196,-82.7962,85,85,53,polygon,TRUE,America/New_York,24244
McKenney-VA,1840006463,McKenney,McKenney,VA,McKenney-VA,Virginia,51053,Dinwiddie,36.9853,-77.7219,482,482,200,polygon,TRUE,America/New_York,23872
Fancy Gap-VA,1840006524,Fancy Gap,Fancy Gap,VA,Fancy Gap-VA,Virginia,51035,Carroll,36.6771,-80.6997,,,19.5,polygon,FALSE,America/New_York,24328
Goshen-VA,1840006316,Goshen,Goshen,VA,Goshen-VA,Virginia,51163,Rockbridge,37.9906,-79.5071,354,354,80,polygon,TRUE,America/New_York,24439
Onley-VA,1840006327,Onley,Onley,VA,Onley-VA,Virginia,51001,Accomack,37.6917,-75.7182,513,513,243,polygon,TRUE,America/New_York,23417 23418
Exmore-VA,1840006415,Exmore,Exmore,VA,Exmore-VA,Virginia,51131,Northampton,37.5295,-75.8283,1442,1442,213,polygon,TRUE,America/New_York,23350
Schuyler-VA,1840024715,Schuyler,Schuyler,VA,Schuyler-VA,Virginia,51125,Nelson,37.7939,-78.7002,,,46.2,polygon,FALSE,America/New_York,22969
Kenbridge-VA,1840006497,Kenbridge,Kenbridge,VA,Kenbridge-VA,Virginia,51111,Lunenburg,36.9608,-78.1283,1221,1221,204,polygon,TRUE,America/New_York,23944
