City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Albany-VT,1840004046,Albany,Albany,VT,Albany-VT,Vermont,50019,Orleans,44.7302,-72.381,184,184,46,polygon,TRUE,America/New_York,5820
Arlington-VT,1840002897,Arlington,Arlington,VT,Arlington-VT,Vermont,50003,Bennington,43.0691,-73.1475,,,243.9,polygon,FALSE,America/New_York,05252 05250
Barnet-VT,1840025345,Barnet,Barnet,VT,Barnet-VT,Vermont,50005,Caledonia,44.2956,-72.0496,,,85,polygon,FALSE,America/New_York,5821
Groton-VT,1840025348,Groton,Groton,VT,Groton-VT,Vermont,50005,Caledonia,44.214,-72.1968,,,112.2,polygon,FALSE,America/New_York,5046
Barre-VT,1840002186,Barre,Barre,VT,Barre-VT,Vermont,50023,Washington,44.1997,-72.5083,20857,8710,852,polygon,TRUE,America/New_York,5641
Shelburne-VT,1840025352,Shelburne,Shelburne,VT,Shelburne-VT,Vermont,50007,Chittenden,44.3759,-73.2265,,,300,polygon,FALSE,America/New_York,5482
West Pawlet-VT,1840037485,West Pawlet,West Pawlet,VT,West Pawlet-VT,Vermont,50021,Rutland,43.3537,-73.2521,,,121.8,point,FALSE,America/New_York,5775
Chelsea-VT,1840037480,Chelsea,Chelsea,VT,Chelsea-VT,Vermont,50017,Orange,43.9871,-72.4522,,,115.9,polygon,FALSE,America/New_York,5038
Irasburg-VT,1840025332,Irasburg,Irasburg,VT,Irasburg-VT,Vermont,50019,Orleans,44.8002,-72.2849,,,82.3,polygon,FALSE,America/New_York,5845
Waterbury-VT,1840004103,Waterbury,Waterbury,VT,Waterbury-VT,Vermont,50023,Washington,44.3429,-72.7429,3092,1835,375,polygon,TRUE,America/New_York,05676 05671
East Montpelier-VT,1840023972,East Montpelier,East Montpelier,VT,East Montpelier-VT,Vermont,50023,Washington,44.2695,-72.4881,,,140.8,polygon,FALSE,America/New_York,5651
Saxtons River-VT,1840004338,Saxtons River,Saxtons River,VT,Saxtons River-VT,Vermont,50025,Windham,43.139,-72.5101,545,545,448,polygon,TRUE,America/New_York,5154
Winooski-VT,1840002312,Winooski,Winooski,VT,Winooski-VT,Vermont,50007,Chittenden,44.4951,-73.1842,7128,7128,1922,polygon,TRUE,America/New_York,5404
Island Pond-VT,1840002269,Island Pond,Island Pond,VT,Island Pond-VT,Vermont,50009,Essex,44.8125,-71.8862,,,370.6,polygon,FALSE,America/New_York,5846
Manchester Center-VT,1840002899,Manchester Center,Manchester Center,VT,Manchester Center-VT,Vermont,50003,Bennington,43.1822,-73.0362,,,173.2,polygon,FALSE,America/New_York,5255
Cavendish-VT,1840025405,Cavendish,Cavendish,VT,Cavendish-VT,Vermont,50027,Windsor,43.3863,-72.6065,,,58.8,polygon,FALSE,America/New_York,5142
West Topsham-VT,1840037486,West Topsham,West Topsham,VT,West Topsham-VT,Vermont,50017,Orange,44.1151,-72.3118,,,64.8,point,FALSE,America/New_York,5086
Newport-VT,1840002270,Newport,Newport,VT,Newport-VT,Vermont,50019,Orleans,44.9375,-72.2088,3776,4328,286,polygon,TRUE,America/New_York,5855
Northfield-VT,1840004102,Northfield,Northfield,VT,Northfield-VT,Vermont,50023,Washington,44.1531,-72.6557,,,475.7,polygon,FALSE,America/New_York,5663
North Bennington-VT,1840004301,North Bennington,North Bennington,VT,North Bennington-VT,Vermont,50003,Bennington,42.924,-73.2411,1619,1619,335,polygon,TRUE,America/New_York,5257
Perkinsville-VT,1840004160,Perkinsville,Perkinsville,VT,Perkinsville-VT,Vermont,50027,Windsor,43.3708,-72.5159,123,123,260,polygon,TRUE,America/New_York,5151
Concord-VT,1840025327,Concord,Concord,VT,Concord-VT,Vermont,50009,Essex,44.4323,-71.8863,,,166,polygon,FALSE,America/New_York,5824
Montpelier-VT,1840002187,Montpelier,Montpelier,VT,Montpelier-VT,Vermont,50023,Washington,44.2658,-72.5717,7535,7535,289,polygon,TRUE,America/New_York,05602 05601 05603 05604 05609 05620 05633
Plainfield-VT,1840023974,Plainfield,Plainfield,VT,Plainfield-VT,Vermont,50023,Washington,44.2766,-72.427,,,284.3,polygon,FALSE,America/New_York,5667
Troy-VT,1840025335,Troy,Troy,VT,Troy-VT,Vermont,50019,Orleans,44.909,-72.4046,,,116.6,polygon,FALSE,America/New_York,05868 05859
Manchester-VT,1840004300,Manchester,Manchester,VT,Manchester-VT,Vermont,50003,Bennington,43.161,-73.0709,737,737,80,polygon,TRUE,America/New_York,05255 05254
North Wolcott-VT,1840037488,North Wolcott,North Wolcott,VT,North Wolcott-VT,Vermont,50015,Lamoille,44.6112,-72.4604,,,46.1,point,FALSE,America/New_York,5680
Windsor-VT,1840025414,Windsor,Windsor,VT,Windsor-VT,Vermont,50027,Windsor,43.4799,-72.3936,,,1438.7,polygon,FALSE,America/New_York,5089
Brattleboro-VT,1840002940,Brattleboro,Brattleboro,VT,Brattleboro-VT,Vermont,50025,Windham,42.8588,-72.5628,,,566.7,polygon,FALSE,America/New_York,05301 05302 05303 05304
Rochester-VT,1840025412,Rochester,Rochester,VT,Rochester-VT,Vermont,50027,Windsor,43.8743,-72.8052,,,157.1,polygon,FALSE,America/New_York,5767
Jeffersonville-VT,1840004078,Jeffersonville,Jeffersonville,VT,Jeffersonville-VT,Vermont,50015,Lamoille,44.6427,-72.8282,765,765,380,polygon,TRUE,America/New_York,5464
Beecher Falls-VT,1840025316,Beecher Falls,Beecher Falls,VT,Beecher Falls-VT,Vermont,50009,Essex,45.009,-71.4935,,,54.3,polygon,FALSE,America/New_York,05903 05902
Bennington-VT,1840002898,Bennington,Bennington,VT,Bennington-VT,Vermont,50003,Bennington,42.8746,-73.1852,,,2061.3,polygon,FALSE,America/New_York,5201
Brandon-VT,1840002633,Brandon,Brandon,VT,Brandon-VT,Vermont,50021,Rutland,43.8011,-73.0843,,,620.8,polygon,FALSE,America/New_York,5733
East Barre-VT,1840023971,East Barre,East Barre,VT,East Barre-VT,Vermont,50023,Washington,44.1498,-72.4498,,,196.1,polygon,FALSE,America/New_York,5641
Williamstown-VT,1840025394,Williamstown,Williamstown,VT,Williamstown-VT,Vermont,50017,Orange,44.1218,-72.5427,,,369.1,polygon,FALSE,America/New_York,5679
Burlington-VT,1840002310,Burlington,Burlington,VT,Burlington-VT,Vermont,50007,Chittenden,44.4877,-73.2314,108331,42260,1583,polygon,TRUE,America/New_York,05405 05401 05408 05402 05406
South Shaftsbury-VT,1840004303,South Shaftsbury,South Shaftsbury,VT,South Shaftsbury-VT,Vermont,50003,Bennington,42.9411,-73.202,,,490.3,polygon,FALSE,America/New_York,5262
