City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Prairie Ridge-WA,1840037882,Prairie Ridge,Prairie Ridge,WA,Prairie Ridge-WA,Washington,53053,Pierce,47.1443,-122.1408,,,1349.8,polygon,FALSE,America/Los_Angeles,98360 98391
Edison-WA,1840017314,Edison,Edison,WA,Edison-WA,Washington,53057,Skagit,48.5602,-122.4311,,,127.4,polygon,FALSE,America/Los_Angeles,98232
Packwood-WA,1840025265,Packwood,Packwood,WA,Packwood-WA,Washington,53041,Lewis,46.6085,-121.6702,,,213.9,polygon,FALSE,America/Los_Angeles,98361
Wautauga Beach-WA,1840037725,Wautauga Beach,Wautauga Beach,WA,Wautauga Beach-WA,Washington,53035,Kitsap,47.5862,-122.5482,,,261.7,point,FALSE,America/Los_Angeles,98366
Harper-WA,1840037659,Harper,Harper,WA,Harper-WA,Washington,53035,Kitsap,47.5207,-122.5196,,,342.1,point,FALSE,America/Los_Angeles,98366
Telma-WA,1840037825,Telma,Telma,WA,Telma-WA,Washington,53007,Chelan,47.8432,-120.8157,,,1.4,point,FALSE,America/Los_Angeles,98826
Kahlotus-WA,1840018478,Kahlotus,Kahlotus,WA,Kahlotus-WA,Washington,53021,Franklin,46.6436,-118.5566,189,189,156,polygon,TRUE,America/Los_Angeles,99335
Mondovi-WA,1840037576,Mondovi,Mondovi,WA,Mondovi-WA,Washington,53043,Lincoln,47.6813,-118.0164,,,9.4,point,FALSE,America/Los_Angeles,99122
Washtucna-WA,1840022312,Washtucna,Washtucna,WA,Washtucna-WA,Washington,53001,Adams,46.7539,-118.3104,195,195,108,polygon,TRUE,America/Los_Angeles,99371
Pleasant Hill-WA,1840037805,Pleasant Hill,Pleasant Hill,WA,Pleasant Hill-WA,Washington,53033,King,47.6154,-121.9096,,,25.8,point,FALSE,America/Los_Angeles,98014
Toledo-WA,1840021162,Toledo,Toledo,WA,Toledo-WA,Washington,53041,Lewis,46.4412,-122.8494,738,738,708,polygon,TRUE,America/Los_Angeles,98591
Wabash-WA,1840037831,Wabash,Wabash,WA,Wabash-WA,Washington,53033,King,47.2429,-122.0576,,,56.2,point,FALSE,America/Los_Angeles,98022
Renton-WA,1840019827,Renton,Renton,WA,Renton-WA,Washington,53033,King,47.4757,-122.1904,100953,100953,1663,polygon,TRUE,America/Los_Angeles,98059 98058 98057 98056 98055
Chehalis-WA,1840018472,Chehalis,Chehalis,WA,Chehalis-WA,Washington,53041,Lewis,46.6649,-122.966,7498,7498,523,polygon,TRUE,America/Los_Angeles,98532
Central Valley-WA,1840037628,Central Valley,Central Valley,WA,Central Valley-WA,Washington,53035,Kitsap,47.6632,-122.6499,,,157.5,point,FALSE,America/Los_Angeles,98370
Lake City-WA,1840037674,Lake City,Lake City,WA,Lake City-WA,Washington,53053,Pierce,47.1487,-122.5512,,,1944.4,point,FALSE,America/Los_Angeles,98498
Megler-WA,1840037572,Megler,Megler,WA,Megler-WA,Washington,53049,Pacific,46.2509,-123.8576,,,9.9,point,FALSE,America/Los_Angeles,98638
Alder-WA,1840023829,Alder,Alder,WA,Alder-WA,Washington,53053,Pierce,46.7872,-122.2666,,,14.4,polygon,FALSE,America/Los_Angeles,98328
Ronald-WA,1840018438,Ronald,Ronald,WA,Ronald-WA,Washington,53037,Kittitas,47.2338,-121.0335,,,187.8,polygon,FALSE,America/Los_Angeles,98940
Belvedere-WA,1840037529,Belvedere,Belvedere,WA,Belvedere-WA,Washington,53047,Okanogan,48.0499,-118.985,,,4.6,point,FALSE,America/Los_Angeles,99116
Waverly-WA,1840022291,Waverly,Waverly,WA,Waverly-WA,Washington,53063,Spokane,47.338,-117.2313,110,110,102,polygon,TRUE,America/Los_Angeles,99012 99039
Turner Corner-WA,1840037720,Turner Corner,Turner Corner,WA,Turner Corner-WA,Washington,53061,Snohomish,47.8045,-122.1435,,,161,point,FALSE,America/Los_Angeles,98072
Lofall-WA,1840023798,Lofall,Lofall,WA,Lofall-WA,Washington,53035,Kitsap,47.8113,-122.6564,,,260.6,polygon,FALSE,America/Los_Angeles,98370
Kennydale-WA,1840037672,Kennydale,Kennydale,WA,Kennydale-WA,Washington,53033,King,47.5207,-122.2068,,,2263.7,point,FALSE,America/Los_Angeles,98056
Easton-WA,1840017354,Easton,Easton,WA,Easton-WA,Washington,53037,Kittitas,47.2405,-121.1733,,,122.5,polygon,FALSE,America/Los_Angeles,98925
Navy Yard City-WA,1840018407,Navy Yard City,Navy Yard City,WA,Navy Yard City-WA,Washington,53035,Kitsap,47.5508,-122.6654,,,1659.8,polygon,FALSE,America/Los_Angeles,98312
Mercer Island-WA,1840019830,Mercer Island,Mercer Island,WA,Mercer Island-WA,Washington,53033,King,47.5624,-122.2265,25134,25134,1535,polygon,TRUE,America/Los_Angeles,98040
Lynnwood-WA,1840019788,Lynnwood,Lynnwood,WA,Lynnwood-WA,Washington,53061,Snohomish,47.8285,-122.3034,38092,38092,1873,polygon,TRUE,America/Los_Angeles,98037 98036 98046
Coulee City-WA,1840022293,Coulee City,Coulee City,WA,Coulee City-WA,Washington,53025,Grant,47.6123,-119.289,569,569,243,polygon,TRUE,America/Los_Angeles,99115
Douglas-WA,1840037763,Douglas,Douglas,WA,Douglas-WA,Washington,53017,Douglas,47.6212,-120.0048,,,16.4,point,FALSE,America/Los_Angeles,98858
Centralia-WA,1840018471,Centralia,Centralia,WA,Centralia-WA,Washington,53041,Lewis,46.7226,-122.9695,41077,16982,875,polygon,TRUE,America/Los_Angeles,98531
Colbert-WA,1840037633,Colbert,Colbert,WA,Colbert-WA,Washington,53063,Spokane,47.8266,-117.3419,,,115.6,point,FALSE,America/Los_Angeles,99005
Bryn Mawr-WA,1840037837,Bryn Mawr,Bryn Mawr,WA,Bryn Mawr-WA,Washington,53033,King,47.5034,-122.2329,,,2502.5,point,FALSE,America/Los_Angeles,98178
Silverdale-WA,1840018406,Silverdale,Silverdale,WA,Silverdale-WA,Washington,53035,Kitsap,47.6663,-122.6828,,,595.7,polygon,FALSE,America/Los_Angeles,98311 98370 98383
Lyle-WA,1840017402,Lyle,Lyle,WA,Lyle-WA,Washington,53039,Klickitat,45.6956,-121.2805,,,579.9,polygon,FALSE,America/Los_Angeles,98635
Malott-WA,1840025236,Malott,Malott,WA,Malott-WA,Washington,53047,Okanogan,48.2919,-119.6954,,,155.5,polygon,FALSE,America/Los_Angeles,98840 98829
Mountlake Terrace-WA,1840019792,Mountlake Terrace,Mountlake Terrace,WA,Mountlake Terrace-WA,Washington,53061,Snohomish,47.7921,-122.3077,21182,21182,2015,polygon,TRUE,America/Los_Angeles,98043
Ilwaco-WA,1840018470,Ilwaco,Ilwaco,WA,Ilwaco-WA,Washington,53049,Pacific,46.3099,-124.0417,929,929,170,polygon,TRUE,America/Los_Angeles,98624
Fairwood-WA,1840037517,Fairwood,Fairwood,WA,Fairwood-WA,Washington,53033,King,47.4467,-122.143,,,1858.6,polygon,FALSE,America/Los_Angeles,98058
