City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Ixonia-WI,1840004349,Ixonia,Ixonia,WI,Ixonia-WI,Wisconsin,55055,Jefferson,43.1396,-88.5962,,,551.6,polygon,FALSE,America/Chicago,53036
Ridgeway-WI,1840002963,Ridgeway,Ridgeway,WI,Ridgeway-WI,Wisconsin,55049,Iowa,42.9985,-89.9932,635,635,195,polygon,TRUE,America/Chicago,53582
Summit Corners-WI,1840038033,Summit Corners,Summit Corners,WI,Summit Corners-WI,Wisconsin,55133,Waukesha,43.0767,-88.4701,,,33.4,point,FALSE,America/Chicago,53066
Colfax-WI,1840002144,Colfax,Colfax,WI,Colfax-WI,Wisconsin,55033,Dunn,44.9974,-91.7262,1161,1161,324,polygon,TRUE,America/Chicago,54730
Wyeville-WI,1840002569,Wyeville,Wyeville,WI,Wyeville-WI,Wisconsin,55081,Monroe,44.0279,-90.3861,147,147,101,polygon,TRUE,America/Chicago,54666 54660
Friesland-WI,1840002705,Friesland,Friesland,WI,Friesland-WI,Wisconsin,55021,Columbia,43.5886,-89.0669,354,354,134,polygon,TRUE,America/Chicago,53935
Hortonville-WI,1840002402,Hortonville,Hortonville,WI,Hortonville-WI,Wisconsin,55087,Outagamie,44.3365,-88.6362,2734,2734,304,polygon,TRUE,America/Chicago,54944
Merton-WI,1840003021,Merton,Merton,WI,Merton-WI,Wisconsin,55133,Waukesha,43.1423,-88.3089,3592,3592,446,polygon,TRUE,America/Chicago,53089 53029 53056
Kaukauna-WI,1840002403,Kaukauna,Kaukauna,WI,Kaukauna-WI,Wisconsin,55087,Outagamie,44.2777,-88.2645,15900,15900,799,polygon,TRUE,America/Chicago,54130
Gotham-WI,1840025441,Gotham,Gotham,WI,Gotham-WI,Wisconsin,55103,Richland,43.2225,-90.297,,,119.2,polygon,FALSE,America/Chicago,53540 53556
Aniwa-WI,1840002257,Aniwa,Aniwa,WI,Aniwa-WI,Wisconsin,55115,Shawano,45.0114,-89.2088,245,245,45,polygon,TRUE,America/Chicago,54408 54414
South Range-WI,1840038025,South Range,South Range,WI,South Range-WI,Wisconsin,55031,Douglas,46.608,-91.9835,,,20.3,point,FALSE,America/Chicago,54874
Winter-WI,1840001996,Winter,Winter,WI,Winter-WI,Wisconsin,55113,Sawyer,45.8221,-91.013,296,296,144,polygon,TRUE,America/Chicago,54896
Dodge-WI,1840025361,Dodge,Dodge,WI,Dodge-WI,Wisconsin,55121,Trempealeau,44.1345,-91.5485,,,77.7,polygon,FALSE,America/Chicago,54625
