City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Rossmore-WV,1840038170,Rossmore,Rossmore,WV,Rossmore-WV,West Virginia,54045,Logan,37.805,-81.9923,,,83.7,polygon,FALSE,America/New_York,25601
Mathias-WV,1840038270,Mathias,Mathias,WV,Mathias-WV,West Virginia,54031,Hardy,38.8779,-78.8661,,,19.5,point,FALSE,America/New_York,26812
Hambleton-WV,1840005886,Hambleton,Hambleton,WV,Hambleton-WV,West Virginia,54093,Tucker,39.0813,-79.6455,225,225,717,polygon,TRUE,America/New_York,26269
Thurmond-WV,1840006302,Thurmond,Thurmond,WV,Thurmond-WV,West Virginia,54019,Fayette,37.9607,-81.0795,5,5,20,polygon,TRUE,America/New_York,25936
Newell-WV,1840005402,Newell,Newell,WV,Newell-WV,West Virginia,54029,Hancock,40.6179,-80.5998,,,1058.6,polygon,FALSE,America/New_York,26050
Bolivar-WV,1840005760,Bolivar,Bolivar,WV,Bolivar-WV,West Virginia,54037,Jefferson,39.3242,-77.7517,1046,1046,932,polygon,TRUE,America/New_York,25425
Shinnston-WV,1840005769,Shinnston,Shinnston,WV,Shinnston-WV,West Virginia,54033,Harrison,39.3923,-80.2989,2161,2161,499,polygon,TRUE,America/New_York,26431
Wayne-WV,1840006264,Wayne,Wayne,WV,Wayne-WV,West Virginia,54099,Wayne,38.2254,-82.4415,1366,1366,718,polygon,TRUE,America/New_York,25570
Bayard-WV,1840005862,Bayard,Bayard,WV,Bayard-WV,West Virginia,54023,Grant,39.2711,-79.3662,272,272,337,polygon,TRUE,America/New_York,26707
Colcord-WV,1840038122,Colcord,Colcord,WV,Colcord-WV,West Virginia,54081,Raleigh,37.9443,-81.4371,,,76.3,point,FALSE,America/New_York,25060
Pettry-WV,1840038194,Pettry,Pettry,WV,Pettry-WV,West Virginia,54055,Mercer,37.4362,-80.964,,,9.3,point,FALSE,America/New_York,24740
Van-WV,1840025689,Van,Van,WV,Van-WV,West Virginia,54005,Boone,37.9713,-81.7138,,,123,polygon,FALSE,America/New_York,25206
Masontown-WV,1840005655,Masontown,Masontown,WV,Masontown-WV,West Virginia,54077,Preston,39.5512,-79.8003,548,548,760,polygon,TRUE,America/New_York,26542
Union-WV,1840006386,Union,Union,WV,Union-WV,West Virginia,54063,Monroe,37.5905,-80.5419,552,552,477,polygon,TRUE,America/New_York,24983
Maybeury-WV,1840025734,Maybeury,Maybeury,WV,Maybeury-WV,West Virginia,54047,McDowell,37.3675,-81.3572,,,41,polygon,FALSE,America/New_York,24861
Bolt-WV,1840025707,Bolt,Bolt,WV,Bolt-WV,West Virginia,54081,Raleigh,37.7624,-81.4189,,,77.7,polygon,FALSE,America/New_York,25817
Nutter Fort-WV,1840005774,Nutter Fort,Nutter Fort,WV,Nutter Fort-WV,West Virginia,54033,Harrison,39.2604,-80.3265,1570,1570,681,polygon,TRUE,America/New_York,26301
Dailey-WV,1840025631,Dailey,Dailey,WV,Dailey-WV,West Virginia,54083,Randolph,38.7968,-79.8967,,,70.4,polygon,FALSE,America/New_York,26259 26253
Deep Water-WV,1840038236,Deep Water,Deep Water,WV,Deep Water-WV,West Virginia,54019,Fayette,38.1217,-81.2528,,,259.5,polygon,FALSE,America/New_York,25057
Montrose-WV,1840005995,Montrose,Montrose,WV,Montrose-WV,West Virginia,54083,Randolph,39.0671,-79.8144,156,156,96,polygon,TRUE,America/New_York,26283
Star City-WV,1840005650,Star City,Star City,WV,Star City-WV,West Virginia,54061,Monongalia,39.6587,-79.9868,2024,2024,1598,polygon,TRUE,America/New_York,26505
Mineral Wells-WV,1840005783,Mineral Wells,Mineral Wells,WV,Mineral Wells-WV,West Virginia,54107,Wood,39.1806,-81.513,,,31.6,polygon,FALSE,America/New_York,26150
Eleanor-WV,1840006179,Eleanor,Eleanor,WV,Eleanor-WV,West Virginia,54079,Putnam,38.5374,-81.9256,1603,1603,291,polygon,TRUE,America/New_York,25168 25070
Clendenin-WV,1840006205,Clendenin,Clendenin,WV,Clendenin-WV,West Virginia,54039,Kanawha,38.486,-81.3502,1173,1173,313,polygon,TRUE,America/New_York,25045
Pea Ridge-WV,1840038311,Pea Ridge,Pea Ridge,WV,Pea Ridge-WV,West Virginia,54011,Cabell,38.4154,-82.3188,,,760.8,polygon,FALSE,America/New_York,25705 25504
Wellsburg-WV,1840005478,Wellsburg,Wellsburg,WV,Wellsburg-WV,West Virginia,54009,Brooke,40.2811,-80.6102,2657,2657,1057,polygon,TRUE,America/New_York,26070
McMechen-WV,1840005556,McMechen,McMechen,WV,McMechen-WV,West Virginia,54051,Marshall,39.9854,-80.7335,1819,1819,1230,polygon,TRUE,America/New_York,26040
Kimball-WV,1840006427,Kimball,Kimball,WV,Kimball-WV,West Virginia,54047,McDowell,37.4268,-81.5078,173,173,263,polygon,TRUE,America/New_York,24853
Thomas-WV,1840005889,Thomas,Thomas,WV,Thomas-WV,West Virginia,54093,Tucker,39.1458,-79.4958,562,562,48,polygon,TRUE,America/New_York,26260 26292
Laneville-WV,1840038262,Laneville,Laneville,WV,Laneville-WV,West Virginia,54093,Tucker,38.974,-79.4173,,,2.8,point,FALSE,America/New_York,26263
Paw Paw-WV,1840005719,Paw Paw,Paw Paw,WV,Paw Paw-WV,West Virginia,54065,Morgan,39.5313,-78.4553,493,493,359,polygon,TRUE,America/New_York,25434
Brandywine-WV,1840025643,Brandywine,Brandywine,WV,Brandywine-WV,West Virginia,54071,Pendleton,38.6219,-79.2413,,,65.7,polygon,FALSE,America/New_York,26802
Junior-WV,1840005885,Junior,Junior,WV,Junior-WV,West Virginia,54001,Barbour,38.9783,-79.9505,495,495,609,polygon,TRUE,America/New_York,26275 26250
Millstone-WV,1840038274,Millstone,Millstone,WV,Millstone-WV,West Virginia,54013,Calhoun,38.8015,-81.0962,,,17,point,FALSE,America/New_York,25261
Cottageville-WV,1840038234,Cottageville,Cottageville,WV,Cottageville-WV,West Virginia,54035,Jackson,38.8656,-81.8235,,,127,point,FALSE,America/New_York,25239
Fellowsville-WV,1840038131,Fellowsville,Fellowsville,WV,Fellowsville-WV,West Virginia,54077,Preston,39.3307,-79.8245,,,40.2,point,FALSE,America/New_York,26444
Coalton-WV,1840038306,Coalton,Coalton,WV,Coalton-WV,West Virginia,54083,Randolph,38.8965,-79.9679,,,96.8,point,TRUE,America/New_York,26257
Flemington-WV,1840005778,Flemington,Flemington,WV,Flemington-WV,West Virginia,54091,Taylor,39.2666,-80.1287,312,312,395,polygon,TRUE,America/New_York,26347
South Charleston-WV,1840006200,South Charleston,South Charleston,WV,South Charleston-WV,West Virginia,54039,Kanawha,38.3482,-81.711,12859,12859,629,polygon,TRUE,America/New_York,25309 25303
Matewan-WV,1840006362,Matewan,Matewan,WV,Matewan-WV,West Virginia,54059,Mingo,37.6262,-82.1696,454,454,317,polygon,TRUE,America/New_York,25688 25678
Burlington-WV,1840025596,Burlington,Burlington,WV,Burlington-WV,West Virginia,54057,Mineral,39.337,-78.9223,,,77.7,polygon,FALSE,America/New_York,26710
Barrackville-WV,1840005735,Barrackville,Barrackville,WV,Barrackville-WV,West Virginia,54049,Marion,39.5013,-80.1696,1311,1311,734,polygon,TRUE,America/New_York,26559 26554
Edray-WV,1840038301,Edray,Edray,WV,Edray-WV,West Virginia,54075,Pocahontas,38.2746,-80.0915,,,23.2,point,FALSE,America/New_York,24954
Parcoal-WV,1840038286,Parcoal,Parcoal,WV,Parcoal-WV,West Virginia,54101,Webster,38.4604,-80.3731,,,106.6,polygon,FALSE,America/New_York,26288
Beech Bottom-WV,1840005481,Beech Bottom,Beech Bottom,WV,Beech Bottom-WV,West Virginia,54009,Brooke,40.2181,-80.6588,491,491,163,polygon,TRUE,America/New_York,26030 26070 26075
Mannington-WV,1840005733,Mannington,Mannington,WV,Mannington-WV,West Virginia,54049,Marion,39.5274,-80.341,2059,2059,727,polygon,TRUE,America/New_York,26582
Erbacon-WV,1840038130,Erbacon,Erbacon,WV,Erbacon-WV,West Virginia,54101,Webster,38.519,-80.589,,,13.2,point,FALSE,America/New_York,26203
Monongah-WV,1840005736,Monongah,Monongah,WV,Monongah-WV,West Virginia,54049,Marion,39.4598,-80.2185,1106,1106,874,polygon,TRUE,America/New_York,26554
Twilight-WV,1840038182,Twilight,Twilight,WV,Twilight-WV,West Virginia,54005,Boone,37.9252,-81.6177,,,47,polygon,FALSE,America/New_York,25204
Onego-WV,1840038204,Onego,Onego,WV,Onego-WV,West Virginia,54071,Pendleton,38.8479,-79.422,,,22.6,point,FALSE,America/New_York,26884
Apple Grove-WV,1840025640,Apple Grove,Apple Grove,WV,Apple Grove-WV,West Virginia,54053,Mason,38.6663,-82.1706,,,17.4,polygon,FALSE,America/New_York,25502
Strange Creek-WV,1840038294,Strange Creek,Strange Creek,WV,Strange Creek-WV,West Virginia,54007,Braxton,38.5632,-80.8979,,,20.9,point,FALSE,America/New_York,25063
Sylvester-WV,1840006307,Sylvester,Sylvester,WV,Sylvester-WV,West Virginia,54005,Boone,38.008,-81.5623,149,149,228,polygon,TRUE,America/New_York,25193 25181
Bergoo-WV,1840025655,Bergoo,Bergoo,WV,Bergoo-WV,West Virginia,54101,Webster,38.4847,-80.2982,,,36.5,polygon,FALSE,America/New_York,26298
Sissonville-WV,1840006195,Sissonville,Sissonville,WV,Sissonville-WV,West Virginia,54039,Kanawha,38.5042,-81.6398,,,134.4,polygon,FALSE,America/New_York,25320
Buckhannon-WV,1840005997,Buckhannon,Buckhannon,WV,Buckhannon-WV,West Virginia,54097,Upshur,38.9927,-80.2279,8688,5612,739,polygon,TRUE,America/New_York,26201
Ellamore-WV,1840038241,Ellamore,Ellamore,WV,Ellamore-WV,West Virginia,54097,Upshur,38.9243,-80.0904,,,50.6,point,FALSE,America/New_York,26201
Clay-WV,1840006185,Clay,Clay,WV,Clay-WV,West Virginia,54015,Clay,38.4662,-81.0815,464,464,321,polygon,TRUE,America/New_York,25043
Glen Rogers-WV,1840038249,Glen Rogers,Glen Rogers,WV,Glen Rogers-WV,West Virginia,54109,Wyoming,37.7154,-81.4179,,,66.9,point,FALSE,America/New_York,25848
Spencer-WV,1840006110,Spencer,Spencer,WV,Spencer-WV,West Virginia,54087,Roane,38.8025,-81.3531,2774,2158,662,polygon,TRUE,America/New_York,25276
Great Cacapon-WV,1840025594,Great Cacapon,Great Cacapon,WV,Great Cacapon-WV,West Virginia,54065,Morgan,39.6144,-78.2858,,,195.5,polygon,FALSE,America/New_York,25422
Webb-WV,1840038185,Webb,Webb,WV,Webb-WV,West Virginia,54099,Wayne,37.9698,-82.4824,,,59.3,point,FALSE,America/New_York,25669
Durbin-WV,1840006154,Durbin,Durbin,WV,Durbin-WV,West Virginia,54075,Pocahontas,38.5471,-79.8278,287,287,193,polygon,TRUE,America/New_York,26264
Ivydale-WV,1840038257,Ivydale,Ivydale,WV,Ivydale-WV,West Virginia,54015,Clay,38.5357,-81.0348,,,65.9,point,FALSE,America/New_York,25113
Kermit-WV,1840006361,Kermit,Kermit,WV,Kermit-WV,West Virginia,54059,Mingo,37.8425,-82.4084,371,371,365,polygon,TRUE,America/New_York,25674
Bartow-WV,1840025650,Bartow,Bartow,WV,Bartow-WV,West Virginia,54075,Pocahontas,38.5422,-79.7859,,,42.4,polygon,FALSE,America/New_York,24920
Culloden-WV,1840006210,Culloden,Culloden,WV,Culloden-WV,West Virginia,54011,Cabell,38.4159,-82.0722,,,727.9,polygon,FALSE,America/New_York,25510
Justice-WV,1840025712,Justice,Justice,WV,Justice-WV,West Virginia,54059,Mingo,37.5992,-81.8381,,,304.2,polygon,FALSE,America/New_York,24851 25621
Thornton-WV,1840038181,Thornton,Thornton,WV,Thornton-WV,West Virginia,54091,Taylor,39.3456,-79.942,,,48.8,point,FALSE,America/New_York,26440
Daniels-WV,1840038126,Daniels,Daniels,WV,Daniels-WV,West Virginia,54081,Raleigh,37.724,-81.1267,,,571.7,polygon,FALSE,America/New_York,25832
Point Pleasant-WV,1840006048,Point Pleasant,Point Pleasant,WV,Point Pleasant-WV,West Virginia,54053,Mason,38.853,-82.1303,10925,4237,682,polygon,TRUE,America/New_York,25550
Reader-WV,1840025593,Reader,Reader,WV,Reader-WV,West Virginia,54103,Wetzel,39.5689,-80.7316,,,131.6,polygon,FALSE,America/New_York,26167
Clifftop-WV,1840038230,Clifftop,Clifftop,WV,Clifftop-WV,West Virginia,54019,Fayette,38.0043,-80.944,,,20.5,point,FALSE,America/New_York,25831
Core-WV,1840038123,Core,Core,WV,Core-WV,West Virginia,54061,Monongalia,39.6801,-80.1073,,,23,point,FALSE,America/New_York,26541
Kopperston-WV,1840025721,Kopperston,Kopperston,WV,Kopperston-WV,West Virginia,54109,Wyoming,37.7502,-81.5764,,,43.6,polygon,FALSE,America/New_York,24870 24854
Stirrat-WV,1840038293,Stirrat,Stirrat,WV,Stirrat-WV,West Virginia,54045,Logan,37.7265,-82.0023,,,96.4,point,FALSE,America/New_York,25644
Slaty Fork-WV,1840038207,Slaty Fork,Slaty Fork,WV,Slaty Fork-WV,West Virginia,54075,Pocahontas,38.4165,-80.1267,,,1.1,point,FALSE,America/New_York,26291
Kingwood-WV,1840005651,Kingwood,Kingwood,WV,Kingwood-WV,West Virginia,54077,Preston,39.4719,-79.6822,3220,2956,469,polygon,TRUE,America/New_York,26537
Tanner-WV,1840038180,Tanner,Tanner,WV,Tanner-WV,West Virginia,54021,Gilmer,38.9815,-80.9496,,,19.9,point,FALSE,America/New_York,26137
Orlando-WV,1840038193,Orlando,Orlando,WV,Orlando-WV,West Virginia,54007,Braxton,38.8712,-80.5937,,,14,point,FALSE,America/New_York,26412
Mount Nebo-WV,1840038278,Mount Nebo,Mount Nebo,WV,Mount Nebo-WV,West Virginia,54067,Nicholas,38.2001,-80.8512,,,38.7,point,FALSE,America/New_York,26679
Clarksburg-WV,1840005767,Clarksburg,Clarksburg,WV,Clarksburg-WV,West Virginia,54033,Harrison,39.2862,-80.323,42552,16035,636,polygon,TRUE,America/New_York,26301 26330 26302 26306
Fort Ashby-WV,1840005720,Fort Ashby,Fort Ashby,WV,Fort Ashby-WV,West Virginia,54057,Mineral,39.4966,-78.7631,,,323.9,polygon,FALSE,America/New_York,26719
Slanesville-WV,1840038189,Slanesville,Slanesville,WV,Slanesville-WV,West Virginia,54027,Hampshire,39.3732,-78.5228,,,37.6,point,FALSE,America/New_York,26704
Bemis-WV,1840038217,Bemis,Bemis,WV,Bemis-WV,West Virginia,54083,Randolph,38.8121,-79.7389,,,40.1,point,FALSE,America/New_York,26268
Murphytown-WV,1840038153,Murphytown,Murphytown,WV,Murphytown-WV,West Virginia,54107,Wood,39.234,-81.4435,,,77,point,FALSE,America/New_York,26142
Zela-WV,1840038188,Zela,Zela,WV,Zela-WV,West Virginia,54067,Nicholas,38.2859,-80.9498,,,20.9,point,FALSE,America/New_York,26651
Charlton Heights-WV,1840038119,Charlton Heights,Charlton Heights,WV,Charlton Heights-WV,West Virginia,54019,Fayette,38.1255,-81.2333,,,153.9,polygon,FALSE,America/New_York,25040
Bartley-WV,1840025730,Bartley,Bartley,WV,Bartley-WV,West Virginia,54047,McDowell,37.3373,-81.7334,,,61.1,polygon,FALSE,America/New_York,24813
Webster Springs-WV,1840038309,Webster Springs,Webster Springs,WV,Webster Springs-WV,West Virginia,54101,Webster,38.4793,-80.4134,,,632.8,point,TRUE,America/New_York,26288
Camden on Gauley-WV,1840038305,Camden on Gauley,Camden on Gauley,WV,Camden on Gauley-WV,West Virginia,54101,Webster,38.3668,-80.5956,,,159,point,TRUE,America/New_York,26208
Coal City-WV,1840038232,Coal City,Coal City,WV,Coal City-WV,West Virginia,54081,Raleigh,37.6776,-81.218,,,178.1,polygon,FALSE,America/New_York,25813 25823
Bald Knob-WV,1840038111,Bald Knob,Bald Knob,WV,Bald Knob-WV,West Virginia,54005,Boone,37.8709,-81.6357,,,24.3,point,FALSE,America/New_York,25208
Chapmanville-WV,1840006337,Chapmanville,Chapmanville,WV,Chapmanville-WV,West Virginia,54045,Logan,37.9727,-82.0216,1171,1171,688,polygon,TRUE,America/New_York,25508
Wheeling-WV,1840005510,Wheeling,Wheeling,WV,Wheeling-WV,West Virginia,54069,Ohio,40.0753,-80.6951,78088,27375,766,polygon,TRUE,America/New_York,26003
Craigsville-WV,1840006225,Craigsville,Craigsville,WV,Craigsville-WV,West Virginia,54067,Nicholas,38.3246,-80.645,,,193.3,polygon,FALSE,America/New_York,26205
Herndon-WV,1840038251,Herndon,Herndon,WV,Herndon-WV,West Virginia,54109,Wyoming,37.5054,-81.3404,,,50,point,FALSE,America/New_York,24726
Fenwick-WV,1840025668,Fenwick,Fenwick,WV,Fenwick-WV,West Virginia,54067,Nicholas,38.2289,-80.5807,,,93.1,polygon,FALSE,America/New_York,26202
Hurricane-WV,1840006180,Hurricane,Hurricane,WV,Hurricane-WV,West Virginia,54079,Putnam,38.4294,-82.0168,6604,6604,681,polygon,TRUE,America/New_York,25526
Martinsburg-WV,1840005742,Martinsburg,Martinsburg,WV,Martinsburg-WV,West Virginia,54003,Berkeley,39.458,-77.9779,17687,17687,1026,polygon,TRUE,America/New_York,25401 25403 25404 25402
Wolf Summit-WV,1840025616,Wolf Summit,Wolf Summit,WV,Wolf Summit-WV,West Virginia,54033,Harrison,39.2822,-80.462,,,215.9,polygon,FALSE,America/New_York,26426 26422
Ronceverte-WV,1840006286,Ronceverte,Ronceverte,WV,Ronceverte-WV,West Virginia,54025,Greenbrier,37.7503,-80.4715,1736,1736,393,polygon,TRUE,America/New_York,24901 24970
Chauncey-WV,1840038227,Chauncey,Chauncey,WV,Chauncey-WV,West Virginia,54045,Logan,37.7652,-81.9834,,,165.6,polygon,FALSE,America/New_York,25647 25652 25638
Bruno-WV,1840038223,Bruno,Bruno,WV,Bruno-WV,West Virginia,54045,Logan,37.688,-81.8737,,,230.7,polygon,FALSE,America/New_York,25611
McWhorter-WV,1840038272,McWhorter,McWhorter,WV,McWhorter-WV,West Virginia,54033,Harrison,39.1273,-80.3829,,,40.8,point,FALSE,America/New_York,26385
Lost Creek-WV,1840005772,Lost Creek,Lost Creek,WV,Lost Creek-WV,West Virginia,54033,Harrison,39.1627,-80.3484,474,474,188,polygon,TRUE,America/New_York,26385
Glasgow-WV,1840006193,Glasgow,Glasgow,WV,Glasgow-WV,West Virginia,54039,Kanawha,38.2109,-81.4218,870,870,721,polygon,TRUE,America/New_York,25110 25086
Williamson-WV,1840006359,Williamson,Williamson,WV,Williamson-WV,West Virginia,54059,Mingo,37.6742,-82.271,3138,2924,344,polygon,TRUE,America/New_York,25661
Falling Waters-WV,1840025601,Falling Waters,Falling Waters,WV,Falling Waters-WV,West Virginia,54003,Berkeley,39.5637,-77.8874,,,175,polygon,FALSE,America/New_York,25419
Delray-WV,1840038238,Delray,Delray,WV,Delray-WV,West Virginia,54027,Hampshire,39.1945,-78.6042,,,50.1,point,FALSE,America/New_York,26714
Cedar Grove-WV,1840006203,Cedar Grove,Cedar Grove,WV,Cedar Grove-WV,West Virginia,54039,Kanawha,38.2223,-81.4376,938,938,505,polygon,TRUE,America/New_York,25039
Glenville-WV,1840005998,Glenville,Glenville,WV,Glenville-WV,West Virginia,54021,Gilmer,38.9379,-80.8339,3371,1517,587,polygon,TRUE,America/New_York,26351
Greenview-WV,1840025687,Greenview,Greenview,WV,Greenview-WV,West Virginia,54005,Boone,37.9963,-81.8202,,,63.1,polygon,FALSE,America/New_York,25053
Schultz-WV,1840038173,Schultz,Schultz,WV,Schultz-WV,West Virginia,54073,Pleasants,39.3201,-81.2401,,,30.6,point,FALSE,America/New_York,26170
Riverton-WV,1840038290,Riverton,Riverton,WV,Riverton-WV,West Virginia,54071,Pendleton,38.744,-79.4359,,,71.4,point,FALSE,America/New_York,26814
Chesapeake-WV,1840006204,Chesapeake,Chesapeake,WV,Chesapeake-WV,West Virginia,54039,Kanawha,38.2233,-81.5364,1480,1480,1182,polygon,TRUE,America/New_York,25015 25315
Gilbert Creek-WV,1840006357,Gilbert Creek,Gilbert Creek,WV,Gilbert Creek-WV,West Virginia,54059,Mingo,37.5697,-81.8906,,,33.1,polygon,FALSE,America/New_York,25608
Oakvale-WV,1840006406,Oakvale,Oakvale,WV,Oakvale-WV,West Virginia,54055,Mercer,37.3323,-80.9704,119,119,109,polygon,TRUE,America/New_York,24740 24739
Pageton-WV,1840025735,Pageton,Pageton,WV,Pageton-WV,West Virginia,54047,McDowell,37.3599,-81.4648,,,27,polygon,FALSE,America/New_York,24871
Montcalm-WV,1840006400,Montcalm,Montcalm,WV,Montcalm-WV,West Virginia,54055,Mercer,37.3516,-81.2514,,,251.8,polygon,FALSE,America/New_York,24701 24737 24747
Sophia-WV,1840006354,Sophia,Sophia,WV,Sophia-WV,West Virginia,54081,Raleigh,37.7117,-81.2524,1311,1311,724,polygon,TRUE,America/New_York,25921 25827
Mill Creek-WV,1840005994,Mill Creek,Mill Creek,WV,Mill Creek-WV,West Virginia,54083,Randolph,38.7319,-79.9725,701,701,592,polygon,TRUE,America/New_York,26280
Teays Valley-WV,1840038312,Teays Valley,Teays Valley,WV,Teays Valley-WV,West Virginia,54079,Putnam,38.4482,-81.9239,,,480.2,polygon,FALSE,America/New_York,25526 25560
Romney-WV,1840005756,Romney,Romney,WV,Romney-WV,West Virginia,54027,Hampshire,39.3454,-78.7564,1759,1759,707,polygon,TRUE,America/New_York,26757
Lizemores-WV,1840038192,Lizemores,Lizemores,WV,Lizemores-WV,West Virginia,54015,Clay,38.334,-81.1751,,,13.3,point,FALSE,America/New_York,25125
Fairmont-WV,1840005732,Fairmont,Fairmont,WV,Fairmont-WV,West Virginia,54049,Marion,39.4768,-80.149,33265,18622,837,polygon,TRUE,America/New_York,26554 26555
Logan-WV,1840006336,Logan,Logan,WV,Logan-WV,West Virginia,54045,Logan,37.8509,-81.9857,9667,1600,538,polygon,TRUE,America/New_York,25601
Maben-WV,1840038265,Maben,Maben,WV,Maben-WV,West Virginia,54109,Wyoming,37.6387,-81.394,,,37.9,point,FALSE,America/New_York,25882
Kanawha-WV,1840038143,Kanawha,Kanawha,WV,Kanawha-WV,West Virginia,54107,Wood,39.199,-81.4601,,,270.2,point,FALSE,America/New_York,26142
Whitesville-WV,1840006308,Whitesville,Whitesville,WV,Whitesville-WV,West Virginia,54005,Boone,37.9825,-81.5367,466,466,585,polygon,TRUE,America/New_York,25209
Green Bank-WV,1840025653,Green Bank,Green Bank,WV,Green Bank-WV,West Virginia,54075,Pocahontas,38.4267,-79.8344,,,30.7,polygon,FALSE,America/New_York,24915 24944
Chattaroy-WV,1840006355,Chattaroy,Chattaroy,WV,Chattaroy-WV,West Virginia,54059,Mingo,37.7062,-82.2737,,,270.6,polygon,FALSE,America/New_York,25661 25667
Eccles-WV,1840025708,Eccles,Eccles,WV,Eccles-WV,West Virginia,54081,Raleigh,37.7817,-81.2649,,,179.5,polygon,FALSE,America/New_York,25801 25836
Dunbar-WV,1840006197,Dunbar,Dunbar,WV,Dunbar-WV,West Virginia,54039,Kanawha,38.3688,-81.7345,7543,7543,1039,polygon,TRUE,America/New_York,25064
Green Spring-WV,1840025604,Green Spring,Green Spring,WV,Green Spring-WV,West Virginia,54027,Hampshire,39.5242,-78.6302,,,20.9,polygon,FALSE,America/New_York,26722
Neibert-WV,1840038155,Neibert,Neibert,WV,Neibert-WV,West Virginia,54045,Logan,37.7861,-81.9341,,,240.4,polygon,FALSE,America/New_York,25632
Montgomery-WV,1840038276,Montgomery,Montgomery,WV,Montgomery-WV,West Virginia,54039,Kanawha,38.1741,-81.3241,4514,1577,388,polygon,TRUE,America/New_York,25136
Newburg-WV,1840005656,Newburg,Newburg,WV,Newburg-WV,West Virginia,54077,Preston,39.3889,-79.8536,313,313,153,polygon,TRUE,America/New_York,26410
Hedgesville-WV,1840005741,Hedgesville,Hedgesville,WV,Hedgesville-WV,West Virginia,54003,Berkeley,39.5544,-77.9944,320,320,939,polygon,TRUE,America/New_York,25427
Pickens-WV,1840025634,Pickens,Pickens,WV,Pickens-WV,West Virginia,54083,Randolph,38.6558,-80.216,,,26,polygon,FALSE,America/New_York,26230
Inwood-WV,1840005740,Inwood,Inwood,WV,Inwood-WV,West Virginia,54003,Berkeley,39.3538,-78.0552,,,754.7,polygon,FALSE,America/New_York,25428 25420
Smithfield-WV,1840005673,Smithfield,Smithfield,WV,Smithfield-WV,West Virginia,54103,Wetzel,39.501,-80.5555,157,157,207,polygon,TRUE,America/New_York,26437
Tioga-WV,1840025670,Tioga,Tioga,WV,Tioga-WV,West Virginia,54067,Nicholas,38.422,-80.6548,,,81.1,polygon,FALSE,America/New_York,26691
Abbott-WV,1840038211,Abbott,Abbott,WV,Abbott-WV,West Virginia,54097,Upshur,38.9218,-80.3215,,,29.9,point,FALSE,America/New_York,26201
