City-State,id,city,city_ascii,state_id,City-State,state_name,county_fips,county_name,lat,lng,population,population_proper,density,source,incorporated,timezone,zips
Albany-WY,1840017461,Albany,Albany,WY,Albany-WY,Wyoming,56001,Albany,41.1868,-106.1255,,,3.9,polygon,FALSE,America/Denver,82070
Wilson-WY,1840018612,Wilson,Wilson,WY,Wilson-WY,Wyoming,56039,Teton,43.486,-110.8937,,,22.4,polygon,FALSE,America/Denver,83014
Natrona-WY,1840038376,Natrona,Natrona,WY,Natrona-WY,Wyoming,56025,Natrona,43.0297,-106.8092,,,1.7,point,FALSE,America/Denver,82646
Greybull-WY,1840021241,Greybull,Greybull,WY,Greybull-WY,Wyoming,56003,Big Horn,44.4888,-108.0592,1872,1872,382,polygon,TRUE,America/Denver,82426
Frontier-WY,1840038328,Frontier,Frontier,WY,Frontier-WY,Wyoming,56023,Lincoln,41.8141,-110.5371,,,21.5,point,FALSE,America/Denver,83121
Worland-WY,1840021266,Worland,Worland,WY,Worland-WY,Wyoming,56043,Washakie,44.0026,-107.9543,5294,5316,450,polygon,TRUE,America/Denver,82401
Brookhurst-WY,1840017446,Brookhurst,Brookhurst,WY,Brookhurst-WY,Wyoming,56025,Natrona,42.8618,-106.2272,,,3.7,polygon,FALSE,America/Denver,82636
Reliance-WY,1840018692,Reliance,Reliance,WY,Reliance-WY,Wyoming,56037,Sweetwater,41.6682,-109.1977,,,221.5,polygon,FALSE,America/Denver,82943 82901
Medicine Bow-WY,1840022370,Medicine Bow,Medicine Bow,WY,Medicine Bow-WY,Wyoming,56007,Carbon,41.8996,-106.2019,270,270,30,polygon,TRUE,America/Denver,82329
Afton-WY,1840021291,Afton,Afton,WY,Afton-WY,Wyoming,56023,Lincoln,42.7295,-110.9317,1995,1995,183,polygon,TRUE,America/Denver,83110
Daniel-WY,1840018659,Daniel,Daniel,WY,Daniel-WY,Wyoming,56035,Sublette,42.8658,-110.0767,,,28.6,polygon,FALSE,America/Denver,83115
Dixon-WY,1840021310,Dixon,Dixon,WY,Dixon-WY,Wyoming,56007,Carbon,41.0345,-107.5355,95,95,279,polygon,TRUE,America/Denver,82323
Fort Laramie-WY,1840021303,Fort Laramie,Fort Laramie,WY,Fort Laramie-WY,Wyoming,56015,Goshen,42.2134,-104.5178,222,222,321,polygon,TRUE,America/Denver,82212
